t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,19,1.418178,0.000000,0.000000,0.000000,events/second
1645691310,22,0.505886,0.000000,0.000000,0.000000,events/second
1645691340,28,0.380974,0.000000,0.000000,0.000000,events/second
1645691370,31,0.299478,0.000000,0.000000,0.000000,events/second
1645691400,37,0.277115,0.000000,0.000000,0.000000,events/second
1645691430,40,0.244600,0.000000,0.000000,0.000000,events/second
1645691460,46,0.237678,0.000000,0.000000,0.000000,events/second
1645691490,49,0.219191,0.000000,0.000000,0.000000,events/second
1645691520,55,0.216895,0.000000,0.000000,0.000000,events/second
1645691550,58,0.204522,0.000000,0.000000,0.000000,events/second
1645691580,64,0.204085,0.000000,0.000000,0.000000,events/second
1645691610,67,0.194990,0.000000,0.000000,0.000000,events/second
1645691640,73,0.195383,0.000000,0.000000,0.000000,events/second
1645691670,76,0.188290,0.000000,0.000000,0.000000,events/second
1645691700,82,0.189092,0.000000,0.000000,0.000000,events/second
1645691730,88,0.189795,0.000000,0.000000,0.000000,events/second
1645691760,103,0.208636,0.000000,0.000000,0.000000,events/second
1645691790,109,0.208120,0.000000,0.000000,0.000000,events/second
1645691820,118,0.213094,0.000000,0.000000,0.000000,events/second
1645691850,121,0.207276,0.000000,0.000000,0.000000,events/second
1645691880,127,0.206915,0.000000,0.000000,0.000000,events/second
1645691910,130,0.201930,0.000000,0.000000,0.000000,events/second
1645691940,145,0.215198,0.000000,0.000000,0.000000,events/second
1645691970,148,0.210285,0.000000,0.000000,0.000000,events/second
1645692000,154,0.209861,0.000000,0.000000,0.000000,events/second
1645692030,166,0.217321,0.000000,0.000000,0.000000,events/second
1645799460,19,0.763741,0.000000,0.000000,0.000000,events/second
1645799490,25,0.453556,0.000000,0.000000,0.000000,events/second
1645799520,31,0.364143,0.000000,0.000000,0.000000,events/second
1645799550,43,0.373452,0.000000,0.000000,0.000000,events/second
1645799580,55,0.378861,0.000000,0.000000,0.000000,events/second
1645799610,61,0.348206,0.000000,0.000000,0.000000,events/second
1645799640,64,0.311896,0.000000,0.000000,0.000000,events/second
1645799670,70,0.297617,0.000000,0.000000,0.000000,events/second
1645799700,73,0.275257,0.000000,0.000000,0.000000,events/second
1645799730,79,0.267596,0.000000,0.000000,0.000000,events/second
1645799760,82,0.252129,0.000000,0.000000,0.000000,events/second
1645799790,88,0.247717,0.000000,0.000000,0.000000,events/second
1645799820,91,0.236202,0.000000,0.000000,0.000000,events/second
1645799850,97,0.233556,0.000000,0.000000,0.000000,events/second
1645799880,100,0.224544,0.000000,0.000000,0.000000,events/second
1645799910,106,0.222987,0.000000,0.000000,0.000000,events/second
1645799940,109,0.215681,0.000000,0.000000,0.000000,events/second
1645799970,115,0.214801,0.000000,0.000000,0.000000,events/second
1645800000,118,0.208703,0.000000,0.000000,0.000000,events/second
1645800030,124,0.208263,0.000000,0.000000,0.000000,events/second
1645800060,127,0.203068,0.000000,0.000000,0.000000,events/second
1645800090,133,0.202923,0.000000,0.000000,0.000000,events/second
1645800120,136,0.198416,0.000000,0.000000,0.000000,events/second
1645800150,142,0.198480,0.000000,0.000000,0.000000,events/second
1645800180,145,0.194515,0.000000,0.000000,0.000000,events/second
1645800210,151,0.194725,0.000000,0.000000,0.000000,events/second
1645800240,154,0.191194,0.000000,0.000000,0.000000,events/second
1645800270,160,0.191509,0.000000,0.000000,0.000000,events/second
1645800300,163,0.188335,0.000000,0.000000,0.000000,events/second
1645800330,169,0.188724,0.000000,0.000000,0.000000,events/second
1645800360,172,0.185844,0.000000,0.000000,0.000000,events/second
1645800390,178,0.186287,0.000000,0.000000,0.000000,events/second
1645800420,181,0.183658,0.000000,0.000000,0.000000,events/second
1645800450,187,0.184139,0.000000,0.000000,0.000000,events/second
1645800480,190,0.181722,0.000000,0.000000,0.000000,events/second
1645800510,196,0.182230,0.000000,0.000000,0.000000,events/second
1645800540,199,0.179998,0.000000,0.000000,0.000000,events/second
1645800570,205,0.180524,0.000000,0.000000,0.000000,events/second
1645800600,208,0.178449,0.000000,0.000000,0.000000,events/second
1645800630,214,0.178989,0.000000,0.000000,0.000000,events/second
1645800661,217,0.177054,0.000000,0.000000,0.000000,events/second
1645800691,223,0.177601,0.000000,0.000000,0.000000,events/second
1645800721,226,0.175790,0.000000,0.000000,0.000000,events/second
1645800751,232,0.176341,0.000000,0.000000,0.000000,events/second
1645800781,235,0.174638,0.000000,0.000000,0.000000,events/second
1645800811,241,0.175190,0.000000,0.000000,0.000000,events/second
1645800841,244,0.173583,0.000000,0.000000,0.000000,events/second
1645800871,250,0.174135,0.000000,0.000000,0.000000,events/second
1645800901,253,0.172616,0.000000,0.000000,0.000000,events/second
1645800931,259,0.173165,0.000000,0.000000,0.000000,events/second
1645801355,262,0.136437,0.000000,0.000000,0.000000,events/second
1645801385,268,0.137414,0.000000,0.000000,0.000000,events/second
1645801415,271,0.136847,0.000000,0.000000,0.000000,events/second
1645801445,277,0.137789,0.000000,0.000000,0.000000,events/second
1645801475,280,0.137232,0.000000,0.000000,0.000000,events/second
1645801505,286,0.138140,0.000000,0.000000,0.000000,events/second
1645801535,289,0.137595,0.000000,0.000000,0.000000,events/second
1645801565,295,0.138473,0.000000,0.000000,0.000000,events/second
1645801595,298,0.137939,0.000000,0.000000,0.000000,events/second
1645801625,304,0.138788,0.000000,0.000000,0.000000,events/second
1645801655,307,0.138263,0.000000,0.000000,0.000000,events/second
1645801685,313,0.139086,0.000000,0.000000,0.000000,events/second
1645801715,316,0.138571,0.000000,0.000000,0.000000,events/second
1645801745,322,0.139368,0.000000,0.000000,0.000000,events/second
1645801775,325,0.138863,0.000000,0.000000,0.000000,events/second
1645801805,331,0.139636,0.000000,0.000000,0.000000,events/second
1645801835,337,0.140390,0.000000,0.000000,0.000000,events/second
1645801865,349,0.143594,0.000000,0.000000,0.000000,events/second
1645801895,352,0.143062,0.000000,0.000000,0.000000,events/second
1645801925,358,0.143747,0.000000,0.000000,0.000000,events/second
1645801955,361,0.143226,0.000000,0.000000,0.000000,events/second
1645801985,370,0.145070,0.000000,0.000000,0.000000,events/second
1645802015,385,0.149196,0.000000,0.000000,0.000000,events/second
1645802045,391,0.149778,0.000000,0.000000,0.000000,events/second
1645802075,394,0.149212,0.000000,0.000000,0.000000,events/second
1645802105,400,0.149782,0.000000,0.000000,0.000000,events/second
1645802135,406,0.150340,0.000000,0.000000,0.000000,events/second
1645802165,412,0.150884,0.000000,0.000000,0.000000,events/second
1645802195,415,0.150331,0.000000,0.000000,0.000000,events/second
1645802225,421,0.150864,0.000000,0.000000,0.000000,events/second
1645802255,424,0.150323,0.000000,0.000000,0.000000,events/second
1645802286,430,0.150845,0.000000,0.000000,0.000000,events/second
1645802316,433,0.150315,0.000000,0.000000,0.000000,events/second
1645802346,439,0.150826,0.000000,0.000000,0.000000,events/second
1645802376,442,0.150307,0.000000,0.000000,0.000000,events/second
1645802406,448,0.150808,0.000000,0.000000,0.000000,events/second
1645802436,451,0.150300,0.000000,0.000000,0.000000,events/second
1645802466,457,0.150791,0.000000,0.000000,0.000000,events/second
1645802496,460,0.150293,0.000000,0.000000,0.000000,events/second
1645802526,466,0.150775,0.000000,0.000000,0.000000,events/second
1645802556,469,0.150286,0.000000,0.000000,0.000000,events/second
1645802586,475,0.150759,0.000000,0.000000,0.000000,events/second
1645802616,478,0.150280,0.000000,0.000000,0.000000,events/second
1645802646,484,0.150744,0.000000,0.000000,0.000000,events/second
1645802676,487,0.150274,0.000000,0.000000,0.000000,events/second
1645802706,493,0.150730,0.000000,0.000000,0.000000,events/second
1645802736,496,0.150268,0.000000,0.000000,0.000000,events/second
1645802766,502,0.150716,0.000000,0.000000,0.000000,events/second
1645802796,505,0.150263,0.000000,0.000000,0.000000,events/second
1645802826,511,0.150703,0.000000,0.000000,0.000000,events/second
1645802856,514,0.150257,0.000000,0.000000,0.000000,events/second
1645802886,520,0.150689,0.000000,0.000000,0.000000,events/second
1645802916,523,0.150252,0.000000,0.000000,0.000000,events/second
1645802946,529,0.150677,0.000000,0.000000,0.000000,events/second
1645802976,532,0.150247,0.000000,0.000000,0.000000,events/second
1645803006,538,0.150665,0.000000,0.000000,0.000000,events/second
1645803036,541,0.150242,0.000000,0.000000,0.000000,events/second
1645803066,549,0.151204,0.000000,0.000000,0.000000,events/second
1645803096,552,0.150784,0.000000,0.000000,0.000000,events/second
1645803126,558,0.151184,0.000000,0.000000,0.000000,events/second
1645803156,561,0.150771,0.000000,0.000000,0.000000,events/second
1645803186,567,0.151164,0.000000,0.000000,0.000000,events/second
1645803216,570,0.150758,0.000000,0.000000,0.000000,events/second
1645803246,576,0.151145,0.000000,0.000000,0.000000,events/second
1645803276,579,0.150745,0.000000,0.000000,0.000000,events/second
1645803306,585,0.151126,0.000000,0.000000,0.000000,events/second
1645803336,588,0.150732,0.000000,0.000000,0.000000,events/second
1645803366,594,0.151108,0.000000,0.000000,0.000000,events/second
1645803396,597,0.150720,0.000000,0.000000,0.000000,events/second
1645803426,603,0.151091,0.000000,0.000000,0.000000,events/second
1645803456,606,0.150709,0.000000,0.000000,0.000000,events/second
1645803486,612,0.151074,0.000000,0.000000,0.000000,events/second
1645803516,615,0.150699,0.000000,0.000000,0.000000,events/second
1645803546,621,0.151058,0.000000,0.000000,0.000000,events/second
1645803576,624,0.150688,0.000000,0.000000,0.000000,events/second
1645803606,630,0.151042,0.000000,0.000000,0.000000,events/second
1645803636,633,0.150677,0.000000,0.000000,0.000000,events/second
1645803666,639,0.151027,0.000000,0.000000,0.000000,events/second
1645803696,642,0.150668,0.000000,0.000000,0.000000,events/second
1645803726,648,0.151012,0.000000,0.000000,0.000000,events/second
1645803756,651,0.150658,0.000000,0.000000,0.000000,events/second
1645803786,657,0.150998,0.000000,0.000000,0.000000,events/second
1645803816,660,0.150648,0.000000,0.000000,0.000000,events/second
1645803846,666,0.150983,0.000000,0.000000,0.000000,events/second
1645803876,669,0.150638,0.000000,0.000000,0.000000,events/second
1645803906,675,0.150969,0.000000,0.000000,0.000000,events/second
1645803936,678,0.150629,0.000000,0.000000,0.000000,events/second
1645803966,684,0.150956,0.000000,0.000000,0.000000,events/second
1645803996,687,0.150620,0.000000,0.000000,0.000000,events/second
1645804026,693,0.150943,0.000000,0.000000,0.000000,events/second
1645804056,696,0.150612,0.000000,0.000000,0.000000,events/second
1645804086,702,0.150930,0.000000,0.000000,0.000000,events/second
1645804116,705,0.150603,0.000000,0.000000,0.000000,events/second
1645804146,711,0.150917,0.000000,0.000000,0.000000,events/second
1645804176,714,0.150595,0.000000,0.000000,0.000000,events/second
1645804206,720,0.150905,0.000000,0.000000,0.000000,events/second
1645804236,723,0.150587,0.000000,0.000000,0.000000,events/second
1645804266,729,0.150894,0.000000,0.000000,0.000000,events/second
1645804296,732,0.150579,0.000000,0.000000,0.000000,events/second
1645804326,738,0.150882,0.000000,0.000000,0.000000,events/second
1645804356,741,0.150572,0.000000,0.000000,0.000000,events/second
1645804386,747,0.150871,0.000000,0.000000,0.000000,events/second
1645804918,756,0.137881,0.000000,0.000000,0.000000,events/second
1645804948,768,0.139307,0.000000,0.000000,0.000000,events/second
1645905630,31,1.413068,0.000000,0.000000,0.000000,events/second
1645905660,55,1.052119,0.000000,0.000000,0.000000,events/second
1645905690,61,0.741307,0.000000,0.000000,0.000000,events/second
1645905720,73,0.650017,0.000000,0.000000,0.000000,events/second
1645905750,79,0.555130,0.000000,0.000000,0.000000,events/second
1645905780,91,0.528076,0.000000,0.000000,0.000000,events/second
1645905810,97,0.479415,0.000000,0.000000,0.000000,events/second
1645905840,109,0.469127,0.000000,0.000000,0.000000,events/second
1645905870,115,0.438335,0.000000,0.000000,0.000000,events/second
1645905900,127,0.434394,0.000000,0.000000,0.000000,events/second
1645905930,133,0.412573,0.000000,0.000000,0.000000,events/second
1645905960,145,0.411482,0.000000,0.000000,0.000000,events/second
1645905990,151,0.394884,0.000000,0.000000,0.000000,events/second
1645906020,163,0.395243,0.000000,0.000000,0.000000,events/second
1645906050,169,0.381997,0.000000,0.000000,0.000000,events/second
1645906080,181,0.383133,0.000000,0.000000,0.000000,events/second
1645906110,187,0.372188,0.000000,0.000000,0.000000,events/second
1645906140,199,0.373752,0.000000,0.000000,0.000000,events/second
1645906170,205,0.364477,0.000000,0.000000,0.000000,events/second
1645906200,217,0.366269,0.000000,0.000000,0.000000,events/second
1645906230,223,0.358249,0.000000,0.000000,0.000000,events/second
1645906260,235,0.360161,0.000000,0.000000,0.000000,events/second
1645906290,241,0.353118,0.000000,0.000000,0.000000,events/second
1645906320,253,0.355089,0.000000,0.000000,0.000000,events/second
1645906350,259,0.348820,0.000000,0.000000,0.000000,events/second
1645906380,271,0.350800,0.000000,0.000000,0.000000,events/second
1645906410,277,0.345159,0.000000,0.000000,0.000000,events/second
1645906440,289,0.347129,0.000000,0.000000,0.000000,events/second
1645906470,295,0.342008,0.000000,0.000000,0.000000,events/second
1645906500,307,0.343957,0.000000,0.000000,0.000000,events/second
1645906530,313,0.339269,0.000000,0.000000,0.000000,events/second
1645906560,325,0.341179,0.000000,0.000000,0.000000,events/second
1645906590,331,0.336867,0.000000,0.000000,0.000000,events/second
1645906620,343,0.338735,0.000000,0.000000,0.000000,events/second
1645906651,349,0.334742,0.000000,0.000000,0.000000,events/second
1645906681,361,0.336565,0.000000,0.000000,0.000000,events/second
1645906711,367,0.332848,0.000000,0.000000,0.000000,events/second
1645906741,379,0.334622,0.000000,0.000000,0.000000,events/second
1645906771,385,0.331146,0.000000,0.000000,0.000000,events/second
1645906801,397,0.332874,0.000000,0.000000,0.000000,events/second
1645906831,403,0.329612,0.000000,0.000000,0.000000,events/second
1645906861,415,0.331294,0.000000,0.000000,0.000000,events/second
1645906891,421,0.328221,0.000000,0.000000,0.000000,events/second
1645906921,433,0.329860,0.000000,0.000000,0.000000,events/second
1645906951,439,0.326957,0.000000,0.000000,0.000000,events/second
1645906981,451,0.328552,0.000000,0.000000,0.000000,events/second
1645907011,457,0.325800,0.000000,0.000000,0.000000,events/second
1645907041,469,0.327352,0.000000,0.000000,0.000000,events/second
1645907071,475,0.324737,0.000000,0.000000,0.000000,events/second
1645907101,487,0.326249,0.000000,0.000000,0.000000,events/second
1645907131,493,0.323759,0.000000,0.000000,0.000000,events/second
1645907161,505,0.325229,0.000000,0.000000,0.000000,events/second
1645907191,511,0.322852,0.000000,0.000000,0.000000,events/second
1645907221,523,0.324284,0.000000,0.000000,0.000000,events/second
1645907251,529,0.322012,0.000000,0.000000,0.000000,events/second
1645907281,541,0.323408,0.000000,0.000000,0.000000,events/second
1645907311,547,0.321234,0.000000,0.000000,0.000000,events/second
1645907341,559,0.322595,0.000000,0.000000,0.000000,events/second
1645907371,565,0.320507,0.000000,0.000000,0.000000,events/second
1645907401,577,0.321835,0.000000,0.000000,0.000000,events/second
1645907431,583,0.319828,0.000000,0.000000,0.000000,events/second
1645907461,595,0.321124,0.000000,0.000000,0.000000,events/second
1645907491,601,0.319193,0.000000,0.000000,0.000000,events/second
1645907521,613,0.320459,0.000000,0.000000,0.000000,events/second
1645907551,619,0.318596,0.000000,0.000000,0.000000,events/second
1645907581,631,0.319833,0.000000,0.000000,0.000000,events/second
1645907611,637,0.318036,0.000000,0.000000,0.000000,events/second
1645907641,649,0.319245,0.000000,0.000000,0.000000,events/second
1645907671,655,0.317508,0.000000,0.000000,0.000000,events/second
1645907701,667,0.318689,0.000000,0.000000,0.000000,events/second
1645907731,673,0.317010,0.000000,0.000000,0.000000,events/second
1645907761,685,0.318166,0.000000,0.000000,0.000000,events/second
1645907791,691,0.316541,0.000000,0.000000,0.000000,events/second
1645907821,703,0.317670,0.000000,0.000000,0.000000,events/second
1645907851,709,0.316095,0.000000,0.000000,0.000000,events/second
1645907881,721,0.317202,0.000000,0.000000,0.000000,events/second
1645907911,727,0.315673,0.000000,0.000000,0.000000,events/second
1645907941,739,0.316757,0.000000,0.000000,0.000000,events/second
1645907971,745,0.315273,0.000000,0.000000,0.000000,events/second
1645908001,757,0.316334,0.000000,0.000000,0.000000,events/second
1645908031,763,0.314892,0.000000,0.000000,0.000000,events/second
1645908061,775,0.315933,0.000000,0.000000,0.000000,events/second
1645908091,781,0.314530,0.000000,0.000000,0.000000,events/second
1645908121,793,0.315549,0.000000,0.000000,0.000000,events/second
1645908151,799,0.314186,0.000000,0.000000,0.000000,events/second
1645908181,811,0.315185,0.000000,0.000000,0.000000,events/second
1645908211,817,0.313856,0.000000,0.000000,0.000000,events/second
1645908241,829,0.314837,0.000000,0.000000,0.000000,events/second
1645908271,835,0.313543,0.000000,0.000000,0.000000,events/second
1645908301,847,0.314506,0.000000,0.000000,0.000000,events/second
1645908331,853,0.313244,0.000000,0.000000,0.000000,events/second
1645908361,865,0.314188,0.000000,0.000000,0.000000,events/second
1645908391,871,0.312956,0.000000,0.000000,0.000000,events/second
1645908421,883,0.313883,0.000000,0.000000,0.000000,events/second
1645908451,889,0.312680,0.000000,0.000000,0.000000,events/second
1645908481,901,0.313591,0.000000,0.000000,0.000000,events/second
1645908511,907,0.312415,0.000000,0.000000,0.000000,events/second
1645908541,919,0.313310,0.000000,0.000000,0.000000,events/second
1645908571,925,0.312162,0.000000,0.000000,0.000000,events/second
1645908601,937,0.313042,0.000000,0.000000,0.000000,events/second
1645908631,943,0.311919,0.000000,0.000000,0.000000,events/second
1645908661,955,0.312783,0.000000,0.000000,0.000000,events/second
1645908691,961,0.311684,0.000000,0.000000,0.000000,events/second
1645908721,973,0.312535,0.000000,0.000000,0.000000,events/second
1645908751,979,0.311460,0.000000,0.000000,0.000000,events/second
1645908781,991,0.312297,0.000000,0.000000,0.000000,events/second
1645908811,997,0.311244,0.000000,0.000000,0.000000,events/second
1645908841,1009,0.312067,0.000000,0.000000,0.000000,events/second
1645908871,1015,0.311035,0.000000,0.000000,0.000000,events/second
1645908901,1027,0.311845,0.000000,0.000000,0.000000,events/second
1645908931,1033,0.310835,0.000000,0.000000,0.000000,events/second
1645908961,1045,0.311631,0.000000,0.000000,0.000000,events/second
1645908991,1051,0.310640,0.000000,0.000000,0.000000,events/second
1645909021,1063,0.311425,0.000000,0.000000,0.000000,events/second
1645909051,1069,0.310454,0.000000,0.000000,0.000000,events/second
1645909081,1081,0.311227,0.000000,0.000000,0.000000,events/second
1645909111,1087,0.310274,0.000000,0.000000,0.000000,events/second
1645909141,1099,0.311035,0.000000,0.000000,0.000000,events/second
1645909171,1105,0.310099,0.000000,0.000000,0.000000,events/second
1645909201,1117,0.310848,0.000000,0.000000,0.000000,events/second
1645909231,1127,0.311033,0.000000,0.000000,0.000000,events/second
1645909261,1139,0.311764,0.000000,0.000000,0.000000,events/second
1645909291,1145,0.310853,0.000000,0.000000,0.000000,events/second
1645909321,1157,0.311573,0.000000,0.000000,0.000000,events/second
1645909351,1163,0.310678,0.000000,0.000000,0.000000,events/second
1645909381,1175,0.311387,0.000000,0.000000,0.000000,events/second
1645909411,1181,0.310508,0.000000,0.000000,0.000000,events/second
1645909441,1193,0.311208,0.000000,0.000000,0.000000,events/second
1645909471,1199,0.310343,0.000000,0.000000,0.000000,events/second
1645909501,1211,0.311033,0.000000,0.000000,0.000000,events/second
1645909531,1217,0.310184,0.000000,0.000000,0.000000,events/second
1645909561,1229,0.310865,0.000000,0.000000,0.000000,events/second
1645909591,1235,0.310029,0.000000,0.000000,0.000000,events/second
1645909621,1247,0.310702,0.000000,0.000000,0.000000,events/second
1645909651,1253,0.309880,0.000000,0.000000,0.000000,events/second
1645909681,1265,0.310543,0.000000,0.000000,0.000000,events/second
1645909711,1271,0.309734,0.000000,0.000000,0.000000,events/second
1645909741,1283,0.310388,0.000000,0.000000,0.000000,events/second
