t,value
1645691280,6
1645691310,6
1645691340,6
1645691370,6
1645691400,6
1645691430,6
1645691460,6
1645691490,6
1645691520,6
1645691550,6
1645691580,6
1645691610,6
1645691640,6
1645691670,6
1645691700,6
1645691730,6
1645691760,6
1645691790,6
1645691820,6
1645691850,6
1645691880,6
1645691910,6
1645691940,6
1645691970,6
1645692000,6
1645692030,0
1645799460,6
1645799490,6
1645799520,6
1645799550,6
1645799580,6
1645799610,6
1645799640,6
1645799670,6
1645799700,6
1645799730,6
1645799760,6
1645799790,6
1645799820,6
1645799850,6
1645799880,6
1645799910,6
1645799940,6
1645799970,6
1645800000,6
1645800030,6
1645800060,6
1645800090,6
1645800120,6
1645800150,6
1645800180,6
1645800210,6
1645800240,6
1645800270,6
1645800300,6
1645800330,6
1645800360,6
1645800390,6
1645800420,6
1645800450,6
1645800480,6
1645800510,6
1645800540,6
1645800570,6
1645800600,6
1645800630,6
1645800661,6
1645800691,6
1645800721,6
1645800751,6
1645800781,6
1645800811,6
1645800841,6
1645800871,6
1645800901,6
1645800931,6
1645801355,6
1645801385,6
1645801415,6
1645801445,6
1645801475,6
1645801505,6
1645801535,6
1645801565,6
1645801595,6
1645801625,6
1645801655,6
1645801685,6
1645801715,6
1645801745,6
1645801775,6
1645801805,6
1645801835,6
1645801865,6
1645801895,6
1645801925,6
1645801955,6
1645801985,6
1645802015,6
1645802045,6
1645802075,6
1645802105,6
1645802135,6
1645802165,6
1645802195,6
1645802225,6
1645802255,6
1645802286,6
1645802316,6
1645802346,6
1645802376,6
1645802406,6
1645802436,6
1645802466,6
1645802496,6
1645802526,6
1645802556,6
1645802586,6
1645802616,6
1645802646,6
1645802676,6
1645802706,6
1645802736,6
1645802766,6
1645802796,6
1645802826,6
1645802856,6
1645802886,6
1645802916,6
1645802946,6
1645802976,6
1645803006,6
1645803036,6
1645803066,6
1645803096,6
1645803126,6
1645803156,6
1645803186,6
1645803216,6
1645803246,6
1645803276,6
1645803306,6
1645803336,6
1645803366,6
1645803396,6
1645803426,6
1645803456,6
1645803486,6
1645803516,6
1645803546,6
1645803576,6
1645803606,6
1645803636,6
1645803666,6
1645803696,6
1645803726,6
1645803756,6
1645803786,6
1645803816,6
1645803846,6
1645803876,6
1645803906,6
1645803936,6
1645803966,6
1645803996,6
1645804026,6
1645804056,6
1645804086,6
1645804116,6
1645804146,6
1645804176,6
1645804206,6
1645804236,6
1645804266,6
1645804296,6
1645804326,6
1645804356,6
1645804386,6
1645804918,6
1645804948,0
1645905630,9
1645905660,9
1645905690,9
1645905720,9
1645905750,9
1645905780,9
1645905810,9
1645905840,9
1645905870,9
1645905900,9
1645905930,9
1645905960,9
1645905990,9
1645906020,9
1645906050,9
1645906080,9
1645906110,9
1645906140,9
1645906170,9
1645906200,9
1645906230,9
1645906260,9
1645906290,9
1645906320,9
1645906350,9
1645906380,9
1645906410,9
1645906440,9
1645906470,9
1645906500,9
1645906530,9
1645906560,9
1645906590,9
1645906620,9
1645906651,9
1645906681,9
1645906711,9
1645906741,9
1645906771,9
1645906801,9
1645906831,9
1645906861,9
1645906891,9
1645906921,9
1645906951,9
1645906981,9
1645907011,9
1645907041,9
1645907071,9
1645907101,9
1645907131,9
1645907161,9
1645907191,9
1645907221,9
1645907251,9
1645907281,9
1645907311,9
1645907341,9
1645907371,9
1645907401,9
1645907431,9
1645907461,9
1645907491,9
1645907521,9
1645907551,9
1645907581,9
1645907611,9
1645907641,9
1645907671,9
1645907701,9
1645907731,9
1645907761,9
1645907791,9
1645907821,9
1645907851,9
1645907881,9
1645907911,9
1645907941,9
1645907971,9
1645908001,9
1645908031,9
1645908061,9
1645908091,9
1645908121,9
1645908151,9
1645908181,9
1645908211,9
1645908241,9
1645908271,9
1645908301,9
1645908331,9
1645908361,9
1645908391,9
1645908421,9
1645908451,9
1645908481,9
1645908511,9
1645908541,9
1645908571,9
1645908601,9
1645908631,9
1645908661,9
1645908691,9
1645908721,9
1645908751,9
1645908781,9
1645908811,9
1645908841,9
1645908871,9
1645908901,9
1645908931,9
1645908961,9
1645908991,9
1645909021,9
1645909051,9
1645909081,9
1645909111,9
1645909141,9
1645909171,9
1645909201,9
1645909231,9
1645909261,9
1645909291,9
1645909321,9
1645909351,9
1645909381,9
1645909411,9
1645909441,9
1645909471,9
1645909501,9
1645909531,9
1645909561,9
1645909591,9
1645909621,9
1645909651,9
1645909681,9
1645909711,9
1645909741,9
1645909771,9
1645909801,9
1645909831,9
1645909861,9
1645909892,9
1645909922,9
1645909952,9
1645909982,9
1645910012,9
1645910042,9
1645910072,9
1645910102,9
1645910132,9
1645910162,9
1645910192,9
1645910222,9
1645910252,9
1645910282,9
1645910312,9
1645910342,9
1645910372,9
1645910402,9
1645910432,9
1645910462,9
1645910492,9
1645910522,9
1645910552,9
1645910582,9
1645910612,9
1645910642,9
1645911020,9
1645911050,9
1645911080,9
1645911110,9
1645911140,9
1645911170,9
1645911200,9
1645911230,9
1645911260,9
1645911290,9
1645911320,9
1645911350,9
1645911380,9
1645911410,9
1645911440,9
1645911470,9
1645911500,9
1645911530,9
1645911560,9
1645911590,9
1645911620,9
1645911650,9
1645911680,9
1645911710,9
1645911740,9
1645911770,9
1645911800,9
1645911830,9
1645911860,9
1645911890,9
1645911920,9
1645911950,9
1645911980,9
1645912010,9
1645912040,9
1645912070,9
1645912100,9
1645912130,9
1645912160,9
1645912190,9
1645912220,9
1645912250,9
1645912280,9
1645912310,9
1645912340,9
1645912370,9
1645912400,9
1645912430,9
1645912460,9
1645912490,9
1645912520,9
1645912550,9
1645912580,9
1645912610,9
1645912640,9
1645912670,9
1645912700,9
1645912730,9
1645912760,9
1645912790,9
1645912820,7
1645912850,9
1645912881,9
1645912911,9
1645912941,9
1645912971,9
1645913001,9
1645913031,9
1645913061,9
1645913091,9
1645913121,9
1645913151,9
1645913181,9
1645913319,9
1645913349,9
1645913379,9
1645913409,9
1645913439,9
1645913469,9
1645913499,9
1645913529,9
1645913559,9
1645913589,9
1645913619,9
1645913649,9
1645913679,9
1645913709,9
1645913739,9
1645913769,9
1645913799,9
1645913829,9
1645913859,9
1645913889,9
1645914183,9
1645914213,9
1645914243,9
1645914273,9
1645914303,9
1645914333,9
1645914363,9
1645914393,9
1645914423,9
1645914453,9
1645914483,9
1645914513,9
1645914543,9
1645914573,9
1645914603,9
1645914633,9
1645914663,9
1645914693,9
1645914723,9
1645914753,9
1645914783,9
1645914813,9
1645914843,9
1645914873,9
1645914903,9
1645914933,9
1645914963,9
1645914993,9
1645915023,9
1645915053,9
1645915083,9
1645915113,9
1645915143,9
1645915173,9
1645915203,9
1645915233,9
1645915263,9
1645915294,9
1645915324,9
1645915354,9
1645915384,9
1645915414,9
1645915444,9
1645915474,9
1645915504,9
1645915534,9
1645915564,9
1645915594,9
1645915624,9
1645915654,9
1645915684,9
1645915714,9
1645915744,9
1645915774,9
1645915804,9
1645915834,9
1645915864,9
1645915894,9
1645915924,9
1645915954,9
1645915984,9
1645916014,9
1645916044,9
1645916074,9
1645916104,9
1645916134,9
1645916164,9
1645916194,9
1645916224,9
1645916254,9
1645916284,9
1645916314,9
1645916344,9
1645916374,9
1645916404,9
1645916434,9
1645916464,9
1645916494,9
1645916524,9
1645954885,9
1645954915,9
1645954945,9
1645954975,9
1645955005,9
1645955035,9
1645955065,9
1645955095,9
1645955125,9
1645955155,9
1645955185,9
1645955215,9
1645955245,9
1645955275,9
1645955305,9
1645955335,9
1645955365,9
1645955395,9
1645955425,9
1645955455,9
1645955485,9
1645955515,9
1645955545,9
1645955575,9
1645955605,9
1645955635,9
1645955665,9
1645955695,9
1645955725,9
1645955755,9
1645955785,9
1645955815,9
1645955845,9
1645955875,9
1645955905,9
1645955935,9
1645955965,9
1645955995,9
1645956025,9
1645956055,9
1645956085,9
1645956115,9
1645956145,9
1645956175,9
1645956205,9
1645956235,9
1645956265,9
1645956295,9
1645956325,9
1645956355,9
1645956385,9
1645956415,9
1645956445,9
1645956475,9
1645956505,9
1645956535,9
1645956565,9
1645956595,9
1645956625,9
1645956655,9
1645956685,9
1645956715,9
1645956745,9
1645956775,9
1645956805,9
1645956835,9
1645956865,9
1645956895,9
1645956925,9
1645956955,9
1645956985,9
1645957015,9
1645957045,9
1645957075,9
1645957105,9
1645957135,9
1645957165,9
1645957195,9
1645957225,9
1645957255,9
1645957285,9
1645957315,9
1645957345,9
1645957375,9
1645957405,9
1645957435,9
1645957465,9
1645957495,9
1645957525,9
1645957555,9
1645957585,9
1645957615,9
1645957646,9
1645957676,9
1645957706,9
1645957736,9
1645957766,9
1645957796,9
1645957826,9
1645957856,9
1645957886,9
1645957916,9
1645957946,9
1645957976,9
1645958006,9
1645958036,9
1645996710,9
1645996740,9
1645996770,9
1645996800,9
1645996830,9
1645996860,9
1645996890,9
1645996920,9
1645996950,9
1645996980,9
1645997010,9
1645997040,9
1645997070,9
1645997100,9
1645997130,9
1645997160,9
1645997190,9
1645997220,9
1645997250,9
1645997280,9
1645997310,9
1645997340,9
1645997370,9
1645997400,9
1645997430,9
1645997460,9
1645997490,9
1645997520,9
1645997550,9
1645997580,9
1645997610,9
1645997640,9
1645997670,9
1645997700,9
1645997730,9
1645997760,9
1645997790,9
1645997820,9
1645997850,9
1645997880,9
1645997911,9
1645997941,9
1645997971,9
1645998001,9
1645998031,9
1645998061,9
1645998091,9
1645998121,9
1645998151,9
1645998181,9
1645998211,9
1645998241,9
1645998271,9
1645998301,9
1645998331,9
1645998361,9
1645998391,9
1645998421,9
1645998451,9
1645998481,9
1645998509,9
1645998539,9
1645998569,9
1645998599,9
1645998629,9
1645998659,9
1645998689,9
1645998719,9
1645998749,9
1645998779,9
1645998809,9
1645998839,9
1645998869,9
1645998899,9
1645998929,9
1645998959,9
1645998989,9
1645999019,9
1645999049,9
1645999079,9
1645999109,9
1645999139,9
1645999169,9
1645999199,9
1645999229,9
1645999259,9
1645999289,9
1645999319,9
1645999349,9
1645999379,9
1645999409,9
1645999439,9
1645999469,9
1645999499,9
1645999529,9
1645999559,9
1645999589,9
1645999619,9
1645999649,9
1645999679,9
1645999709,9
1645999739,9
1645999770,9
1645999800,9
1645999830,9
1645999860,9
1645999890,9
1645999920,9
1645999950,9
1645999980,9
1646000010,0
1646240100,0
1646240130,0
1646240160,0
1646240190,0
1646240220,0
1646240250,0
1646240280,0
1646240310,0
1646240340,0
1646240370,0
1646240400,0
1646240430,0
1646240460,0
1646240490,0
1646240520,0
1646240550,0
1646240580,0
1646240610,0
1646240640,0
1646240670,0
1646240700,0
1646240730,0
1646243480,0
1646243510,0
1646243540,0
1646243570,0
1646243600,0
1646243630,0
1646243660,0
1646243690,0
1646243720,0
1646243750,0
1646243780,0
1646243810,0
1646243840,0
1646243870,0
1646243900,0
1646243930,0
1646243960,0
1646243990,0
1646244020,0
1646244050,0
1646244080,0
1646244110,0
1646244140,0
1646244170,0
1646244200,0
1646244230,0
1646244260,0
1646244290,0
1646244320,0
1646244350,0
1646244380,0
1646244410,0
1646244440,0
1646244470,0
1646244500,0
1646244530,0
1646244560,0
1646244590,0
1646244620,0
1646244650,0
1646244680,0
1646244710,0
1646244740,0
1646244770,0
1646244800,0
1646244830,0
1646244860,0
1646244890,0
1646244920,0
1646244950,0
1646244980,0
1646245010,0
1646245040,0
1646245070,0
1646245100,0
1646245130,0
1646245160,0
1646245190,0
1646245220,0
1646245250,0
1646245280,0
1646245310,0
1646245340,0
1646245371,0
1646245401,0
1646245431,0
1646245461,0
1646245491,0
1646245521,0
1646245551,0
1646245581,0
1646245611,0
1646245641,0
1646245671,0
1646245701,0
1646245731,0
1646245761,0
1646245791,0
1646245821,0
1646245851,0
1646245881,0
1646245911,0
1646245941,0
1646245971,0
1646246001,0
1646246031,0
1646246061,0
1646246091,0
1646246121,0
1646246151,0
1646246181,0
1646246211,0
1646246241,0
1646246271,0
1646246301,0
1646246331,0
1646246361,0
1646246391,0
1646246421,0
1646246451,0
1646246481,0
1646246511,0
1646246541,0
1646246571,0
1646246601,0
1646246631,0
1646247249,0
1646248212,0
1646248242,0
1646248272,0
1646248302,0
1646248332,0
1646248362,0
1646248392,0
1646248422,0
1646248452,0
1646248482,0
1646248512,0
1646248542,0
1646248572,0
1646248602,0
1646248632,0
1646248662,0
1646248692,0
1646248722,0
1646248752,0
1646248782,0
1646248812,0
1646248842,0
1646248872,0
1646248902,0
1646248932,0
1646248962,0
1646248992,0
1646249022,0
1646249052,0
1646249082,0
1646249112,0
1646249143,0
1646249173,0
1646249203,0
1646249233,0
1646249263,0
1646249293,0
1646249323,0
1646249353,0
1646249383,0
1646249413,0
1646249443,0
1646249473,0
1646249503,0
1646249533,0
1646249563,0
1646249593,0
1646249623,0
1646249653,0
1646249683,0
1646249713,0
1646249743,0
1646249773,0
1646249803,0
1646249833,0
1646249863,0
1646249893,0
1646249923,0
1646249953,0
1646249983,0
1646250013,0
1646250043,0
1646250073,0
1646250103,0
1646250133,0
1646250163,0
1646250193,0
1646250223,0
1646250253,0
1646250283,0
1646250313,0
1646250343,0
1646250373,0
1646250403,0
1646250433,0
1646250463,0
1646250493,0
1646250523,0
1646250553,0
1646250731,0
1646250761,0
1646250791,0
1646250866,0
1646250896,0
1646250926,0
1646253057,0
1646253087,0
1646253117,0
1646253147,0
1646253177,0
1646253207,0
1646253237,0
1646253267,0
1646253297,0
1646253327,0
1646253357,0
1646253387,0
1646253417,0
1646253447,0
1646253477,0
1646253507,0
1646253537,0
1646253567,0
1646253597,0
1646253627,0
1646257269,0
1646257299,0
1646257329,0
1646257359,0
1646257389,0
1646257419,0
1646257449,0
1646257479,0
1646257509,0
1646257539,0
1646257569,0
1646257599,0
1646257629,0
1646257659,0
1646257689,0
1646257719,0
1646257749,0
1646257779,0
1646257809,0
1646257839,0
1646257869,0
1646257899,0
1646257929,0
1646257959,0
1646257989,0
1646258019,0
1646258049,0
1646258079,0
1646258109,0
1646258139,0
1646258169,0
1646258199,0
1646258229,0
1646258259,0
1646258289,0
1646258319,0
1646258349,0
1646258380,0
1646258410,0
1646258440,0
1646258470,0
1646258500,0
1646258530,0
1646258560,0
1646258590,0
1646258620,0
1646258650,0
1646258680,0
1646258710,0
1646258740,0
1646258770,0
1646258800,0
