t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,25,1.865638,0.000000,0.000000,0.000000,events/second
1645691310,28,0.643850,0.000000,0.000000,0.000000,events/second
1645691340,34,0.462609,0.000000,0.000000,0.000000,events/second
1645691370,37,0.357440,0.000000,0.000000,0.000000,events/second
1645691400,43,0.322051,0.000000,0.000000,0.000000,events/second
1645691430,46,0.281290,0.000000,0.000000,0.000000,events/second
1645691460,52,0.268679,0.000000,0.000000,0.000000,events/second
1645691490,55,0.246017,0.000000,0.000000,0.000000,events/second
1645691520,61,0.240556,0.000000,0.000000,0.000000,events/second
1645691550,64,0.225679,0.000000,0.000000,0.000000,events/second
1645691580,70,0.223218,0.000000,0.000000,0.000000,events/second
1645691610,73,0.212451,0.000000,0.000000,0.000000,events/second
1645691640,79,0.211442,0.000000,0.000000,0.000000,events/second
1645691670,82,0.203155,0.000000,0.000000,0.000000,events/second
1645691700,88,0.202928,0.000000,0.000000,0.000000,events/second
1645691730,94,0.202735,0.000000,0.000000,0.000000,events/second
1645691760,109,0.220789,0.000000,0.000000,0.000000,events/second
1645691790,115,0.219576,0.000000,0.000000,0.000000,events/second
1645691820,124,0.223929,0.000000,0.000000,0.000000,events/second
1645691850,127,0.217554,0.000000,0.000000,0.000000,events/second
1645691880,133,0.216691,0.000000,0.000000,0.000000,events/second
1645691910,136,0.211250,0.000000,0.000000,0.000000,events/second
1645691940,151,0.224103,0.000000,0.000000,0.000000,events/second
1645691970,154,0.218810,0.000000,0.000000,0.000000,events/second
1645692000,160,0.218037,0.000000,0.000000,0.000000,events/second
1645692030,167,0.218630,0.000000,0.000000,0.000000,events/second
1645799460,25,1.004567,0.000000,0.000000,0.000000,events/second
1645799490,31,0.562407,0.000000,0.000000,0.000000,events/second
1645799520,37,0.434621,0.000000,0.000000,0.000000,events/second
1645799550,49,0.425561,0.000000,0.000000,0.000000,events/second
1645799580,61,0.420191,0.000000,0.000000,0.000000,events/second
1645799610,67,0.382455,0.000000,0.000000,0.000000,events/second
1645799640,70,0.341136,0.000000,0.000000,0.000000,events/second
1645799670,76,0.323126,0.000000,0.000000,0.000000,events/second
1645799700,79,0.297881,0.000000,0.000000,0.000000,events/second
1645799730,85,0.287920,0.000000,0.000000,0.000000,events/second
1645799760,88,0.270577,0.000000,0.000000,0.000000,events/second
1645799790,94,0.264607,0.000000,0.000000,0.000000,events/second
1645799820,97,0.251775,0.000000,0.000000,0.000000,events/second
1645799850,103,0.248002,0.000000,0.000000,0.000000,events/second
1645799880,106,0.238017,0.000000,0.000000,0.000000,events/second
1645799910,112,0.235609,0.000000,0.000000,0.000000,events/second
1645799940,115,0.227554,0.000000,0.000000,0.000000,events/second
1645799970,121,0.226008,0.000000,0.000000,0.000000,events/second
1645800000,124,0.219315,0.000000,0.000000,0.000000,events/second
1645800030,130,0.218340,0.000000,0.000000,0.000000,events/second
