t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,134,9.998697,0.000000,0.000000,0.000000,events/second
1645691310,177,4.070131,0.000000,0.000000,0.000000,events/second
1645691340,223,3.034207,0.000000,0.000000,0.000000,events/second
1645691370,246,2.376516,0.000000,0.000000,0.000000,events/second
1645691400,292,2.186968,0.000000,0.000000,0.000000,events/second
1645691430,315,1.926232,0.000000,0.000000,0.000000,events/second
1645691460,361,1.865260,0.000000,0.000000,0.000000,events/second
1645691490,384,1.717651,0.000000,0.000000,0.000000,events/second
1645691520,430,1.695731,0.000000,0.000000,0.000000,events/second
1645691550,453,1.597391,0.000000,0.000000,0.000000,events/second
1645691580,499,1.591228,0.000000,0.000000,0.000000,events/second
1645691610,522,1.519178,0.000000,0.000000,0.000000,events/second
1645691640,568,1.520243,0.000000,0.000000,0.000000,events/second
1645691670,591,1.464203,0.000000,0.000000,0.000000,events/second
1645691700,697,1.607283,0.000000,0.000000,0.000000,events/second
1645691730,793,1.710310,0.000000,0.000000,0.000000,events/second
1645691760,978,1.981029,0.000000,0.000000,0.000000,events/second
1645691790,1119,2.136574,0.000000,0.000000,0.000000,events/second
1645691820,1233,2.226656,0.000000,0.000000,0.000000,events/second
1645691850,1371,2.348559,0.000000,0.000000,0.000000,events/second
1645691880,1452,2.365678,0.000000,0.000000,0.000000,events/second
1645691910,1475,2.291129,0.000000,0.000000,0.000000,events/second
1645691940,1635,2.426546,0.000000,0.000000,0.000000,events/second
1645691970,1663,2.362864,0.000000,0.000000,0.000000,events/second
1645692000,1709,2.328912,0.000000,0.000000,0.000000,events/second
1645692030,1762,2.306742,0.000000,0.000000,0.000000,events/second
1645799460,134,5.382916,0.000000,0.000000,0.000000,events/second
1645799490,180,3.265642,0.000000,0.000000,0.000000,events/second
1645799520,231,2.713476,0.000000,0.000000,0.000000,events/second
1645799550,333,2.892099,0.000000,0.000000,0.000000,events/second
1645799580,440,3.030904,0.000000,0.000000,0.000000,events/second
1645799610,486,2.774243,0.000000,0.000000,0.000000,events/second
1645799640,509,2.480558,0.000000,0.000000,0.000000,events/second
1645799670,555,2.359682,0.000000,0.000000,0.000000,events/second
1645799700,578,2.179442,0.000000,0.000000,0.000000,events/second
1645799730,624,2.113677,0.000000,0.000000,0.000000,events/second
1645799760,647,1.989365,0.000000,0.000000,0.000000,events/second
1645799790,693,1.950777,0.000000,0.000000,0.000000,events/second
1645799820,716,1.858468,0.000000,0.000000,0.000000,events/second
1645799850,762,1.834739,0.000000,0.000000,0.000000,events/second
1645799880,785,1.762675,0.000000,0.000000,0.000000,events/second
1645799910,831,1.748139,0.000000,0.000000,0.000000,events/second
1645799940,854,1.689837,0.000000,0.000000,0.000000,events/second
1645799970,900,1.681051,0.000000,0.000000,0.000000,events/second
1645800000,923,1.632486,0.000000,0.000000,0.000000,events/second
1645800030,969,1.627475,0.000000,0.000000,0.000000,events/second
1645800060,992,1.586167,0.000000,0.000000,0.000000,events/second
1645800090,1038,1.583715,0.000000,0.000000,0.000000,events/second
1645800120,1061,1.547940,0.000000,0.000000,0.000000,events/second
1645800150,1107,1.547306,0.000000,0.000000,0.000000,events/second
1645800180,1130,1.515880,0.000000,0.000000,0.000000,events/second
1645800210,1176,1.516537,0.000000,0.000000,0.000000,events/second
1645800240,1199,1.488585,0.000000,0.000000,0.000000,events/second
1645800270,1245,1.490183,0.000000,0.000000,0.000000,events/second
1645800300,1268,1.465084,0.000000,0.000000,0.000000,events/second
1645800330,1314,1.467355,0.000000,0.000000,0.000000,events/second
1645800360,1337,1.444617,0.000000,0.000000,0.000000,events/second
1645800390,1383,1.447391,0.000000,0.000000,0.000000,events/second
1645800420,1406,1.426646,0.000000,0.000000,0.000000,events/second
1645800450,1452,1.429790,0.000000,0.000000,0.000000,events/second
1645800480,1475,1.410740,0.000000,0.000000,0.000000,events/second
1645800510,1521,1.414144,0.000000,0.000000,0.000000,events/second
1645800540,1544,1.396569,0.000000,0.000000,0.000000,events/second
1645800570,1590,1.400164,0.000000,0.000000,0.000000,events/second
1645800600,1613,1.383840,0.000000,0.000000,0.000000,events/second
1645800630,1659,1.387587,0.000000,0.000000,0.000000,events/second
1645800661,1682,1.372375,0.000000,0.000000,0.000000,events/second
1645800691,1728,1.376212,0.000000,0.000000,0.000000,events/second
