t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,115,8.579572,0.000000,0.000000,0.000000,events/second
1645691310,155,3.564248,0.000000,0.000000,0.000000,events/second
1645691340,195,2.653235,0.000000,0.000000,0.000000,events/second
1645691370,215,2.077040,0.000000,0.000000,0.000000,events/second
1645691400,255,1.909854,0.000000,0.000000,0.000000,events/second
1645691430,275,1.681632,0.000000,0.000000,0.000000,events/second
1645691460,315,1.627583,0.000000,0.000000,0.000000,events/second
1645691490,335,1.498472,0.000000,0.000000,0.000000,events/second
1645691520,375,1.478836,0.000000,0.000000,0.000000,events/second
1645691550,395,1.392870,0.000000,0.000000,0.000000,events/second
1645691580,435,1.387143,0.000000,0.000000,0.000000,events/second
1645691610,455,1.324188,0.000000,0.000000,0.000000,events/second
1645691640,495,1.324860,0.000000,0.000000,0.000000,events/second
1645691670,515,1.275913,0.000000,0.000000,0.000000,events/second
1645691700,615,1.418191,0.000000,0.000000,0.000000,events/second
1645691730,705,1.520516,0.000000,0.000000,0.000000,events/second
1645691760,875,1.772393,0.000000,0.000000,0.000000,events/second
1645691790,1010,1.928454,0.000000,0.000000,0.000000,events/second
1645691820,1115,2.013562,0.000000,0.000000,0.000000,events/second
1645691850,1250,2.141284,0.000000,0.000000,0.000000,events/second
1645691880,1325,2.158763,0.000000,0.000000,0.000000,events/second
1645691910,1345,2.089200,0.000000,0.000000,0.000000,events/second
1645691940,1490,2.211348,0.000000,0.000000,0.000000,events/second
1645691970,1515,2.152579,0.000000,0.000000,0.000000,events/second
1645692000,1555,2.119052,0.000000,0.000000,0.000000,events/second
1645692030,1601,2.095968,0.000000,0.000000,0.000000,events/second
1645799460,115,4.618189,0.000000,0.000000,0.000000,events/second
1645799490,155,2.812088,0.000000,0.000000,0.000000,events/second
1645799520,200,2.349334,0.000000,0.000000,0.000000,events/second
1645799550,290,2.518647,0.000000,0.000000,0.000000,events/second
1645799580,385,2.652044,0.000000,0.000000,0.000000,events/second
1645799610,425,2.426038,0.000000,0.000000,0.000000,events/second
1645799640,445,2.168663,0.000000,0.000000,0.000000,events/second
1645799670,485,2.062066,0.000000,0.000000,0.000000,events/second
1645799700,505,1.904185,0.000000,0.000000,0.000000,events/second
1645799730,545,1.846081,0.000000,0.000000,0.000000,events/second
1645799760,565,1.737236,0.000000,0.000000,0.000000,events/second
1645799790,605,1.703060,0.000000,0.000000,0.000000,events/second
1645799820,625,1.622267,0.000000,0.000000,0.000000,events/second
1645799850,665,1.601184,0.000000,0.000000,0.000000,events/second
1645799880,685,1.538131,0.000000,0.000000,0.000000,events/second
1645799910,725,1.525152,0.000000,0.000000,0.000000,events/second
1645799940,745,1.474156,0.000000,0.000000,0.000000,events/second
1645799970,785,1.466251,0.000000,0.000000,0.000000,events/second
1645800000,805,1.423783,0.000000,0.000000,0.000000,events/second
1645800030,845,1.419212,0.000000,0.000000,0.000000,events/second
1645800060,865,1.383100,0.000000,0.000000,0.000000,events/second
1645800090,905,1.380793,0.000000,0.000000,0.000000,events/second
1645800120,925,1.349524,0.000000,0.000000,0.000000,events/second
1645800150,965,1.348827,0.000000,0.000000,0.000000,events/second
1645800180,985,1.321365,0.000000,0.000000,0.000000,events/second
1645800210,1025,1.321812,0.000000,0.000000,0.000000,events/second
1645800240,1045,1.297391,0.000000,0.000000,0.000000,events/second
1645800270,1085,1.298674,0.000000,0.000000,0.000000,events/second
1645800300,1105,1.276749,0.000000,0.000000,0.000000,events/second
1645800330,1145,1.278632,0.000000,0.000000,0.000000,events/second
1645800360,1165,1.258773,0.000000,0.000000,0.000000,events/second
1645800390,1205,1.261103,0.000000,0.000000,0.000000,events/second
1645800420,1225,1.242988,0.000000,0.000000,0.000000,events/second
1645800450,1265,1.245650,0.000000,0.000000,0.000000,events/second
1645800480,1285,1.229017,0.000000,0.000000,0.000000,events/second
1645800510,1325,1.231914,0.000000,0.000000,0.000000,events/second
1645800540,1345,1.216571,0.000000,0.000000,0.000000,events/second
1645800570,1385,1.219640,0.000000,0.000000,0.000000,events/second
1645800600,1405,1.205391,0.000000,0.000000,0.000000,events/second
1645800630,1445,1.208597,0.000000,0.000000,0.000000,events/second
1645800661,1465,1.195321,0.000000,0.000000,0.000000,events/second
1645800691,1505,1.198611,0.000000,0.000000,0.000000,events/second
1645800721,1525,1.186195,0.000000,0.000000,0.000000,events/second
1645800751,1565,1.189541,0.000000,0.000000,0.000000,events/second
1645800781,1585,1.177876,0.000000,0.000000,0.000000,events/second
