t,value
1645691280,9223372036854766975
1645691310,9223372036854766079
1645691340,9223372036854765183
1645691370,9223372036854764735
1645691400,9223372036854763839
1645691430,9223372036854763391
1645691460,9223372036854762495
1645691490,9223372036854762047
1645691520,9223372036854761151
1645691550,9223372036854760703
1645691580,9223372036854759807
1645691610,9223372036854759359
1645691640,9223372036854758463
1645691670,9223372036854758015
1645691700,9223372036854755775
1645691730,9223372036854753727
1645691760,9223372036854749951
1645691790,9223372036854746879
1645691820,9223372036854744575
1645691850,9223372036854741503
1645691880,9223372036854739839
1645691910,9223372036854739391
1645691940,9223372036854736191
1645691970,9223372036854735615
1645692000,9223372036854734719
1645692030,9223372036854774511
1645799460,9223372036854766975
1645799490,9223372036854766079
1645799520,9223372036854765055
1645799550,9223372036854763071
1645799580,9223372036854760895
1645799610,9223372036854759999
1645799640,9223372036854759551
1645799670,9223372036854758655
1645799700,9223372036854758207
1645799730,9223372036854757311
1645799760,9223372036854756863
1645799790,9223372036854755967
1645799820,9223372036854755519
1645799850,9223372036854754623
1645799880,9223372036854754175
1645799910,9223372036854753279
1645799940,9223372036854752831
1645799970,9223372036854751935
1645800000,9223372036854751487
1645800030,9223372036854750591
1645800060,9223372036854750143
1645800090,9223372036854749247
1645800120,9223372036854748799
1645800150,9223372036854747903
1645800180,9223372036854747455
1645800210,9223372036854746559
1645800240,9223372036854746111
1645800270,9223372036854745215
1645800300,9223372036854744767
1645800330,9223372036854743871
1645800360,9223372036854743423
1645800390,9223372036854742527
1645800420,9223372036854742079
1645800450,9223372036854741183
1645800480,9223372036854740735
1645800510,9223372036854739839
1645800540,9223372036854739391
1645800570,9223372036854738495
1645800600,9223372036854738047
1645800630,9223372036854737151
1645800661,9223372036854736703
1645800691,9223372036854735807
1645800721,9223372036854735359
1645800751,9223372036854734463
1645800781,9223372036854734015
1645800811,9223372036854733119
1645800841,9223372036854732671
1645800871,9223372036854731775
1645800901,9223372036854731327
1645800931,9223372036854730431
1645801355,9223372036854729983
1645801385,9223372036854729087
1645801415,9223372036854728639
1645801445,9223372036854727743
1645801475,9223372036854727295
1645801505,9223372036854726399
1645801535,9223372036854725951
1645801565,9223372036854725055
1645801595,9223372036854724607
1645801625,9223372036854723711
1645801655,9223372036854723263
1645801685,9223372036854722367
1645801715,9223372036854721919
1645801745,9223372036854721023
1645801775,9223372036854720575
1645801805,9223372036854719487
1645801835,9223372036854717759
1645801865,9223372036854713919
1645801895,9223372036854713471
1645801925,9223372036854712447
1645801955,9223372036854711999
1645801985,9223372036854710399
1645802015,9223372036854707391
1645802045,9223372036854706495
1645802075,9223372036854706047
1645802105,9223372036854704575
1645802135,9223372036854703487
1645802165,9223372036854702591
1645802195,9223372036854702143
1645802225,9223372036854700991
1645802255,9223372036854700351
1645802286,9223372036854699327
1645802316,9223372036854698175
1645802346,9223372036854697279
1645802376,9223372036854696831
1645802406,9223372036854695935
1645802436,9223372036854695487
1645802466,9223372036854694591
1645802496,9223372036854694143
1645802526,9223372036854693247
1645802556,9223372036854692799
1645802586,9223372036854691903
1645802616,9223372036854691455
1645802646,9223372036854690559
1645802676,9223372036854690111
1645802706,9223372036854689215
1645802736,9223372036854688767
1645802766,9223372036854687871
1645802796,9223372036854687423
1645802826,9223372036854686527
1645802856,9223372036854686079
1645802886,9223372036854685183
1645802916,9223372036854684735
1645802946,9223372036854683839
1645802976,9223372036854683391
1645803006,9223372036854682495
1645803036,9223372036854682047
1645803066,9223372036854767231
1645803096,9223372036854766783
1645803126,9223372036854765887
1645803156,9223372036854765439
1645803186,9223372036854764543
1645803216,9223372036854764095
1645803246,9223372036854763199
1645803276,9223372036854762751
1645803306,9223372036854761855
1645803336,9223372036854761407
1645803366,9223372036854760511
1645803396,9223372036854760063
1645803426,9223372036854759167
1645803456,9223372036854758719
1645803486,9223372036854757823
1645803516,9223372036854757375
1645803546,9223372036854756479
1645803576,9223372036854756031
1645803606,9223372036854755135
1645803636,9223372036854754687
1645803666,9223372036854753791
1645803696,9223372036854753343
1645803726,9223372036854752447
1645803756,9223372036854751999
1645803786,9223372036854751103
1645803816,9223372036854750655
1645803846,9223372036854749759
1645803876,9223372036854749311
1645803906,9223372036854748415
1645803936,9223372036854747967
1645803966,9223372036854747071
1645803996,9223372036854746623
1645804026,9223372036854745727
1645804056,9223372036854745279
1645804086,9223372036854744383
1645804116,9223372036854743935
1645804146,9223372036854743039
1645804176,9223372036854742591
1645804206,9223372036854741695
1645804236,9223372036854741247
