t,value
1645691280,167780992
1645691310,167781888
1645691340,167782784
1645691370,167783232
1645691400,167784128
1645691430,167784576
1645691460,167785472
1645691490,167785920
1645691520,167786816
1645691550,167787264
1645691580,167788160
1645691610,167788608
1645691640,167789504
1645691670,167789952
1645691700,167792192
1645691730,167794240
1645691760,167798016
1645691790,167801088
1645691820,167803392
1645691850,167806464
1645691880,167808128
1645691910,167808576
1645691940,167811776
1645691970,167812352
1645692000,167813248
1645692030,167773456
1645799460,167780992
1645799490,167781888
1645799520,167782912
1645799550,167784896
1645799580,167787072
1645799610,167787968
1645799640,167788416
1645799670,167789312
1645799700,167789760
1645799730,167790656
1645799760,167791104
1645799790,167792000
1645799820,167792448
1645799850,167793344
1645799880,167793792
1645799910,167794688
1645799940,167795136
1645799970,167796032
1645800000,167796480
1645800030,167797376
1645800060,167797824
1645800090,167798720
1645800120,167799168
1645800150,167800064
1645800180,167800512
1645800210,167801408
1645800240,167801856
1645800270,167802752
1645800300,167803200
1645800330,167804096
1645800360,167804544
1645800390,167805440
1645800420,167805888
1645800450,167806784
1645800480,167807232
1645800510,167808128
1645800540,167808576
1645800570,167809472
1645800600,167809920
1645800630,167810816
1645800661,167811264
1645800691,167812160
1645800721,167812608
1645800751,167813504
1645800781,167813952
1645800811,167814848
1645800841,167815296
1645800871,167816192
1645800901,167816640
1645800931,167817536
1645801355,167817984
1645801385,167818880
1645801415,167819328
1645801445,167820224
1645801475,167820672
1645801505,167821568
1645801535,167822016
1645801565,167822912
1645801595,167823360
1645801625,167824256
1645801655,167824704
1645801685,167825600
1645801715,167826048
1645801745,167826944
1645801775,167827392
1645801805,167828480
1645801835,167830208
1645801865,167834048
1645801895,167834496
1645801925,167835520
1645801955,167835968
1645801985,167837568
1645802015,167840576
1645802045,167841472
1645802075,167841920
1645802105,167843392
1645802135,167844480
1645802165,167845376
1645802195,167845824
1645802225,167846976
1645802255,167847616
1645802286,167848640
1645802316,167849792
1645802346,167850688
1645802376,167851136
1645802406,167852032
1645802436,167852480
1645802466,167853376
1645802496,167853824
1645802526,167854720
1645802556,167855168
1645802586,167856064
1645802616,167856512
1645802646,167857408
1645802676,167857856
1645802706,167858752
1645802736,167859200
1645802766,167860096
1645802796,167860544
1645802826,167861440
1645802856,167861888
1645802886,167862784
1645802916,167863232
1645802946,167864128
1645802976,167864576
1645803006,167865472
