t,value
1645691280,8832
1645691310,9728
1645691340,10624
1645691370,11072
1645691400,11968
1645691430,12416
1645691460,13312
1645691490,13760
1645691520,14656
1645691550,15104
1645691580,16000
1645691610,16448
1645691640,17344
1645691670,17792
1645691700,20032
1645691730,22080
1645691760,25856
1645691790,28928
1645691820,31232
1645691850,34304
1645691880,35968
1645691910,36416
1645691940,39616
1645691970,40192
1645692000,41088
1645692030,1296
1645799460,8832
1645799490,9728
1645799520,10752
1645799550,12736
1645799580,14912
1645799610,15808
1645799640,16256
1645799670,17152
1645799700,17600
1645799730,18496
1645799760,18944
1645799790,19840
1645799820,20288
1645799850,21184
1645799880,21632
1645799910,22528
1645799940,22976
1645799970,23872
1645800000,24320
1645800030,25216
1645800060,25664
1645800090,26560
1645800120,27008
1645800150,27904
1645800180,28352
1645800210,29248
1645800240,29696
1645800270,30592
1645800300,31040
1645800330,31936
1645800360,32384
1645800390,33280
1645800420,33728
1645800450,34624
1645800480,35072
1645800510,35968
1645800540,36416
1645800570,37312
1645800600,37760
1645800630,38656
1645800661,39104
1645800691,40000
1645800721,40448
1645800751,41344
1645800781,41792
1645800811,42688
1645800841,43136
1645800871,44032
1645800901,44480
1645800931,45376
1645801355,45824
1645801385,46720
1645801415,47168
1645801445,48064
1645801475,48512
1645801505,49408
1645801535,49856
1645801565,50752
1645801595,51200
1645801625,52096
1645801655,52544
1645801685,53440
1645801715,53888
1645801745,54784
1645801775,55232
1645801805,56320
1645801835,58048
1645801865,61888
1645801895,62336
1645801925,63360
1645801955,63808
1645801985,65408
1645802015,68416
1645802045,69312
1645802075,69760
1645802105,71232
1645802135,72320
1645802165,73216
1645802195,73664
1645802225,74816
1645802255,75456
1645802286,76480
1645802316,77632
1645802346,78528
1645802376,78976
1645802406,79872
1645802436,80320
1645802466,81216
1645802496,81664
1645802526,82560
1645802556,83008
1645802586,83904
1645802616,84352
1645802646,85248
1645802676,85696
1645802706,86592
1645802736,87040
1645802766,87936
1645802796,88384
1645802826,89280
1645802856,89728
1645802886,90624
1645802916,91072
1645802946,91968
1645802976,92416
1645803006,93312
1645803036,93760
1645803066,8576
1645803096,9024
1645803126,9920
1645803156,10368
1645803186,11264
