t,value
1645691280,0
1645691310,0
1645691340,0
1645691370,0
1645691400,0
1645691430,0
1645691460,0
1645691490,0
1645691520,0
1645691550,0
1645691580,0
1645691610,0
1645691640,0
1645691670,0
1645691700,0
1645691730,0
1645691760,0
1645691790,0
1645691820,0
1645691850,0
1645691880,0
1645691910,0
1645691940,0
1645691970,0
1645692000,0
1645799460,0
1645799490,0
1645799520,0
1645799550,0
1645799580,0
1645799610,0
1645799640,0
1645799670,0
1645799700,0
1645799730,0
1645799760,0
1645799790,0
1645799820,0
1645799850,0
1645799880,0
1645799910,0
1645799940,0
1645799970,0
1645800000,0
1645800030,0
1645800060,0
1645800090,0
1645800120,0
1645800150,0
1645800180,0
1645800210,0
1645800240,0
1645800270,0
1645800300,0
1645800330,0
1645800360,0
1645800390,0
1645800420,0
1645800450,0
1645800480,0
1645800510,0
1645800540,0
1645800570,0
1645800600,0
1645800630,0
1645800661,0
1645800691,0
1645800721,0
1645800751,0
1645800781,0
1645800811,0
1645800841,0
1645800871,0
1645800901,0
1645800931,0
1645801355,0
1645801385,0
1645801415,0
1645801445,0
1645801475,0
1645801505,0
1645801535,0
1645801565,0
1645801595,0
1645801625,0
1645801655,0
1645801685,0
1645801715,0
1645801745,0
1645801775,0
1645801805,0
1645801835,0
1645801865,0
1645801895,0
1645801925,0
1645801955,0
1645801985,0
1645802015,0
1645802045,0
1645802075,0
1645802105,0
1645802135,0
1645802165,0
1645802195,0
1645802225,0
1645802255,0
1645802286,0
1645802316,0
1645802346,0
1645802376,0
1645802406,0
1645802436,0
1645802466,0
1645802496,0
1645802526,0
1645802556,0
1645802586,0
1645802616,0
1645802646,0
1645802676,0
1645802706,0
1645802736,0
1645802766,0
1645802796,0
1645802826,0
1645802856,0
1645802886,0
1645802916,0
1645802946,0
1645802976,0
1645803006,0
1645803036,0
1645803066,0
1645803096,0
1645803126,0
1645803156,0
1645803186,0
1645803216,0
1645803246,0
1645803276,0
1645803306,0
1645803336,0
1645803366,0
1645803396,0
1645803426,0
1645803456,0
1645803486,0
1645803516,0
1645803546,0
1645803576,0
1645803606,0
1645803636,0
1645803666,0
1645803696,0
1645803726,0
1645803756,0
1645803786,0
1645803816,0
1645803846,0
1645803876,0
1645803906,0
1645803936,0
1645803966,0
1645803996,0
1645804026,0
1645804056,0
1645804086,0
1645804116,0
1645804146,0
1645804176,0
1645804206,0
1645804236,0
1645804266,0
1645804296,0
1645804326,0
1645804356,0
1645804386,0
1645804918,0
1645905630,0
1645905660,0
1645905690,0
1645905720,0
1645905750,0
1645905780,0
1645905810,0
1645905840,0
1645905870,0
1645905900,0
1645905930,0
1645905960,0
1645905990,0
1645906020,0
1645906050,0
1645906080,0
1645906110,0
1645906140,0
1645906170,0
1645906200,0
1645906230,0
1645906260,0
1645906290,0
1645906320,0
1645906350,0
1645906380,0
1645906410,0
1645906440,0
1645906470,0
1645906500,0
1645906530,0
1645906560,0
1645906590,0
1645906620,0
1645906651,0
1645906681,0
1645906711,0
1645906741,38
1645906771,38
1645906801,38
1645906831,38
1645906861,38
1645906891,38
1645906921,38
1645906951,38
1645906981,38
1645907011,38
1645907041,38
1645907071,38
1645907101,38
1645907131,38
1645907161,38
1645907191,38
1645907221,38
1645907251,38
1645907281,38
1645907311,38
1645907341,38
1645907371,38
1645907401,38
1645907431,38
1645907461,38
1645907491,38
1645907521,38
1645907551,38
1645907581,38
1645907611,38
1645907641,38
1645907671,38
1645907701,38
1645907731,38
1645907761,38
1645907791,38
1645907821,38
1645907851,38
1645907881,38
1645907911,38
1645907941,38
1645907971,38
1645908001,38
1645908031,38
1645908061,38
1645908091,38
1645908121,38
1645908151,38
1645908181,38
1645908211,38
1645908241,38
1645908271,38
1645908301,38
1645908331,38
1645908361,38
1645908391,38
1645908421,38
1645908451,38
1645908481,38
1645908511,38
1645908541,38
1645908571,38
1645908601,38
1645908631,38
1645908661,38
1645908691,38
1645908721,38
1645908751,38
1645908781,38
1645908811,38
1645908841,38
1645908871,38
1645908901,38
1645908931,38
1645908961,38
1645908991,38
1645909021,38
1645909051,38
1645909081,38
1645909111,38
1645909141,38
1645909171,38
1645909201,38
1645909231,38
1645909261,38
1645909291,38
1645909321,38
1645909351,38
1645909381,38
1645909411,38
1645909441,38
1645909471,38
1645909501,38
1645909531,38
1645909561,38
1645909591,38
1645909621,38
1645909651,38
1645909681,38
1645909711,38
1645909741,38
1645909771,38
1645909801,38
1645909831,38
1645909861,38
1645909892,38
1645909922,38
1645909952,38
1645909982,38
1645910012,38
1645910042,38
1645910072,38
1645910102,38
1645910132,38
1645910162,38
1645910192,38
1645910222,38
1645910252,38
1645910282,38
1645910312,38
1645910342,38
1645910372,38
1645910402,38
1645910432,38
1645910462,38
1645910492,38
1645910522,38
1645910552,38
1645910582,38
1645910612,38
1645910642,38
1645911020,38
1645911050,38
1645911080,38
1645911110,38
1645911140,38
1645911170,38
1645911200,38
1645911230,38
1645911260,38
1645911290,38
1645911320,38
1645911350,38
1645911380,38
1645911410,38
1645911440,38
1645911470,38
1645911500,38
1645911530,38
1645911560,38
1645911590,38
1645911620,38
1645911650,38
1645911680,38
1645911710,38
1645911740,38
1645911770,38
1645911800,38
1645911830,38
1645911860,38
1645911890,38
1645911920,38
1645911950,38
1645911980,38
1645912010,38
1645912040,38
1645912070,38
1645912100,38
1645912130,38
1645912160,38
1645912190,38
1645912220,38
1645912250,38
1645912280,38
1645912310,38
1645912340,38
1645912370,38
1645912400,38
1645912430,38
1645912460,38
1645912490,38
1645912520,38
1645912550,38
1645912580,38
1645912610,38
1645912640,38
1645912670,38
1645912700,38
1645912730,38
1645912760,38
1645912790,38
1645912820,38
1645912850,38
1645912881,38
1645912911,38
1645912941,38
1645912971,38
1645913001,38
1645913031,38
1645913061,38
1645913091,38
1645913121,38
1645913151,38
1645913181,38
1645913319,38
1645913349,38
1645913379,38
1645913409,38
1645913439,38
1645913469,38
1645913499,38
1645913529,38
1645913559,38
1645913589,38
1645913619,38
1645913649,38
1645913679,38
1645913709,38
1645913739,38
1645913769,38
1645913799,38
1645913829,38
1645913859,38
1645913889,38
1645914183,38
1645914213,38
1645914243,38
1645914273,38
1645914303,38
1645914333,38
1645914363,38
1645914393,38
1645914423,38
1645914453,38
1645914483,38
1645914513,38
1645914543,38
1645914573,38
1645914603,38
1645914633,38
1645914663,38
1645914693,38
1645914723,38
1645914753,38
1645914783,38
1645914813,38
1645914843,38
1645914873,38
1645914903,38
1645914933,38
1645914963,38
