t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1645691280,8,192,51.625000,20,57.750541,32.000000,47.750000,192.000000,192.000000,192.000000,192.000000
1645691310,9,192,47.000000,10,55.774098,27.000000,46.500000,192.000000,192.000000,192.000000,192.000000
1645691340,11,192,39.727273,6,52.446336,22.000000,44.000000,192.000000,192.000000,192.000000,192.000000
1645691370,12,192,36.916667,6,50.944637,22.000000,42.250000,192.000000,192.000000,192.000000,192.000000
1645691400,14,192,32.500000,6,48.188332,21.000000,38.750000,192.000000,192.000000,192.000000,192.000000
1645691430,15,192,30.733333,6,46.936837,20.000000,37.000000,192.000000,192.000000,192.000000,192.000000
1645691460,17,192,27.764706,5,44.698335,10.000000,32.000000,192.000000,192.000000,192.000000,192.000000
1645691490,18,192,29.111111,5,43.738378,15.000000,38.750000,192.000000,192.000000,192.000000,192.000000
1645691520,20,192,26.700000,5,42.032694,9.000000,34.500000,185.000000,192.000000,192.000000,192.000000
1645691550,21,192,25.666667,5,41.241161,8.000000,32.000000,178.000000,192.000000,192.000000,192.000000
1645691580,23,192,23.913043,5,39.749114,6.000000,27.000000,164.000000,192.000000,192.000000,192.000000
1645691610,24,192,23.083333,4,39.087323,6.000000,25.750000,157.000000,192.000000,192.000000,192.000000
1645691640,26,192,21.615385,4,37.848199,6.000000,23.250000,143.000000,192.000000,192.000000,192.000000
1645691670,27,192,20.962963,4,37.267723,6.000000,22.000000,136.000000,192.000000,192.000000,192.000000
1645691700,34,192,21.705882,1,36.997567,6.000000,23.250000,130.500000,192.000000,192.000000,192.000000
1645691730,41,192,19.243902,1,34.118749,6.000000,21.000000,104.200000,192.000000,192.000000,192.000000
1645691760,52,192,18.192308,1,32.010439,6.000000,19.500000,88.550000,187.080000,192.000000,192.000000
1645691790,62,192,16.370968,1,29.630088,6.000000,15.000000,73.250000,170.680000,192.000000,192.000000
1645691820,65,192,15.800000,1,29.045331,6.000000,13.500000,69.500000,165.760000,192.000000,192.000000
1645691850,67,192,16.029851,1,28.832836,6.000000,15.000000,67.000000,162.480000,192.000000,192.000000
1645691880,74,192,15.891892,1,28.302944,5.000000,15.000000,71.000000,151.000000,192.000000,192.000000
1645691910,75,192,15.720000,1,28.150445,5.000000,15.000000,70.600000,149.360000,192.000000,192.000000
1645691940,87,192,14.206897,1,26.448782,5.000000,12.000000,62.200000,129.680000,192.000000,192.000000
1645691970,89,192,13.932584,1,26.210164,5.000000,12.000000,60.500000,126.400000,192.000000,192.000000
1645692000,91,192,13.725275,1,25.954690,5.000000,12.000000,58.800000,123.120000,192.000000,192.000000
1645799460,8,193,53.125000,20,57.496428,33.500000,48.250000,193.000000,193.000000,193.000000,193.000000
1645799490,10,193,44.100000,8,54.159128,28.500000,46.750000,193.000000,193.000000,193.000000,193.000000
1645799520,12,193,37.833333,6,51.128774,25.000000,44.000000,193.000000,193.000000,193.000000,193.000000
1645799550,16,193,29.937500,5,46.009374,14.000000,35.750000,193.000000,193.000000,193.000000,193.000000
1645799580,20,193,28.600000,5,43.463717,8.000000,35.750000,187.250000,193.000000,193.000000,193.000000
1645799610,22,193,26.454545,5,41.921386,8.000000,31.250000,175.750000,193.000000,193.000000,193.000000
1645799640,23,193,25.478261,4,41.224297,8.000000,29.000000,170.000000,193.000000,193.000000,193.000000
1645799670,25,193,23.800000,4,39.894653,7.000000,28.500000,158.500000,193.000000,193.000000,193.000000
1645799700,26,193,23.076923,4,39.262117,6.500000,28.250000,152.750000,193.000000,193.000000,193.000000
1645799730,28,193,21.750000,4,38.093088,6.000000,26.500000,141.250000,193.000000,193.000000,193.000000
1645799760,29,193,21.172414,4,37.535763,6.000000,25.000000,135.500000,193.000000,193.000000,193.000000
1645799790,31,193,20.096774,4,36.501466,6.000000,22.000000,124.000000,193.000000,193.000000,193.000000
1645799820,32,193,19.593750,4,36.020477,5.500000,21.500000,118.250000,193.000000,193.000000,193.000000
1645799850,34,193,18.705882,4,35.097725,5.000000,20.500000,106.750000,193.000000,193.000000,193.000000
1645799880,35,193,18.285714,4,34.666963,5.000000,20.000000,101.000000,193.000000,193.000000,193.000000
1645799910,37,193,17.513514,4,33.849029,5.000000,14.000000,89.500000,193.000000,193.000000,193.000000
1645799940,38,193,17.157895,4,33.460365,5.000000,11.000000,83.750000,193.000000,193.000000,193.000000
1645799970,40,193,16.500000,4,32.720260,5.000000,8.000000,76.550000,193.000000,193.000000,193.000000
1645800000,41,193,16.195122,4,32.367591,5.000000,8.000000,75.100000,193.000000,193.000000,193.000000
1645800030,43,193,15.627907,4,31.694241,5.000000,8.000000,72.200000,193.000000,193.000000,193.000000
1645800060,44,193,15.363636,4,31.372548,5.000000,8.000000,70.750000,193.000000,193.000000,193.000000
1645800090,46,193,14.869565,4,30.756830,5.000000,8.000000,67.850000,193.000000,193.000000,193.000000
1645800120,47,193,14.638298,4,30.461969,5.000000,8.000000,66.400000,193.000000,193.000000,193.000000
1645800150,49,193,14.204082,4,29.896334,5.000000,7.500000,63.500000,193.000000,193.000000,193.000000
