t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,8,0.570784,0.127929,0.026446,0.008864,events/second
1645691310,9,0.204129,0.091129,0.027126,0.009669,events/second
1645691340,11,0.148453,0.082722,0.030943,0.011544,events/second
1645691370,12,0.115257,0.063709,0.031196,0.012261,events/second
1645691400,14,0.104384,0.066091,0.034625,0.014051,events/second
1645691430,15,0.091389,0.053622,0.034528,0.014686,events/second
1645691460,17,0.087565,0.059973,0.037640,0.016397,events/second
1645691490,18,0.080299,0.049912,0.037256,0.016955,events/second
1645691520,20,0.078684,0.057722,0.040108,0.018591,events/second
1645691550,21,0.073894,0.048546,0.039489,0.019077,events/second
1645691580,23,0.073203,0.056894,0.042129,0.020643,events/second
1645691610,24,0.069725,0.048044,0.041318,0.021062,events/second
1645691640,26,0.069477,0.056590,0.043784,0.022563,events/second
1645691670,27,0.066793,0.047859,0.042815,0.022920,events/second
1645691700,34,0.078295,0.111893,0.057982,0.028749,events/second
1645691730,41,0.088312,0.173350,0.077889,0.036555,events/second
1645691760,52,0.105203,0.245932,0.105230,0.047362,events/second
1645691790,62,0.118244,0.283813,0.127140,0.056761,events/second
1645691820,65,0.117255,0.214303,0.124691,0.058194,events/second
1645691850,67,0.114655,0.155972,0.119167,0.058471,events/second
1645691880,74,0.120447,0.183325,0.129895,0.064189,events/second
1645691910,75,0.116389,0.124728,0.120731,0.063180,events/second
1645691940,87,0.129004,0.241003,0.147723,0.074271,events/second
1645691970,89,0.126347,0.172166,0.140007,0.074021,events/second
1645692000,91,0.123907,0.131873,0.133082,0.073786,events/second
1645799460,8,0.310676,0.101796,0.025262,0.008730,events/second
1645799490,10,0.178754,0.089191,0.029256,0.010635,events/second
1645799520,12,0.139609,0.083625,0.032975,0.012491,events/second
1645799550,16,0.137973,0.103425,0.042528,0.016452,events/second
1645799580,20,0.136991,0.114258,0.051117,0.020278,events/second
1645799610,22,0.124995,0.096750,0.052651,0.021805,events/second
1645799640,23,0.111640,0.072218,0.050838,0.022186,events/second
1645799670,25,0.105921,0.071252,0.052398,0.023650,events/second
1645799700,26,0.097734,0.056753,0.050609,0.023971,events/second
1645799730,28,0.094581,0.061871,0.052192,0.025377,events/second
1645799760,29,0.088943,0.051063,0.050422,0.025640,events/second
1645799790,31,0.087062,0.058421,0.052022,0.026992,events/second
1645799820,32,0.082883,0.048970,0.050269,0.027202,events/second
1645799850,34,0.081703,0.057151,0.051883,0.028502,events/second
1645799880,35,0.078446,0.048200,0.050143,0.028664,events/second
1645799910,37,0.077701,0.056684,0.051770,0.029916,events/second
1645799940,38,0.075070,0.047917,0.050041,0.030031,events/second
1645799970,40,0.074599,0.056512,0.051677,0.031238,events/second
1645800000,41,0.072410,0.047813,0.049956,0.031310,events/second
1645800030,43,0.072121,0.056449,0.051601,0.032475,events/second
1645800060,44,0.070262,0.047774,0.049888,0.032506,events/second
1645800090,46,0.070096,0.056426,0.051538,0.033632,events/second
1645800120,47,0.068488,0.047760,0.049831,0.033625,events/second
1645800150,49,0.068411,0.056417,0.051487,0.034715,events/second
1645800180,50,0.067000,0.047755,0.049785,0.034672,events/second
1645800210,52,0.066987,0.056414,0.051446,0.035727,events/second
1645800240,53,0.065733,0.047753,0.049747,0.035652,events/second
1645800270,55,0.065767,0.056413,0.051411,0.036675,events/second
1645800300,56,0.064643,0.047752,0.049716,0.036568,events/second
1645800330,58,0.064710,0.056413,0.051383,0.037561,events/second
1645800360,59,0.063692,0.047752,0.049691,0.037425,events/second
1645800390,61,0.063785,0.056412,0.051360,0.038390,events/second
1645800420,62,0.062858,0.047752,0.049670,0.038227,events/second
1645800450,64,0.062970,0.056412,0.051342,0.039166,events/second
1645800480,65,0.062119,0.047752,0.049653,0.038978,events/second
1645800510,67,0.062245,0.056412,0.051326,0.039892,events/second
1645800540,68,0.061461,0.047752,0.049639,0.039680,events/second
1645800570,70,0.061598,0.056412,0.051314,0.040570,events/second
1645800600,71,0.060870,0.047752,0.049628,0.040336,events/second
1645800630,73,0.061015,0.056412,0.051303,0.041205,events/second
1645800661,74,0.060337,0.047752,0.049619,0.040950,events/second
1645800691,76,0.060488,0.056412,0.051295,0.041800,events/second
1645800721,77,0.059855,0.047752,0.049611,0.041525,events/second
1645800751,79,0.060010,0.056412,0.051288,0.042355,events/second
1645800781,80,0.059415,0.047752,0.049605,0.042063,events/second
1645800811,82,0.059572,0.056412,0.051282,0.042875,events/second
1645800841,83,0.059012,0.047752,0.049600,0.042565,events/second
1645800871,85,0.059172,0.056412,0.051278,0.043362,events/second
1645800901,86,0.058643,0.047752,0.049595,0.043036,events/second
1645800931,88,0.058804,0.056412,0.051274,0.043817,events/second
1645801355,89,0.046327,0.012501,0.015580,0.028414,events/second
1645801385,91,0.046640,0.032837,0.020389,0.029663,events/second
1645801415,92,0.046438,0.032370,0.021594,0.029780,events/second
1645801445,94,0.046739,0.044888,0.025831,0.030983,events/second
1645801475,95,0.046542,0.039680,0.026517,0.031057,events/second
1645801505,97,0.046833,0.049322,0.030286,0.032218,events/second
1645801535,98,0.046640,0.042369,0.030549,0.032252,events/second
1645801565,100,0.046922,0.050953,0.033934,0.033374,events/second
1645801595,101,0.046733,0.043358,0.033849,0.033370,events/second
1645801625,103,0.047006,0.051553,0.036921,0.034455,events/second
1645801655,104,0.046821,0.043722,0.036552,0.034415,events/second
1645801685,106,0.047085,0.051773,0.039366,0.035467,events/second
1645801715,107,0.046904,0.043856,0.038764,0.035394,events/second
1645801745,109,0.047161,0.051855,0.041368,0.036413,events/second
1645801775,110,0.046983,0.043905,0.040576,0.036309,events/second
1645801805,113,0.047654,0.051884,0.043007,0.037298,events/second
1645801835,114,0.047475,0.054465,0.045100,0.038243,events/second
1645801865,123,0.050591,0.161576,0.069861,0.046882,events/second
1645801895,124,0.050380,0.110455,0.066357,0.046435,events/second
