t,value
1645691280,0
1645691310,0
1645691340,0
1645691370,0
1645691400,0
1645691430,0
1645691460,0
1645691490,0
1645691520,0
1645691550,0
1645691580,0
1645691610,0
1645691640,0
1645691670,0
1645691700,0
1645691730,1
1645691760,1
1645691790,2
1645691820,2
1645691850,2
1645691880,2
1645691910,2
1645691940,2
1645691970,2
1645692000,2
1645799460,2
1645799490,2
1645799520,2
1645799550,2
1645799580,2
1645799610,2
1645799640,2
1645799670,2
1645799700,2
1645799730,2
1645799760,2
1645799790,2
1645799820,2
1645799850,2
1645799880,2
1645799910,2
1645799940,2
1645799970,2
1645800000,2
1645800030,2
1645800060,2
1645800090,2
1645800120,2
1645800150,2
1645800180,2
1645800210,2
1645800240,2
1645800270,2
1645800300,2
1645800330,2
1645800360,2
1645800390,2
1645800420,2
1645800450,2
1645800480,2
1645800510,2
1645800540,2
1645800570,2
1645800600,2
1645800630,2
1645800661,2
1645800691,2
1645800721,2
1645800751,2
1645800781,2
1645800811,2
1645800841,2
1645800871,2
1645800901,2
1645800931,2
1645801355,2
1645801385,2
1645801415,2
1645801445,2
1645801475,2
1645801505,2
1645801535,2
1645801565,2
1645801595,2
1645801625,2
1645801655,2
1645801685,2
1645801715,2
1645801745,2
1645801775,2
1645801805,2
1645801835,2
1645801865,2
1645801895,2
1645801925,2
1645801955,2
1645801985,2
1645802015,2
1645802045,2
1645802075,2
1645802105,2
1645802135,2
1645802165,2
1645802195,2
1645802225,2
1645802255,2
1645802286,2
1645802316,2
1645802346,2
1645802376,2
1645802406,2
1645802436,2
1645802466,2
1645802496,2
1645802526,2
1645802556,2
1645802586,2
1645802616,2
1645802646,2
1645802676,2
1645802706,2
1645802736,2
1645802766,2
1645802796,2
1645802826,2
1645802856,2
1645802886,2
1645802916,2
1645802946,2
1645802976,2
1645803006,2
1645803036,2
1645803066,2
1645803096,2
1645803126,2
1645803156,2
1645803186,2
1645803216,2
1645803246,2
1645803276,2
1645803306,2
1645803336,2
1645803366,2
1645803396,2
1645803426,2
1645803456,2
1645803486,2
1645803516,2
1645803546,2
1645803576,2
1645803606,2
1645803636,2
1645803666,2
1645803696,2
1645803726,2
1645803756,2
1645803786,2
1645803816,2
1645803846,2
1645803876,2
1645803906,2
1645803936,2
1645803966,2
1645803996,2
1645804026,2
1645804056,2
1645804086,2
1645804116,2
1645804146,2
1645804176,2
1645804206,2
1645804236,2
1645804266,2
1645804296,2
1645804326,2
1645804356,2
1645804386,2
1645804918,2
1645905630,2
1645905660,3
1645905690,3
1645905720,3
1645905750,3
1645905780,3
1645905810,3
1645905840,3
1645905870,3
1645905900,3
1645905930,3
1645905960,3
1645905990,3
1645906020,3
1645906050,3
1645906080,3
1645906110,3
1645906140,3
1645906170,3
1645906200,3
1645906230,3
1645906260,3
1645906290,3
1645906320,3
1645906350,3
1645906380,3
1645906410,3
1645906440,3
1645906470,3
1645906500,3
1645906530,3
1645906560,3
1645906590,3
1645906620,3
1645906651,3
1645906681,3
1645906711,3
1645906741,3
1645906771,3
1645906801,3
1645906831,3
1645906861,3
1645906891,3
1645906921,3
1645906951,3
1645906981,3
1645907011,3
1645907041,3
1645907071,3
1645907101,3
1645907131,3
1645907161,3
1645907191,3
1645907221,3
1645907251,3
1645907281,3
1645907311,3
1645907341,3
1645907371,3
1645907401,3
1645907431,3
1645907461,3
1645907491,3
1645907521,3
1645907551,3
1645907581,3
1645907611,3
1645907641,3
1645907671,3
1645907701,3
1645907731,3
1645907761,3
1645907791,3
1645907821,3
1645907851,3
1645907881,3
1645907911,3
1645907941,3
1645907971,3
1645908001,3
1645908031,3
1645908061,3
1645908091,3
1645908121,3
1645908151,3
1645908181,3
1645908211,3
1645908241,3
1645908271,3
1645908301,3
1645908331,3
1645908361,3
1645908391,3
1645908421,3
1645908451,3
1645908481,3
1645908511,3
1645908541,3
1645908571,3
1645908601,3
1645908631,3
1645908661,3
1645908691,3
1645908721,3
1645908751,3
1645908781,3
1645908811,3
1645908841,3
1645908871,3
1645908901,3
1645908931,3
1645908961,3
1645908991,3
1645909021,3
1645909051,3
1645909081,3
1645909111,3
1645909141,3
1645909171,3
1645909201,3
1645909231,3
1645909261,3
1645909291,3
1645909321,3
1645909351,3
1645909381,3
1645909411,3
1645909441,3
1645909471,3
1645909501,3
1645909531,3
1645909561,3
1645909591,3
1645909621,3
1645909651,3
1645909681,3
1645909711,3
1645909741,3
1645909771,3
1645909801,3
1645909831,3
1645909861,3
1645909892,3
1645909922,3
1645909952,3
1645909982,3
1645910012,3
1645910042,3
1645910072,3
1645910102,3
1645910132,3
1645910162,3
1645910192,3
1645910222,3
1645910252,3
1645910282,3
1645910312,3
1645910342,3
1645910372,3
1645910402,3
1645910432,3
1645910462,3
1645910492,3
1645910522,3
1645910552,3
1645910582,3
1645910612,3
1645910642,3
1645911020,3
1645911050,3
1645911080,3
1645911110,3
1645911140,3
1645911170,3
1645911200,3
1645911230,3
1645911260,3
1645911290,3
1645911320,3
1645911350,3
1645911380,3
1645911410,3
1645911440,3
1645911470,3
1645911500,3
1645911530,3
1645911560,3
1645911590,3
1645911620,3
1645911650,3
1645911680,3
1645911710,3
1645911740,3
1645911770,3
1645911800,3
1645911830,3
1645911860,3
1645911890,3
1645911920,3
1645911950,3
1645911980,3
1645912010,3
1645912040,3
1645912070,3
1645912100,3
1645912130,3
1645912160,3
1645912190,3
1645912220,3
1645912250,3
1645912280,3
1645912310,3
1645912340,3
1645912370,3
1645912400,3
1645912430,3
1645912460,3
1645912490,3
1645912520,3
1645912550,3
1645912580,3
1645912610,3
1645912640,3
1645912670,3
1645912700,3
1645912730,3
1645912760,3
1645912790,3
1645912820,3
1645912850,3
1645912881,3
1645912911,3
1645912941,3
1645912971,3
1645913001,3
1645913031,3
1645913061,3
1645913091,3
1645913121,3
1645913151,3
1645913181,3
1645913319,3
1645913349,3
1645913379,3
1645913409,3
1645913439,3
1645913469,3
1645913499,3
1645913529,3
1645913559,3
1645913589,3
1645913619,3
1645913649,3
1645913679,3
1645913709,3
1645913739,3
1645913769,3
1645913799,3
1645913829,3
1645913859,3
1645913889,3
1645914183,3
1645914213,3
1645914243,3
1645914273,3
1645914303,3
1645914333,3
1645914363,3
1645914393,3
1645914423,3
1645914453,3
1645914483,3
1645914513,3
1645914543,3
1645914573,3
1645914603,3
1645914633,3
1645914663,3
1645914693,3
1645914723,3
1645914753,3
1645914783,3
1645914813,3
1645914843,3
1645914873,3
1645914903,3
1645914933,3
1645914963,3
