t,value
1645691280,8
1645691310,8
1645691340,8
1645691370,8
1645691400,8
1645691430,8
1645691460,8
1645691490,8
1645691520,8
1645691550,8
1645691580,8
1645691610,8
1645691640,8
1645691670,8
1645691700,8
1645691730,9
1645691760,9
1645691790,10
1645691820,10
1645691850,10
1645691880,10
1645691910,10
1645691940,10
1645691970,10
1645692000,10
1645799460,10
1645799490,10
1645799520,10
1645799550,10
1645799580,10
1645799610,10
1645799640,10
1645799670,10
1645799700,10
1645799730,10
1645799760,10
1645799790,10
1645799820,10
1645799850,10
1645799880,10
1645799910,10
1645799940,10
1645799970,10
1645800000,10
1645800030,10
1645800060,10
1645800090,10
1645800120,10
1645800150,10
1645800180,10
1645800210,10
1645800240,10
1645800270,10
1645800300,10
1645800330,10
1645800360,10
1645800390,10
1645800420,10
1645800450,10
1645800480,10
1645800510,10
1645800540,10
1645800570,10
1645800600,10
1645800630,10
1645800661,10
1645800691,10
1645800721,10
1645800751,10
1645800781,10
1645800811,10
1645800841,10
1645800871,10
1645800901,10
1645800931,10
1645801355,10
1645801385,10
1645801415,10
1645801445,10
1645801475,10
1645801505,10
1645801535,10
1645801565,10
1645801595,10
1645801625,10
1645801655,10
1645801685,10
1645801715,10
1645801745,10
1645801775,10
1645801805,10
1645801835,10
1645801865,10
1645801895,10
1645801925,10
1645801955,10
1645801985,10
1645802015,10
1645802045,10
1645802075,10
1645802105,10
1645802135,10
1645802165,10
1645802195,10
1645802225,10
1645802255,10
1645802286,10
1645802316,10
1645802346,10
1645802376,10
1645802406,10
1645802436,10
1645802466,10
1645802496,10
1645802526,10
1645802556,10
1645802586,10
1645802616,10
1645802646,10
1645802676,10
1645802706,10
1645802736,10
1645802766,10
1645802796,10
1645802826,10
1645802856,10
1645802886,10
1645802916,10
1645802946,10
1645802976,10
1645803006,10
1645803036,10
1645803066,10
1645803096,10
1645803126,10
1645803156,10
1645803186,10
1645803216,10
1645803246,10
1645803276,10
1645803306,10
1645803336,10
1645803366,10
1645803396,10
1645803426,10
1645803456,10
1645803486,10
1645803516,10
1645803546,10
1645803576,10
1645803606,10
1645803636,10
1645803666,10
1645803696,10
1645803726,10
1645803756,10
1645803786,10
1645803816,10
1645803846,10
1645803876,10
1645803906,10
1645803936,10
1645803966,10
1645803996,10
1645804026,10
1645804056,10
1645804086,10
1645804116,10
1645804146,10
1645804176,10
1645804206,10
1645804236,10
1645804266,10
1645804296,10
1645804326,10
1645804356,10
1645804386,10
1645804918,10
1645905630,10
1645905660,11
1645905690,11
1645905720,11
1645905750,11
1645905780,11
1645905810,11
1645905840,11
1645905870,11
1645905900,11
1645905930,11
1645905960,11
1645905990,11
1645906020,11
1645906050,11
1645906080,11
1645906110,11
1645906140,11
1645906170,11
1645906200,11
1645906230,11
1645906260,11
1645906290,11
1645906320,11
1645906350,11
1645906380,11
1645906410,11
1645906440,11
1645906470,11
1645906500,11
1645906530,11
1645906560,11
1645906590,11
1645906620,11
1645906651,11
1645906681,11
1645906711,11
1645906741,11
1645906771,11
1645906801,11
1645906831,11
1645906861,11
1645906891,11
1645906921,11
1645906951,11
1645906981,11
1645907011,11
1645907041,11
1645907071,11
1645907101,11
1645907131,11
1645907161,11
1645907191,11
1645907221,11
1645907251,11
1645907281,11
1645907311,11
1645907341,11
1645907371,11
1645907401,11
1645907431,11
1645907461,11
1645907491,11
1645907521,11
1645907551,11
1645907581,11
1645907611,11
1645907641,11
1645907671,11
1645907701,11
1645907731,11
1645907761,11
1645907791,11
1645907821,11
1645907851,11
1645907881,11
1645907911,11
1645907941,11
1645907971,11
1645908001,11
1645908031,11
1645908061,11
1645908091,11
1645908121,11
1645908151,11
1645908181,11
1645908211,11
1645908241,11
1645908271,11
1645908301,11
1645908331,11
1645908361,11
1645908391,11
1645908421,11
1645908451,11
1645908481,11
1645908511,11
1645908541,11
1645908571,11
1645908601,11
1645908631,11
1645908661,11
1645908691,11
1645908721,11
1645908751,11
1645908781,11
1645908811,11
1645908841,11
1645908871,11
1645908901,11
1645908931,11
1645908961,11
1645908991,11
1645909021,11
1645909051,11
1645909081,11
1645909111,11
1645909141,11
1645909171,11
1645909201,11
1645909231,11
1645909261,11
1645909291,11
1645909321,11
1645909351,11
1645909381,11
1645909411,11
1645909441,11
1645909471,11
1645909501,11
1645909531,11
1645909561,11
1645909591,11
1645909621,11
1645909651,11
1645909681,11
1645909711,11
1645909741,11
1645909771,11
1645909801,11
1645909831,11
1645909861,11
1645909892,11
1645909922,11
1645909952,11
1645909982,11
1645910012,11
1645910042,11
1645910072,11
1645910102,11
1645910132,11
1645910162,11
1645910192,11
1645910222,11
1645910252,11
1645910282,11
1645910312,11
1645910342,11
1645910372,11
1645910402,11
1645910432,11
1645910462,11
1645910492,11
1645910522,11
1645910552,11
1645910582,11
1645910612,11
1645910642,11
1645911020,11
1645911050,11
1645911080,11
1645911110,11
1645911140,11
1645911170,11
1645911200,11
1645911230,11
1645911260,11
1645911290,11
1645911320,11
1645911350,11
1645911380,11
1645911410,11
1645911440,11
1645911470,11
1645911500,11
1645911530,11
1645911560,11
1645911590,11
1645911620,11
1645911650,11
1645911680,11
1645911710,11
1645911740,11
1645911770,11
1645911800,11
1645911830,11
1645911860,11
1645911890,11
1645911920,11
1645911950,11
1645911980,11
1645912010,11
1645912040,11
1645912070,11
1645912100,11
1645912130,11
1645912160,11
1645912190,11
1645912220,11
1645912250,11
1645912280,11
1645912310,11
1645912340,11
1645912370,11
1645912400,11
1645912430,11
1645912460,11
1645912490,11
1645912520,11
1645912550,11
1645912580,11
1645912610,11
1645912640,11
1645912670,11
1645912700,11
1645912730,11
1645912760,11
1645912790,11
1645912820,11
1645912850,11
1645912881,11
1645912911,11
1645912941,11
1645912971,11
1645913001,11
1645913031,11
1645913061,11
1645913091,11
1645913121,11
1645913151,11
1645913181,11
1645913319,11
1645913349,11
1645913379,11
1645913409,11
1645913439,11
1645913469,11
1645913499,11
1645913529,11
1645913559,11
1645913589,11
1645913619,11
1645913649,11
1645913679,11
1645913709,11
1645913739,11
1645913769,11
1645913799,11
1645913829,11
1645913859,11
1645913889,11
1645914183,11
1645914213,11
1645914243,11
1645914273,11
1645914303,11
1645914333,11
1645914363,11
1645914393,11
1645914423,11
1645914453,11
1645914483,11
1645914513,11
1645914543,11
1645914573,11
1645914603,11
1645914633,11
1645914663,11
1645914693,11
1645914723,11
1645914753,11
1645914783,11
1645914813,11
1645914843,11
1645914873,11
1645914903,11
1645914933,11
1645914963,11
1645914993,11
1645915023,11
1645915053,11
1645915083,11
1645915113,11
1645915143,11
1645915173,11
1645915203,11
1645915233,11
1645915263,11
1645915294,11
1645915324,11
1645915354,11
1645915384,11
1645915414,11
1645915444,11
1645915474,11
1645915504,11
1645915534,11
1645915564,11
1645915594,11
1645915624,11
1645915654,11
1645915684,11
1645915714,11
1645915744,11
1645915774,11
1645915804,11
1645915834,11
1645915864,11
1645915894,11
1645915924,11
1645915954,11
1645915984,11
1645916014,11
1645916044,11
1645916074,11
1645916104,11
1645916134,11
1645916164,11
1645916194,11
1645916224,11
1645916254,11
1645916284,11
1645916314,11
1645916344,11
1645916374,11
1645916404,11
1645916434,11
1645916464,11
1645916494,11
1645916524,11
1645954885,11
1645954915,11
1645954945,11
1645954975,11
1645955005,11
1645955035,11
1645955065,11
1645955095,11
1645955125,11
1645955155,11
1645955185,11
1645955215,11
1645955245,11
1645955275,11
1645955305,11
1645955335,11
1645955365,11
1645955395,11
1645955425,11
1645955455,11
1645955485,11
1645955515,11
1645955545,11
1645955575,11
1645955605,11
1645955635,11
1645955665,11
1645955695,11
1645955725,11
1645955755,11
1645955785,11
1645955815,11
1645955845,11
1645955875,11
1645955905,11
1645955935,11
1645955965,11
1645955995,11
1645956025,11
1645956055,11
1645956085,11
1645956115,11
1645956145,11
1645956175,11
1645956205,11
1645956235,11
1645956265,11
1645956295,11
1645956325,11
1645956355,11
1645956385,11
1645956415,11
1645956445,11
1645956475,11
1645956505,11
1645956535,11
1645956565,11
1645956595,11
1645956625,11
1645956655,11
1645956685,11
1645956715,11
1645956745,11
1645956775,11
1645956805,11
1645956835,11
1645956865,11
1645956895,11
1645956925,11
1645956955,11
1645956985,11
1645957015,11
1645957045,11
1645957075,11
1645957105,11
1645957135,11
1645957165,11
1645957195,11
1645957225,11
1645957255,11
1645957285,11
1645957315,11
1645957345,11
1645957375,11
1645957405,11
1645957435,11
1645957465,11
1645957495,11
1645957525,11
1645957555,11
1645957585,11
1645957615,11
1645957646,11
1645957676,11
1645957706,11
1645957736,11
1645957766,11
1645957796,11
1645957826,11
1645957856,11
1645957886,11
1645957916,11
1645957946,11
1645957976,11
1645958006,11
1645958036,11
1645996710,11
1645996740,11
1645996770,11
1645996800,12
1645996830,12
1645996860,12
1645996890,12
1645996920,12
1645996950,12
1645996980,12
1645997010,12
1645997040,12
1645997070,12
1645997100,12
1645997130,12
1645997160,12
1645997190,12
1645997220,12
1645997250,12
1645997280,12
1645997310,12
1645997340,12
1645997370,12
1645997400,12
1645997430,12
1645997460,12
1645997490,12
1645997520,12
1645997550,12
1645997580,12
1645997610,12
1645997640,12
1645997670,12
1645997700,12
1645997730,12
1645997760,12
1645997790,12
1645997820,12
1645997850,12
1645997880,12
1645997911,12
1645997941,12
1645997971,12
1645998001,12
1645998031,12
1645998061,12
1645998091,12
1645998121,12
1645998151,12
1645998181,12
1645998211,12
1645998241,12
1645998271,12
1645998301,12
1645998331,12
1645998361,12
1645998391,12
1645998421,12
1645998451,12
1645998481,12
1645998509,12
1645998539,12
1645998569,12
1645998599,12
1645998629,12
1645998659,12
1645998689,12
1645998719,12
1645998749,12
1645998779,12
1645998809,12
1645998839,12
1645998869,12
1645998899,12
1645998929,12
1645998959,12
1645998989,12
1645999019,12
1645999049,12
1645999079,12
1645999109,12
1645999139,12
1645999169,12
1645999199,12
1645999229,12
1645999259,12
1645999289,12
1645999319,12
1645999349,12
1645999379,12
1645999409,12
1645999439,12
1645999469,12
1645999499,12
1645999529,12
1645999559,12
1645999589,12
1645999619,12
1645999649,12
1645999679,12
1645999709,12
1645999739,12
1645999770,12
1645999800,12
1645999830,12
1645999860,12
1645999890,12
1645999920,12
1645999950,12
1645999980,12
1646000010,12
1646240100,12
1646240130,12
1646240160,12
1646240190,12
1646240220,12
1646240250,12
1646240280,12
1646240310,12
1646240340,12
1646240370,12
1646240400,12
1646240430,12
1646240460,12
1646240490,12
1646240520,12
1646240550,12
1646240580,12
1646240610,12
1646240640,12
1646240670,12
1646240700,12
1646240730,12
1646243480,12
1646243510,12
1646243540,12
1646243570,12
1646243600,12
1646243630,12
1646243660,12
1646243690,12
1646243720,12
1646243750,12
1646243780,12
1646243810,12
1646243840,12
1646243870,12
1646243900,12
1646243930,12
1646243960,12
1646243990,12
1646244020,12
1646244050,12
1646244080,12
1646244110,12
1646244140,12
1646244170,12
1646244200,12
1646244230,12
1646244260,12
1646244290,12
1646244320,12
1646244350,12
1646244380,12
1646244410,12
1646244440,12
1646244470,12
1646244500,12
1646244530,12
1646244560,12
1646244590,12
1646244620,12
1646244650,12
1646244680,12
1646244710,12
1646244740,12
1646244770,12
1646244800,12
1646244830,12
1646244860,12
1646244890,12
1646244920,12
1646244950,12
1646244980,12
1646245010,12
1646245040,12
1646245070,12
1646245100,12
1646245130,12
1646245160,12
1646245190,12
1646245220,12
1646245250,12
1646245280,12
1646245310,12
1646245340,12
1646245371,12
1646245401,12
1646245431,12
1646245461,12
1646245491,12
1646245521,12
1646245551,12
1646245581,12
1646245611,12
1646245641,12
1646245671,12
1646245701,12
1646245731,12
1646245761,12
1646245791,12
1646245821,12
1646245851,12
1646245881,12
1646245911,12
1646245941,12
1646245971,12
1646246001,12
1646246031,12
1646246061,12
1646246091,12
1646246121,12
1646246151,12
1646246181,12
1646246211,12
1646246241,12
1646246271,12
1646246301,12
1646246331,12
1646246361,12
1646246391,12
1646246421,12
1646246451,12
1646246481,12
1646246511,12
1646246541,12
1646246571,12
1646246601,12
1646246631,12
1646247249,12
1646248212,12
