t,value
1645691280,770048
1645691310,770048
1645691340,770048
1645691370,770048
1645691400,770048
1645691430,770048
1645691460,770048
1645691490,770048
1645691520,770048
1645691550,770048
1645691580,770048
1645691610,770048
1645691640,770048
1645691670,770048
1645691700,770048
1645691730,770048
1645691760,770048
1645691790,770048
1645691820,770048
1645691850,770048
1645691880,852682
1645691910,852682
1645691940,852682
1645691970,852682
1645692000,852682
1645799460,926410
1645799490,926410
1645799520,926410
1645799550,926410
1645799580,926410
1645799610,926410
1645799640,926410
1645799670,926410
1645799700,926410
1645799730,926410
1645799760,926410
1645799790,926410
1645799820,926410
1645799850,926410
1645799880,926410
1645799910,926410
1645799940,926410
1645799970,926410
1645800000,926410
1645800030,926410
1645800060,926410
1645800090,926410
1645800120,926410
1645800150,926410
1645800180,926410
1645800210,926410
1645800240,926410
1645800270,926410
1645800300,926410
1645800330,926410
1645800360,926410
1645800390,926410
1645800420,926410
1645800450,926410
1645800480,926410
1645800510,926410
1645800540,926410
1645800570,926410
1645800600,926410
1645800630,926410
1645800661,926410
1645800691,926410
1645800721,926410
1645800751,926410
1645800781,926410
1645800811,926410
1645800841,926410
1645800871,926410
1645800901,926410
1645800931,926410
1645801355,926410
1645801385,926410
1645801415,926410
1645801445,926410
1645801475,926410
1645801505,926410
1645801535,926410
1645801565,926410
1645801595,926410
1645801625,926410
1645801655,926410
1645801685,926410
1645801715,926410
1645801745,926410
1645801775,926410
1645801805,926410
1645801835,926410
1645801865,926410
1645801895,926410
1645801925,926410
1645801955,926410
1645801985,926410
1645802015,926410
1645802045,926410
1645802075,926410
1645802105,926410
1645802135,926410
1645802165,926410
1645802195,926410
1645802225,926410
1645802255,926410
1645802286,926410
1645802316,926410
1645802346,926410
1645802376,926410
1645802406,926410
1645802436,926410
1645802466,926410
1645802496,926410
1645802526,926410
1645802556,926410
1645802586,926410
1645802616,926410
1645802646,926410
1645802676,926410
1645802706,926410
1645802736,926410
1645802766,926410
1645802796,926410
1645802826,926410
1645802856,926410
