t,value
1645691280,770048
1645691310,770048
1645691340,770048
1645691370,770048
1645691400,770048
1645691430,770048
1645691460,770048
1645691490,770048
1645691520,770048
1645691550,770048
1645691580,770048
1645691610,770048
1645691640,770048
1645691670,770048
1645691700,770048
1645691730,770048
1645691760,770048
1645691790,770048
1645691820,770048
1645691850,770048
1645691880,856899
1645691910,856899
1645691940,856899
1645691970,856899
1645692000,856899
1645799460,931333
1645799490,931333
1645799520,931333
1645799550,931333
1645799580,931333
1645799610,931333
1645799640,931333
1645799670,931333
1645799700,931333
1645799730,931333
1645799760,931333
1645799790,931333
1645799820,931333
1645799850,931333
1645799880,931333
1645799910,931333
1645799940,931333
1645799970,931333
1645800000,931333
1645800030,931333
1645800060,931333
1645800090,931333
1645800120,931333
1645800150,931333
1645800180,931333
1645800210,931333
1645800240,931333
1645800270,931333
1645800300,931333
1645800330,931333
1645800360,931333
1645800390,931333
1645800420,931333
1645800450,931333
1645800480,931333
1645800510,931333
1645800540,931333
1645800570,931333
1645800600,931333
1645800630,931333
1645800661,931333
1645800691,931333
1645800721,931333
1645800751,931333
1645800781,931333
1645800811,931333
1645800841,931333
1645800871,931333
1645800901,931333
1645800931,931333
1645801355,931354
1645801385,931354
1645801415,931354
1645801445,931354
1645801475,931354
1645801505,931354
1645801535,931354
1645801565,931354
1645801595,931354
1645801625,931354
1645801655,931354
1645801685,931354
1645801715,931354
1645801745,931354
1645801775,931354
1645801805,931354
1645801835,931333
1645801865,931333
1645801895,931333
1645801925,931333
1645801955,931333
1645801985,931333
1645802015,931333
1645802045,931333
1645802075,931333
1645802105,931333
1645802135,931333
1645802165,931333
1645802195,931333
1645802225,931333
1645802255,931333
1645802286,931333
1645802316,931333
1645802346,931333
1645802376,931333
1645802406,931333
1645802436,931333
1645802466,931333
1645802496,931333
1645802526,931333
1645802556,931333
1645802586,931333
1645802616,931333
1645802646,931333
1645802676,931333
1645802706,931333
1645802736,931333
1645802766,931333
1645802796,931333
1645802826,931333
1645802856,931333
