t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,4,0.288377,0.000000,0.000000,0.000000,events/second
1645691310,5,0.113786,0.000000,0.000000,0.000000,events/second
1645691340,7,0.094659,0.000000,0.000000,0.000000,events/second
1645691370,8,0.076947,0.000000,0.000000,0.000000,events/second
1645691400,10,0.074642,0.000000,0.000000,0.000000,events/second
1645691430,11,0.067079,0.000000,0.000000,0.000000,events/second
1645691460,13,0.067013,0.000000,0.000000,0.000000,events/second
1645691490,14,0.062495,0.000000,0.000000,0.000000,events/second
1645691520,16,0.062984,0.000000,0.000000,0.000000,events/second
1645691550,17,0.059850,0.000000,0.000000,0.000000,events/second
1645691580,19,0.060500,0.000000,0.000000,0.000000,events/second
1645691610,20,0.058129,0.000000,0.000000,0.000000,events/second
1645691640,22,0.058811,0.000000,0.000000,0.000000,events/second
1645691670,23,0.056918,0.000000,0.000000,0.000000,events/second
1645691700,30,0.069108,0.000000,0.000000,0.000000,events/second
1645691730,39,0.084031,0.000000,0.000000,0.000000,events/second
1645691760,50,0.101186,0.000000,0.000000,0.000000,events/second
1645691790,61,0.116370,0.000000,0.000000,0.000000,events/second
1645691820,64,0.115482,0.000000,0.000000,0.000000,events/second
1645691850,66,0.112972,0.000000,0.000000,0.000000,events/second
1645691880,73,0.118848,0.000000,0.000000,0.000000,events/second
1645691910,74,0.114864,0.000000,0.000000,0.000000,events/second
1645691940,87,0.129032,0.000000,0.000000,0.000000,events/second
1645691970,89,0.126374,0.000000,0.000000,0.000000,events/second
1645692000,91,0.123932,0.000000,0.000000,0.000000,events/second
1645799460,2,0.078381,0.000000,0.000000,0.000000,events/second
1645799490,4,0.071811,0.000000,0.000000,0.000000,events/second
1645799520,6,0.070001,0.000000,0.000000,0.000000,events/second
1645799550,10,0.086413,0.000000,0.000000,0.000000,events/second
1645799580,14,0.096053,0.000000,0.000000,0.000000,events/second
1645799610,16,0.091031,0.000000,0.000000,0.000000,events/second
1645799640,17,0.082613,0.000000,0.000000,0.000000,events/second
1645799670,19,0.080583,0.000000,0.000000,0.000000,events/second
1645799700,20,0.075248,0.000000,0.000000,0.000000,events/second
1645799730,22,0.074374,0.000000,0.000000,0.000000,events/second
1645799760,23,0.070593,0.000000,0.000000,0.000000,events/second
1645799790,25,0.070259,0.000000,0.000000,0.000000,events/second
1645799820,26,0.067385,0.000000,0.000000,0.000000,events/second
1645799850,28,0.067324,0.000000,0.000000,0.000000,events/second
1645799880,29,0.065033,0.000000,0.000000,0.000000,events/second
1645799910,31,0.065134,0.000000,0.000000,0.000000,events/second
1645799940,32,0.063247,0.000000,0.000000,0.000000,events/second
1645799970,34,0.063437,0.000000,0.000000,0.000000,events/second
1645800000,35,0.061840,0.000000,0.000000,0.000000,events/second
1645800030,37,0.062082,0.000000,0.000000,0.000000,events/second
1645800060,38,0.060704,0.000000,0.000000,0.000000,events/second
