t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,2,0.144163,0.000000,0.000000,0.000000,events/second
1645691310,3,0.068271,0.000000,0.000000,0.000000,events/second
1645691340,5,0.067613,0.000000,0.000000,0.000000,events/second
1645691370,6,0.057710,0.000000,0.000000,0.000000,events/second
1645691400,8,0.059714,0.000000,0.000000,0.000000,events/second
1645691430,9,0.054883,0.000000,0.000000,0.000000,events/second
1645691460,11,0.056703,0.000000,0.000000,0.000000,events/second
1645691490,12,0.053568,0.000000,0.000000,0.000000,events/second
1645691520,14,0.055111,0.000000,0.000000,0.000000,events/second
1645691550,15,0.052809,0.000000,0.000000,0.000000,events/second
1645691580,17,0.054132,0.000000,0.000000,0.000000,events/second
1645691610,18,0.052316,0.000000,0.000000,0.000000,events/second
1645691640,20,0.053465,0.000000,0.000000,0.000000,events/second
1645691670,21,0.051969,0.000000,0.000000,0.000000,events/second
1645691700,28,0.064500,0.000000,0.000000,0.000000,events/second
1645691730,34,0.073258,0.000000,0.000000,0.000000,events/second
1645691760,45,0.091068,0.000000,0.000000,0.000000,events/second
1645691790,54,0.103016,0.000000,0.000000,0.000000,events/second
1645691820,57,0.102851,0.000000,0.000000,0.000000,events/second
1645691850,59,0.100990,0.000000,0.000000,0.000000,events/second
1645691880,66,0.107451,0.000000,0.000000,0.000000,events/second
1645691910,67,0.103998,0.000000,0.000000,0.000000,events/second
1645691940,78,0.115684,0.000000,0.000000,0.000000,events/second
1645691970,80,0.113594,0.000000,0.000000,0.000000,events/second
1645692000,82,0.111675,0.000000,0.000000,0.000000,events/second
1645799460,2,0.078358,0.000000,0.000000,0.000000,events/second
1645799490,4,0.071811,0.000000,0.000000,0.000000,events/second
1645799520,6,0.070001,0.000000,0.000000,0.000000,events/second
1645799550,10,0.086413,0.000000,0.000000,0.000000,events/second
1645799580,14,0.096053,0.000000,0.000000,0.000000,events/second
1645799610,16,0.091031,0.000000,0.000000,0.000000,events/second
1645799640,17,0.082613,0.000000,0.000000,0.000000,events/second
1645799670,19,0.080583,0.000000,0.000000,0.000000,events/second
1645799700,20,0.075248,0.000000,0.000000,0.000000,events/second
1645799730,22,0.074374,0.000000,0.000000,0.000000,events/second
1645799760,23,0.070593,0.000000,0.000000,0.000000,events/second
1645799790,25,0.070259,0.000000,0.000000,0.000000,events/second
1645799820,26,0.067385,0.000000,0.000000,0.000000,events/second
1645799850,28,0.067324,0.000000,0.000000,0.000000,events/second
1645799880,29,0.065033,0.000000,0.000000,0.000000,events/second
1645799910,31,0.065134,0.000000,0.000000,0.000000,events/second
1645799940,32,0.063247,0.000000,0.000000,0.000000,events/second
1645799970,34,0.063437,0.000000,0.000000,0.000000,events/second
1645800000,35,0.061840,0.000000,0.000000,0.000000,events/second
1645800030,37,0.062082,0.000000,0.000000,0.000000,events/second
1645800060,38,0.060704,0.000000,0.000000,0.000000,events/second
1645800090,40,0.060975,0.000000,0.000000,0.000000,events/second
1645800120,41,0.059766,0.000000,0.000000,0.000000,events/second
1645800150,43,0.060054,0.000000,0.000000,0.000000,events/second
1645800180,44,0.058979,0.000000,0.000000,0.000000,events/second
1645800210,46,0.059276,0.000000,0.000000,0.000000,events/second
1645800240,47,0.058309,0.000000,0.000000,0.000000,events/second
1645800270,49,0.058609,0.000000,0.000000,0.000000,events/second
1645800300,50,0.057733,0.000000,0.000000,0.000000,events/second
1645800330,52,0.058031,0.000000,0.000000,0.000000,events/second
1645800360,53,0.057230,0.000000,0.000000,0.000000,events/second
1645800390,55,0.057526,0.000000,0.000000,0.000000,events/second
1645800420,56,0.056789,0.000000,0.000000,0.000000,events/second
1645800450,58,0.057080,0.000000,0.000000,0.000000,events/second
1645800480,59,0.056398,0.000000,0.000000,0.000000,events/second
1645800510,61,0.056684,0.000000,0.000000,0.000000,events/second
1645800540,62,0.056050,0.000000,0.000000,0.000000,events/second
1645800570,64,0.056330,0.000000,0.000000,0.000000,events/second
1645800600,65,0.055738,0.000000,0.000000,0.000000,events/second
1645800630,67,0.056012,0.000000,0.000000,0.000000,events/second
1645800661,68,0.055456,0.000000,0.000000,0.000000,events/second
1645800691,70,0.055723,0.000000,0.000000,0.000000,events/second
1645800721,71,0.055201,0.000000,0.000000,0.000000,events/second
1645800751,73,0.055462,0.000000,0.000000,0.000000,events/second
1645800781,74,0.054969,0.000000,0.000000,0.000000,events/second
1645800811,76,0.055223,0.000000,0.000000,0.000000,events/second
1645800841,77,0.054756,0.000000,0.000000,0.000000,events/second
