t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,2,0.144139,0.000000,0.000000,0.000000,events/second
1645691310,2,0.045514,0.000000,0.000000,0.000000,events/second
1645691340,2,0.027045,0.000000,0.000000,0.000000,events/second
1645691370,2,0.019237,0.000000,0.000000,0.000000,events/second
1645691400,2,0.014928,0.000000,0.000000,0.000000,events/second
1645691430,2,0.012196,0.000000,0.000000,0.000000,events/second
1645691460,2,0.010310,0.000000,0.000000,0.000000,events/second
1645691490,2,0.008928,0.000000,0.000000,0.000000,events/second
1645691520,2,0.007873,0.000000,0.000000,0.000000,events/second
1645691550,2,0.007041,0.000000,0.000000,0.000000,events/second
1645691580,2,0.006368,0.000000,0.000000,0.000000,events/second
1645691610,2,0.005813,0.000000,0.000000,0.000000,events/second
1645691640,2,0.005346,0.000000,0.000000,0.000000,events/second
1645691670,2,0.004949,0.000000,0.000000,0.000000,events/second
1645691700,2,0.004607,0.000000,0.000000,0.000000,events/second
1645691730,5,0.010773,0.000000,0.000000,0.000000,events/second
1645691760,5,0.010119,0.000000,0.000000,0.000000,events/second
1645691790,7,0.013354,0.000000,0.000000,0.000000,events/second
1645691820,7,0.012631,0.000000,0.000000,0.000000,events/second
1645691850,7,0.011982,0.000000,0.000000,0.000000,events/second
1645691880,7,0.011396,0.000000,0.000000,0.000000,events/second
1645691910,7,0.010865,0.000000,0.000000,0.000000,events/second
1645691940,9,0.013348,0.000000,0.000000,0.000000,events/second
1645691970,9,0.012779,0.000000,0.000000,0.000000,events/second
1645692000,9,0.012257,0.000000,0.000000,0.000000,events/second
1645799460,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799490,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799520,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799550,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799580,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799610,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799640,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799670,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799700,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799730,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799760,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799790,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799820,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799850,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799880,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799910,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799940,0,0.000000,0.000000,0.000000,0.000000,events/second
1645799970,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800000,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800030,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800060,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800090,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800120,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800150,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800180,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800210,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800240,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800270,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800300,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800330,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800360,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800390,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800420,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800450,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800480,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800510,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800540,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800570,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800600,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800630,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800661,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800691,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800721,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800751,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800781,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800811,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800841,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800871,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800901,0,0.000000,0.000000,0.000000,0.000000,events/second
1645800931,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801355,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801385,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801415,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801445,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801475,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801505,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801535,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801565,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801595,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801625,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801655,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801685,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801715,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801745,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801775,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801805,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801835,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801865,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801895,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801925,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801955,0,0.000000,0.000000,0.000000,0.000000,events/second
1645801985,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802015,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802045,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802075,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802105,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802135,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802165,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802195,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802225,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802255,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802286,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802316,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802346,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802376,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802406,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802436,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802466,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802496,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802526,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802556,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802586,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802616,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802646,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802676,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802706,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802736,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802766,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802796,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802826,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802856,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802886,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802916,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802946,0,0.000000,0.000000,0.000000,0.000000,events/second
1645802976,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803006,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803036,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803066,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803096,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803126,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803156,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803186,0,0.000000,0.000000,0.000000,0.000000,events/second
1645803216,0,0.000000,0.000000,0.000000,0.000000,events/second
