t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,3,0.216172,0.000000,0.000000,0.000000,events/second
1645691310,3,0.068271,0.000000,0.000000,0.000000,events/second
1645691340,3,0.040568,0.000000,0.000000,0.000000,events/second
1645691370,3,0.028855,0.000000,0.000000,0.000000,events/second
1645691400,3,0.022393,0.000000,0.000000,0.000000,events/second
1645691430,3,0.018294,0.000000,0.000000,0.000000,events/second
1645691460,3,0.015464,0.000000,0.000000,0.000000,events/second
1645691490,3,0.013392,0.000000,0.000000,0.000000,events/second
1645691520,3,0.011810,0.000000,0.000000,0.000000,events/second
1645691550,3,0.010562,0.000000,0.000000,0.000000,events/second
1645691580,3,0.009553,0.000000,0.000000,0.000000,events/second
1645691610,3,0.008719,0.000000,0.000000,0.000000,events/second
1645691640,3,0.008020,0.000000,0.000000,0.000000,events/second
1645691670,3,0.007424,0.000000,0.000000,0.000000,events/second
1645691700,3,0.006911,0.000000,0.000000,0.000000,events/second
1645691730,6,0.012928,0.000000,0.000000,0.000000,events/second
1645691760,6,0.012142,0.000000,0.000000,0.000000,events/second
1645691790,8,0.015262,0.000000,0.000000,0.000000,events/second
1645691820,8,0.014435,0.000000,0.000000,0.000000,events/second
1645691850,8,0.013694,0.000000,0.000000,0.000000,events/second
1645691880,8,0.013024,0.000000,0.000000,0.000000,events/second
1645691910,8,0.012418,0.000000,0.000000,0.000000,events/second
1645691940,10,0.014831,0.000000,0.000000,0.000000,events/second
1645691970,10,0.014199,0.000000,0.000000,0.000000,events/second
1645692000,10,0.013619,0.000000,0.000000,0.000000,events/second
1645799460,10,0.391544,0.000000,0.000000,0.000000,events/second
1645799490,10,0.179529,0.000000,0.000000,0.000000,events/second
1645799520,10,0.116669,0.000000,0.000000,0.000000,events/second
1645799550,10,0.086413,0.000000,0.000000,0.000000,events/second
1645799580,10,0.068609,0.000000,0.000000,0.000000,events/second
1645799610,10,0.056894,0.000000,0.000000,0.000000,events/second
1645799640,10,0.048596,0.000000,0.000000,0.000000,events/second
1645799670,10,0.042412,0.000000,0.000000,0.000000,events/second
1645799700,10,0.037624,0.000000,0.000000,0.000000,events/second
1645799730,10,0.033806,0.000000,0.000000,0.000000,events/second
1645799760,10,0.030693,0.000000,0.000000,0.000000,events/second
1645799790,10,0.028104,0.000000,0.000000,0.000000,events/second
1645799820,10,0.025917,0.000000,0.000000,0.000000,events/second
1645799850,10,0.024044,0.000000,0.000000,0.000000,events/second
1645799880,10,0.022425,0.000000,0.000000,0.000000,events/second
1645799910,10,0.021011,0.000000,0.000000,0.000000,events/second
1645799940,10,0.019765,0.000000,0.000000,0.000000,events/second
1645799970,10,0.018658,0.000000,0.000000,0.000000,events/second
1645800000,10,0.017669,0.000000,0.000000,0.000000,events/second
1645800030,10,0.016779,0.000000,0.000000,0.000000,events/second
1645800060,10,0.015975,0.000000,0.000000,0.000000,events/second
1645800090,10,0.015244,0.000000,0.000000,0.000000,events/second
1645800120,10,0.014577,0.000000,0.000000,0.000000,events/second
1645800150,10,0.013966,0.000000,0.000000,0.000000,events/second
1645800180,10,0.013404,0.000000,0.000000,0.000000,events/second
1645800210,10,0.012886,0.000000,0.000000,0.000000,events/second
1645800240,10,0.012406,0.000000,0.000000,0.000000,events/second
1645800270,10,0.011961,0.000000,0.000000,0.000000,events/second
1645800300,10,0.011547,0.000000,0.000000,0.000000,events/second
1645800330,10,0.011160,0.000000,0.000000,0.000000,events/second
1645800360,10,0.010798,0.000000,0.000000,0.000000,events/second
1645800390,10,0.010459,0.000000,0.000000,0.000000,events/second
1645800420,10,0.010141,0.000000,0.000000,0.000000,events/second
1645800450,10,0.009841,0.000000,0.000000,0.000000,events/second
1645800480,10,0.009559,0.000000,0.000000,0.000000,events/second
1645800510,10,0.009292,0.000000,0.000000,0.000000,events/second
1645800540,10,0.009040,0.000000,0.000000,0.000000,events/second
1645800570,10,0.008802,0.000000,0.000000,0.000000,events/second
1645800600,10,0.008575,0.000000,0.000000,0.000000,events/second
1645800630,10,0.008360,0.000000,0.000000,0.000000,events/second
1645800661,10,0.008155,0.000000,0.000000,0.000000,events/second
1645800691,10,0.007961,0.000000,0.000000,0.000000,events/second
1645800721,10,0.007775,0.000000,0.000000,0.000000,events/second
1645800751,10,0.007598,0.000000,0.000000,0.000000,events/second
1645800781,10,0.007428,0.000000,0.000000,0.000000,events/second
1645800811,10,0.007266,0.000000,0.000000,0.000000,events/second
1645800841,10,0.007111,0.000000,0.000000,0.000000,events/second
1645800871,10,0.006963,0.000000,0.000000,0.000000,events/second
1645800901,10,0.006820,0.000000,0.000000,0.000000,events/second
1645800931,10,0.006683,0.000000,0.000000,0.000000,events/second
1645801355,10,0.005206,0.000000,0.000000,0.000000,events/second
1645801385,10,0.005126,0.000000,0.000000,0.000000,events/second
1645801415,10,0.005048,0.000000,0.000000,0.000000,events/second
1645801445,10,0.004973,0.000000,0.000000,0.000000,events/second
