t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,1,0.072043,0.000000,0.000000,0.000000,events/second
1645691310,1,0.022757,0.000000,0.000000,0.000000,events/second
1645691340,1,0.013523,0.000000,0.000000,0.000000,events/second
1645691370,1,0.009618,0.000000,0.000000,0.000000,events/second
1645691400,1,0.007464,0.000000,0.000000,0.000000,events/second
1645691430,1,0.006098,0.000000,0.000000,0.000000,events/second
1645691460,1,0.005155,0.000000,0.000000,0.000000,events/second
1645691490,1,0.004464,0.000000,0.000000,0.000000,events/second
1645691520,1,0.003937,0.000000,0.000000,0.000000,events/second
1645691550,1,0.003521,0.000000,0.000000,0.000000,events/second
1645691580,1,0.003184,0.000000,0.000000,0.000000,events/second
1645691610,1,0.002906,0.000000,0.000000,0.000000,events/second
1645691640,1,0.002673,0.000000,0.000000,0.000000,events/second
1645691670,1,0.002475,0.000000,0.000000,0.000000,events/second
1645691700,1,0.002304,0.000000,0.000000,0.000000,events/second
1645691730,2,0.004309,0.000000,0.000000,0.000000,events/second
1645691760,2,0.004047,0.000000,0.000000,0.000000,events/second
1645691790,2,0.003815,0.000000,0.000000,0.000000,events/second
1645691820,2,0.003609,0.000000,0.000000,0.000000,events/second
1645691850,2,0.003423,0.000000,0.000000,0.000000,events/second
1645691880,2,0.003256,0.000000,0.000000,0.000000,events/second
1645691910,2,0.003104,0.000000,0.000000,0.000000,events/second
1645691940,2,0.002966,0.000000,0.000000,0.000000,events/second
1645691970,2,0.002840,0.000000,0.000000,0.000000,events/second
1645692000,2,0.002724,0.000000,0.000000,0.000000,events/second
1645799460,1,0.039143,0.000000,0.000000,0.000000,events/second
1645799490,1,0.017953,0.000000,0.000000,0.000000,events/second
1645799520,1,0.011667,0.000000,0.000000,0.000000,events/second
1645799550,1,0.008641,0.000000,0.000000,0.000000,events/second
1645799580,1,0.006861,0.000000,0.000000,0.000000,events/second
1645799610,1,0.005689,0.000000,0.000000,0.000000,events/second
1645799640,1,0.004860,0.000000,0.000000,0.000000,events/second
1645799670,1,0.004241,0.000000,0.000000,0.000000,events/second
1645799700,1,0.003762,0.000000,0.000000,0.000000,events/second
