t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,2644,196.614170,0.000000,0.000000,0.000000,events/second
1645691310,2717,62.459846,0.000000,0.000000,0.000000,events/second
1645691340,3062,41.655685,0.000000,0.000000,0.000000,events/second
1645691370,3135,30.282518,0.000000,0.000000,0.000000,events/second
1645691400,3480,26.061545,0.000000,0.000000,0.000000,events/second
1645691430,3553,21.725081,0.000000,0.000000,0.000000,events/second
1645691460,3898,20.139442,0.000000,0.000000,0.000000,events/second
1645691490,3971,17.761446,0.000000,0.000000,0.000000,events/second
1645691520,4316,17.019629,0.000000,0.000000,0.000000,events/second
1645691550,4389,15.476083,0.000000,0.000000,0.000000,events/second
1645691580,4734,15.095379,0.000000,0.000000,0.000000,events/second
1645691610,4807,13.989350,0.000000,0.000000,0.000000,events/second
1645691640,5152,13.788819,0.000000,0.000000,0.000000,events/second
1645691670,5225,12.944569,0.000000,0.000000,0.000000,events/second
1645691700,5574,12.853305,0.000000,0.000000,0.000000,events/second
1645691730,5698,12.288903,0.000000,0.000000,0.000000,events/second
1645691760,6147,12.451022,0.000000,0.000000,0.000000,events/second
1645691790,6264,11.959966,0.000000,0.000000,0.000000,events/second
1645691820,6643,11.996243,0.000000,0.000000,0.000000,events/second
1645691850,6715,11.502743,0.000000,0.000000,0.000000,events/second
1645691880,7069,11.516986,0.000000,0.000000,0.000000,events/second
1645691910,7141,11.091973,0.000000,0.000000,0.000000,events/second
1645691940,7617,11.304394,0.000000,0.000000,0.000000,events/second
1645691970,7688,10.923269,0.000000,0.000000,0.000000,events/second
1645692000,8039,10.954847,0.000000,0.000000,0.000000,events/second
1645692030,8423,11.026904,0.000000,0.000000,0.000000,events/second
1645799460,1001,40.042789,0.000000,0.000000,0.000000,events/second
1645799490,1118,20.279305,0.000000,0.000000,0.000000,events/second
1645799520,1475,17.324127,0.000000,0.000000,0.000000,events/second
1645799550,1653,14.354977,0.000000,0.000000,0.000000,events/second
1645799580,2085,14.361296,0.000000,0.000000,0.000000,events/second
1645799610,2195,12.529020,0.000000,0.000000,0.000000,events/second
1645799640,2525,12.304696,0.000000,0.000000,0.000000,events/second
1645799670,2635,11.202691,0.000000,0.000000,0.000000,events/second
1645799700,2965,11.179579,0.000000,0.000000,0.000000,events/second
1645799730,3075,10.415597,0.000000,0.000000,0.000000,events/second
1645799760,3405,10.469207,0.000000,0.000000,0.000000,events/second
1645799790,3515,9.894351,0.000000,0.000000,0.000000,events/second
1645799820,3845,9.979919,0.000000,0.000000,0.000000,events/second
1645799850,3955,9.522592,0.000000,0.000000,0.000000,events/second
1645799880,4285,9.621518,0.000000,0.000000,0.000000,events/second
1645799910,4395,9.245372,0.000000,0.000000,0.000000,events/second
1645799940,4725,9.349321,0.000000,0.000000,0.000000,events/second
1645799970,4835,9.030808,0.000000,0.000000,0.000000,events/second
1645800000,5165,9.135035,0.000000,0.000000,0.000000,events/second
1645800030,5275,8.859426,0.000000,0.000000,0.000000,events/second
1645800060,5611,8.971610,0.000000,0.000000,0.000000,events/second
1645800090,5721,8.728608,0.000000,0.000000,0.000000,events/second
1645800120,6051,8.827939,0.000000,0.000000,0.000000,events/second
1645800150,6161,8.611399,0.000000,0.000000,0.000000,events/second
1645800180,6491,8.707472,0.000000,0.000000,0.000000,events/second
1645800210,6601,8.512355,0.000000,0.000000,0.000000,events/second
1645800240,6931,8.604881,0.000000,0.000000,0.000000,events/second
1645800270,7041,8.427513,0.000000,0.000000,0.000000,events/second
1645800300,7371,8.516567,0.000000,0.000000,0.000000,events/second
1645800330,7481,8.354002,0.000000,0.000000,0.000000,events/second
1645800360,7811,8.439627,0.000000,0.000000,0.000000,events/second
1645800390,7921,8.289703,0.000000,0.000000,0.000000,events/second
1645800420,8251,8.372073,0.000000,0.000000,0.000000,events/second
1645800450,8361,8.233025,0.000000,0.000000,0.000000,events/second
1645800480,8691,8.312282,0.000000,0.000000,0.000000,events/second
1645800510,8801,8.182618,0.000000,0.000000,0.000000,events/second
1645800540,9131,8.259035,0.000000,0.000000,0.000000,events/second
1645800570,9241,8.137606,0.000000,0.000000,0.000000,events/second
1645800600,9571,8.211169,0.000000,0.000000,0.000000,events/second
1645800630,9681,8.097114,0.000000,0.000000,0.000000,events/second
1645800661,10017,8.172990,0.000000,0.000000,0.000000,events/second
1645800691,10127,8.065269,0.000000,0.000000,0.000000,events/second
1645800721,10457,8.133729,0.000000,0.000000,0.000000,events/second
1645800751,10567,8.031806,0.000000,0.000000,0.000000,events/second
1645800781,10897,8.097929,0.000000,0.000000,0.000000,events/second
1645800811,11007,8.001235,0.000000,0.000000,0.000000,events/second
1645800841,11337,8.065161,0.000000,0.000000,0.000000,events/second
1645800871,11447,7.973226,0.000000,0.000000,0.000000,events/second
