t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,141,10.482608,0.000000,0.000000,0.000000,events/second
1645691310,141,3.241322,0.000000,0.000000,0.000000,events/second
1645691340,141,1.918154,0.000000,0.000000,0.000000,events/second
1645691370,141,1.361978,0.000000,0.000000,0.000000,events/second
1645691400,141,1.055936,0.000000,0.000000,0.000000,events/second
1645691430,141,0.862151,0.000000,0.000000,0.000000,events/second
1645691460,141,0.728489,0.000000,0.000000,0.000000,events/second
1645691490,141,0.630661,0.000000,0.000000,0.000000,events/second
1645691520,141,0.556015,0.000000,0.000000,0.000000,events/second
1645691550,141,0.497180,0.000000,0.000000,0.000000,events/second
1645691580,141,0.449608,0.000000,0.000000,0.000000,events/second
1645691610,141,0.410338,0.000000,0.000000,0.000000,events/second
1645691640,141,0.377372,0.000000,0.000000,0.000000,events/second
1645691670,141,0.349317,0.000000,0.000000,0.000000,events/second
1645691700,141,0.325137,0.000000,0.000000,0.000000,events/second
1645691730,146,0.314878,0.000000,0.000000,0.000000,events/second
1645691760,146,0.295729,0.000000,0.000000,0.000000,events/second
1645691790,146,0.278760,0.000000,0.000000,0.000000,events/second
1645691820,146,0.263653,0.000000,0.000000,0.000000,events/second
1645691850,146,0.250097,0.000000,0.000000,0.000000,events/second
1645691880,146,0.237866,0.000000,0.000000,0.000000,events/second
1645691910,146,0.226779,0.000000,0.000000,0.000000,events/second
1645691940,151,0.224099,0.000000,0.000000,0.000000,events/second
1645691970,151,0.214544,0.000000,0.000000,0.000000,events/second
1645692000,151,0.205769,0.000000,0.000000,0.000000,events/second
1645692030,154,0.201608,0.000000,0.000000,0.000000,events/second
1645799460,294,11.756933,0.000000,0.000000,0.000000,events/second
1645799490,294,5.332746,0.000000,0.000000,0.000000,events/second
1645799520,294,3.453039,0.000000,0.000000,0.000000,events/second
1645799550,294,2.553133,0.000000,0.000000,0.000000,events/second
1645799580,294,2.025033,0.000000,0.000000,0.000000,events/second
1645799610,294,1.678138,0.000000,0.000000,0.000000,events/second
1645799640,294,1.432699,0.000000,0.000000,0.000000,events/second
1645799670,294,1.249935,0.000000,0.000000,0.000000,events/second
1645799700,294,1.108528,0.000000,0.000000,0.000000,events/second
1645799730,294,0.995830,0.000000,0.000000,0.000000,events/second
1645799760,294,0.903947,0.000000,0.000000,0.000000,events/second
1645799790,294,0.827577,0.000000,0.000000,0.000000,events/second
1645799820,294,0.763092,0.000000,0.000000,0.000000,events/second
1645799850,294,0.707873,0.000000,0.000000,0.000000,events/second
1645799880,294,0.660145,0.000000,0.000000,0.000000,events/second
1645799910,294,0.618461,0.000000,0.000000,0.000000,events/second
1645799940,294,0.581734,0.000000,0.000000,0.000000,events/second
1645799970,294,0.549132,0.000000,0.000000,0.000000,events/second
1645800000,294,0.519980,0.000000,0.000000,0.000000,events/second
1645800030,294,0.493776,0.000000,0.000000,0.000000,events/second
1645800060,294,0.470085,0.000000,0.000000,0.000000,events/second
1645800090,294,0.448559,0.000000,0.000000,0.000000,events/second
1645800120,294,0.428923,0.000000,0.000000,0.000000,events/second
1645800150,294,0.410931,0.000000,0.000000,0.000000,events/second
1645800180,294,0.394391,0.000000,0.000000,0.000000,events/second
1645800210,294,0.379129,0.000000,0.000000,0.000000,events/second
1645800240,294,0.365002,0.000000,0.000000,0.000000,events/second
1645800270,294,0.351894,0.000000,0.000000,0.000000,events/second
1645800300,294,0.339692,0.000000,0.000000,0.000000,events/second
1645800330,294,0.328308,0.000000,0.000000,0.000000,events/second
1645800360,294,0.317661,0.000000,0.000000,0.000000,events/second
1645800390,294,0.307685,0.000000,0.000000,0.000000,events/second
1645800420,294,0.298314,0.000000,0.000000,0.000000,events/second
1645800450,294,0.289500,0.000000,0.000000,0.000000,events/second
1645800480,294,0.281188,0.000000,0.000000,0.000000,events/second
1645800510,294,0.273343,0.000000,0.000000,0.000000,events/second
1645800540,294,0.265924,0.000000,0.000000,0.000000,events/second
1645800570,294,0.258896,0.000000,0.000000,0.000000,events/second
1645800600,294,0.252229,0.000000,0.000000,0.000000,events/second
1645800630,294,0.245899,0.000000,0.000000,0.000000,events/second
1645800661,294,0.239878,0.000000,0.000000,0.000000,events/second
1645800691,294,0.234145,0.000000,0.000000,0.000000,events/second
1645800721,294,0.228681,0.000000,0.000000,0.000000,events/second
1645800751,294,0.223464,0.000000,0.000000,0.000000,events/second
1645800781,294,0.218481,0.000000,0.000000,0.000000,events/second
1645800811,294,0.213715,0.000000,0.000000,0.000000,events/second
1645800841,294,0.209152,0.000000,0.000000,0.000000,events/second
1645800871,294,0.204781,0.000000,0.000000,0.000000,events/second
1645800901,294,0.200588,0.000000,0.000000,0.000000,events/second
1645800931,294,0.196565,0.000000,0.000000,0.000000,events/second
1645801355,294,0.153101,0.000000,0.000000,0.000000,events/second
1645801385,294,0.150745,0.000000,0.000000,0.000000,events/second
1645801415,294,0.148461,0.000000,0.000000,0.000000,events/second
1645801445,294,0.146244,0.000000,0.000000,0.000000,events/second
1645801475,294,0.144093,0.000000,0.000000,0.000000,events/second
1645801505,294,0.142004,0.000000,0.000000,0.000000,events/second
1645801535,294,0.139975,0.000000,0.000000,0.000000,events/second
1645801565,294,0.138003,0.000000,0.000000,0.000000,events/second
1645801595,294,0.136086,0.000000,0.000000,0.000000,events/second
1645801625,294,0.134222,0.000000,0.000000,0.000000,events/second
1645801655,294,0.132408,0.000000,0.000000,0.000000,events/second
1645801685,294,0.130642,0.000000,0.000000,0.000000,events/second
1645801715,294,0.128923,0.000000,0.000000,0.000000,events/second
1645801745,294,0.127249,0.000000,0.000000,0.000000,events/second
1645801775,294,0.125617,0.000000,0.000000,0.000000,events/second
1645801805,294,0.124027,0.000000,0.000000,0.000000,events/second
1645801835,294,0.122477,0.000000,0.000000,0.000000,events/second
1645801865,294,0.120964,0.000000,0.000000,0.000000,events/second
1645801895,294,0.119489,0.000000,0.000000,0.000000,events/second
1645801925,294,0.118049,0.000000,0.000000,0.000000,events/second
1645801955,294,0.116643,0.000000,0.000000,0.000000,events/second
1645801985,294,0.115271,0.000000,0.000000,0.000000,events/second
1645802015,294,0.113931,0.000000,0.000000,0.000000,events/second
1645802045,294,0.112621,0.000000,0.000000,0.000000,events/second
