t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1645691280,18,1559,155.000000,3,412.466184,10.500000,32.750000,1559.000000,1559.000000,1559.000000,1559.000000
1645691310,21,1559,133.380952,3,384.127254,7.000000,32.000000,1497.000000,1559.000000,1559.000000,1559.000000
1645691340,27,1559,104.555556,3,341.354805,5.000000,30.000000,1311.000000,1559.000000,1559.000000,1559.000000
1645691370,30,1559,94.433333,2,324.689208,5.000000,24.000000,1218.000000,1559.000000,1559.000000,1559.000000
1645691400,36,1559,79.277778,2,297.543141,4.000000,10.750000,1032.000000,1559.000000,1559.000000,1559.000000
1645691430,39,1559,73.410256,2,286.298126,4.000000,10.000000,939.000000,1559.000000,1559.000000,1559.000000
1645691460,45,1559,65.955556,2,266.983312,4.000000,9.500000,683.100000,1559.000000,1559.000000,1559.000000
1645691490,48,1559,62.166667,2,258.748817,4.000000,9.750000,555.150000,1559.000000,1559.000000,1559.000000
1645691520,54,1559,55.592593,2,244.384828,4.000000,7.500000,299.250000,1497.000000,1559.000000,1559.000000
1645691550,57,1559,52.789474,2,238.051295,4.000000,6.000000,171.300000,1459.800000,1559.000000,1559.000000
1645691580,63,1559,48.015873,2,226.725320,3.000000,5.000000,85.600000,1385.400000,1559.000000,1559.000000
1645691610,66,1559,45.954545,2,221.635975,3.000000,5.000000,85.300000,1348.200000,1559.000000,1559.000000
1645691640,72,1559,42.333333,2,212.409119,3.000000,5.000000,84.700000,1273.800000,1559.000000,1559.000000
1645691670,75,1559,40.746667,2,208.206180,3.000000,5.000000,84.400000,1236.600000,1559.000000,1559.000000
1645691700,81,1559,37.913580,2,200.499825,3.000000,4.500000,79.100000,1162.200000,1559.000000,1559.000000
1645691730,87,1559,35.494253,2,193.585981,3.000000,4.000000,64.400000,1087.800000,1559.000000,1559.000000
1645691760,102,1559,30.627451,2,179.021317,3.000000,4.000000,34.550000,887.820000,1540.400000,1559.000000
1645691790,108,1559,29.064815,2,174.050067,3.000000,4.000000,33.650000,785.460000,1503.200000,1559.000000
1645691820,117,1559,27.017094,2,167.313611,3.000000,4.000000,32.300000,631.920000,1447.400000,1559.000000
1645691850,120,1559,26.400000,2,165.236495,3.000000,4.000000,32.000000,580.740000,1428.800000,1559.000000
1645691880,126,1559,25.277778,2,161.300794,3.000000,4.000000,32.000000,478.380000,1391.600000,1559.000000
1645691910,129,1559,24.751938,2,159.436068,3.000000,4.000000,32.000000,427.200000,1373.000000,1559.000000
1645691940,144,1559,22.423611,1,150.998151,3.000000,3.000000,31.500000,171.300000,1280.000000,1559.000000
1645691970,147,1559,22.013605,1,149.465944,3.000000,3.000000,31.200000,120.120000,1261.400000,1559.000000
