t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,18,1.138836,0.280169,0.059175,0.019908,events/second
1645691310,21,0.458061,0.210539,0.063136,0.022542,events/second
1645691340,27,0.355953,0.210046,0.076322,0.028379,events/second
1645691370,30,0.283365,0.168008,0.078651,0.030736,events/second
1645691400,36,0.264949,0.184250,0.090361,0.036303,events/second
1645691430,39,0.235097,0.152362,0.091354,0.038400,events/second
1645691460,45,0.229714,0.174760,0.101855,0.043716,events/second
1645691490,48,0.212465,0.146606,0.101755,0.045571,events/second
1645691520,54,0.210991,0.171269,0.111266,0.050652,events/second
1645691550,57,0.199340,0.144488,0.110270,0.052279,events/second
1645691580,63,0.199398,0.169984,0.118971,0.057140,events/second
1645691610,66,0.190771,0.143709,0.117241,0.058554,events/second
1645691640,72,0.191499,0.169512,0.125279,0.063209,events/second
1645691670,75,0.184734,0.143423,0.122949,0.064425,events/second
1645691700,81,0.185776,0.169338,0.130444,0.068888,events/second
1645691730,87,0.186689,0.186279,0.137322,0.073216,events/second
1645691760,102,0.205629,0.298455,0.171281,0.087144,events/second
1645691790,108,0.205287,0.262239,0.174166,0.090862,events/second
1645691820,117,0.210393,0.282012,0.186378,0.097745,events/second
1645691850,120,0.204737,0.211658,0.178234,0.097828,events/second
1645691880,126,0.204501,0.210725,0.180467,0.101196,events/second
1645691910,129,0.199646,0.168420,0.172886,0.101166,events/second
1645691940,144,0.212969,0.296844,0.203931,0.114232,events/second
1645691970,147,0.208167,0.220654,0.194117,0.113775,events/second
1645692000,153,0.207831,0.216181,0.194839,0.116620,events/second
1645799460,18,0.668594,0.237158,0.057235,0.019688,events/second
1645799490,24,0.420833,0.226191,0.070983,0.025617,events/second
1645799520,30,0.344664,0.225774,0.083737,0.031389,events/second
1645799550,42,0.358817,0.295050,0.113841,0.043474,events/second
1645799580,54,0.367143,0.333539,0.140918,0.055144,events/second
1645799610,60,0.338805,0.284650,0.146703,0.059911,events/second
1645799640,63,0.304192,0.213257,0.142334,0.061235,events/second
1645799670,69,0.291003,0.211695,0.147984,0.065802,events/second
1645799700,72,0.269547,0.169008,0.143493,0.066932,events/second
1645799730,78,0.262512,0.184856,0.149033,0.071313,events/second
1645799760,81,0.247601,0.152730,0.144442,0.072263,events/second
1645799790,87,0.243593,0.174983,0.149892,0.076469,events/second
1645799820,90,0.232454,0.146741,0.145220,0.077249,events/second
1645799850,96,0.230090,0.171351,0.150595,0.081292,events/second
1645799880,99,0.221350,0.144538,0.145856,0.081914,events/second
1645799910,105,0.220000,0.170015,0.151170,0.085804,events/second
1645799940,108,0.212899,0.143728,0.146377,0.086278,events/second
1645799970,114,0.212176,0.169523,0.151642,0.090025,events/second
1645800000,117,0.206238,0.143429,0.146803,0.090361,events/second
1645800030,123,0.205923,0.169342,0.152028,0.093973,events/second
1645800060,126,0.200855,0.143320,0.147152,0.094180,events/second
1645800090,132,0.200812,0.169276,0.152344,0.097667,events/second
1645800120,135,0.196410,0.143279,0.147438,0.097753,events/second
1645800150,141,0.196558,0.169251,0.152602,0.101123,events/second
1645800180,144,0.192680,0.143265,0.147672,0.101095,events/second
1645800210,150,0.192961,0.169242,0.152814,0.104356,events/second
1645800240,153,0.189504,0.143259,0.147864,0.104222,events/second
1645800270,159,0.189879,0.169239,0.152987,0.107381,events/second
1645800300,162,0.186767,0.143257,0.148021,0.107148,events/second
1645800330,168,0.187208,0.169238,0.153129,0.110210,events/second
1645800360,171,0.184384,0.143256,0.148149,0.109884,events/second
1645800390,177,0.184871,0.169237,0.153246,0.112857,events/second
1645800420,180,0.182290,0.143256,0.148254,0.112445,events/second
1645800450,186,0.182811,0.169237,0.153341,0.115333,events/second
1645800480,189,0.180436,0.143256,0.148340,0.114840,events/second
1645800510,195,0.180979,0.169237,0.153419,0.117650,events/second
1645800540,198,0.178785,0.143256,0.148411,0.117080,events/second
1645800570,204,0.179342,0.169237,0.153482,0.119817,events/second
1645800600,207,0.177301,0.143256,0.148469,0.119176,events/second
1645800630,213,0.177869,0.169237,0.153535,0.121844,events/second
1645800661,216,0.175964,0.143256,0.148516,0.121137,events/second
1645800691,222,0.176536,0.169237,0.153577,0.123741,events/second
1645800721,225,0.174753,0.143256,0.148555,0.122972,events/second
1645800751,231,0.175326,0.169237,0.153612,0.125515,events/second
