t,value
1645691280,55
1645691310,55
1645691340,55
1645691370,55
1645691400,55
1645691430,55
1645691460,55
1645691490,55
1645691520,55
1645691550,55
1645691580,55
1645691610,55
1645691640,55
1645691670,55
1645691700,55
1645691730,55
1645691760,55
1645691790,55
1645691820,55
1645691850,55
1645691880,55
1645691910,55
1645691940,55
1645691970,55
1645692000,55
1645799460,55
1645799490,55
1645799520,55
1645799550,55
1645799580,55
1645799610,55
1645799640,55
1645799670,55
1645799700,55
1645799730,55
1645799760,55
1645799790,55
1645799820,55
1645799850,55
1645799880,55
1645799910,55
1645799940,55
1645799970,55
1645800000,55
1645800030,55
1645800060,55
1645800090,55
1645800120,55
1645800150,55
1645800180,55
1645800210,55
1645800240,55
1645800270,55
1645800300,55
1645800330,55
1645800360,55
1645800390,55
1645800420,55
1645800450,55
1645800480,55
1645800510,55
1645800540,55
1645800570,55
1645800600,55
1645800630,55
1645800661,55
1645800691,55
1645800721,55
1645800751,55
1645800781,55
1645800811,55
1645800841,55
1645800871,55
1645800901,55
1645800931,55
1645801355,55
1645801385,55
1645801415,55
1645801445,55
1645801475,55
1645801505,55
1645801535,55
1645801565,55
1645801595,55
1645801625,55
1645801655,55
1645801685,55
1645801715,55
1645801745,55
1645801775,55
1645801805,55
1645801835,55
1645801865,55
1645801895,55
1645801925,55
1645801955,55
1645801985,55
1645802015,55
1645802045,55
1645802075,55
1645802105,55
1645802135,55
1645802165,55
1645802195,55
1645802225,55
1645802255,55
1645802286,55
1645802316,55
1645802346,55
1645802376,55
1645802406,55
1645802436,55
1645802466,55
1645802496,55
1645802526,55
1645802556,55
1645802586,55
1645802616,55
1645802646,55
1645802676,55
1645802706,55
1645802736,55
1645802766,55
1645802796,55
1645802826,55
1645802856,55
1645802886,55
1645802916,55
1645802946,55
1645802976,55
1645803006,55
1645803036,55
1645803066,55
1645803096,55
1645803126,55
1645803156,55
1645803186,55
1645803216,55
1645803246,55
1645803276,55
1645803306,55
1645803336,55
1645803366,55
1645803396,55
1645803426,55
1645803456,55
1645803486,55
1645803516,55
1645803546,55
1645803576,55
1645803606,55
1645803636,55
1645803666,55
1645803696,55
1645803726,55
1645803756,55
1645803786,55
1645803816,55
1645803846,55
1645803876,55
1645803906,55
1645803936,55
1645803966,55
1645803996,55
1645804026,55
1645804056,55
1645804086,55
1645804116,55
1645804146,55
1645804176,55
1645804206,55
1645804236,55
1645804266,55
1645804296,55
1645804326,55
1645804356,55
1645804386,55
1645804918,55
1645905630,55
1645905660,55
1645905690,55
1645905720,55
1645905750,55
1645905780,55
1645905810,55
1645905840,55
1645905870,55
1645905900,55
1645905930,55
1645905960,55
1645905990,55
1645906020,55
1645906050,55
1645906080,55
1645906110,55
1645906140,55
1645906170,55
1645906200,55
1645906230,55
1645906260,55
1645906290,55
1645906320,55
1645906350,55
1645906380,55
1645906410,55
1645906440,55
1645906470,55
1645906500,55
1645906530,55
1645906560,55
1645906590,55
1645906620,55
1645906651,55
1645906681,55
1645906711,55
1645906741,55
1645906771,55
1645906801,55
1645906831,55
1645906861,55
1645906891,55
1645906921,55
1645906951,55
1645906981,55
