t,value
1645691280,126
1645691310,126
1645691340,126
1645691370,126
1645691400,126
1645691430,126
1645691460,126
1645691490,126
1645691520,126
1645691550,126
1645691580,126
1645691610,126
1645691640,126
1645691670,126
1645691700,126
1645691730,126
1645691760,126
1645691790,126
1645691820,126
1645691850,126
1645691880,126
1645691910,126
1645691940,126
1645691970,126
1645692000,126
1645799460,126
1645799490,126
1645799520,126
1645799550,126
1645799580,126
1645799610,126
1645799640,126
1645799670,126
1645799700,126
1645799730,126
1645799760,126
1645799790,126
1645799820,126
1645799850,126
1645799880,126
1645799910,126
1645799940,126
1645799970,126
1645800000,126
1645800030,126
1645800060,126
1645800090,126
1645800120,126
1645800150,126
1645800180,126
1645800210,126
1645800240,126
1645800270,126
1645800300,126
1645800330,126
1645800360,126
1645800390,126
1645800420,126
1645800450,126
1645800480,126
1645800510,126
1645800540,126
1645800570,126
1645800600,126
1645800630,126
1645800661,126
1645800691,126
1645800721,126
1645800751,126
1645800781,126
1645800811,126
1645800841,126
1645800871,126
1645800901,126
1645800931,126
1645801355,126
1645801385,126
1645801415,126
1645801445,126
1645801475,126
1645801505,126
1645801535,126
1645801565,126
1645801595,126
1645801625,126
1645801655,126
1645801685,126
1645801715,126
1645801745,126
1645801775,126
1645801805,126
1645801835,126
1645801865,126
1645801895,126
1645801925,126
1645801955,126
1645801985,126
1645802015,126
1645802045,126
1645802075,126
1645802105,126
1645802135,126
1645802165,126
1645802195,126
1645802225,126
1645802255,126
1645802286,126
1645802316,126
1645802346,126
1645802376,126
1645802406,126
1645802436,126
1645802466,126
1645802496,126
1645802526,126
1645802556,126
1645802586,126
1645802616,126
1645802646,126
1645802676,126
1645802706,126
1645802736,126
1645802766,126
1645802796,126
1645802826,126
1645802856,126
1645802886,126
1645802916,126
1645802946,126
1645802976,126
1645803006,126
1645803036,126
1645803066,126
1645803096,126
1645803126,126
1645803156,126
1645803186,126
1645803216,126
1645803246,126
1645803276,126
1645803306,126
1645803336,126
1645803366,126
1645803396,126
1645803426,126
1645803456,126
1645803486,126
1645803516,126
1645803546,126
1645803576,126
1645803606,126
1645803636,126
1645803666,126
1645803696,126
1645803726,126
1645803756,126
1645803786,126
1645803816,126
1645803846,126
1645803876,126
1645803906,126
1645803936,126
1645803966,126
1645803996,126
1645804026,126
1645804056,126
1645804086,126
1645804116,126
1645804146,126
1645804176,126
1645804206,126
1645804236,126
1645804266,126
1645804296,126
1645804326,126
1645804356,126
1645804386,126
1645804918,126
1645905630,126
1645905660,126
1645905690,126
1645905720,126
1645905750,126
1645905780,126
1645905810,126
1645905840,126
1645905870,126
1645905900,126
1645905930,126
1645905960,126
1645905990,126
1645906020,126
1645906050,126
1645906080,126
1645906110,126
1645906140,126
1645906170,126
1645906200,126
1645906230,126
1645906260,126
1645906290,126
1645906320,126
1645906350,126
1645906380,126
1645906410,126
1645906440,126
1645906470,126
1645906500,126
1645906530,126
1645906560,126
1645906590,126
1645906620,126
1645906651,126
1645906681,126
1645906711,126
1645906741,126
1645906771,126
1645906801,126
1645906831,126
1645906861,126
1645906891,126
1645906921,126
1645906951,126
1645906981,126
1645907011,126
1645907041,126
1645907071,126
1645907101,126
1645907131,126
1645907161,126
1645907191,126
1645907221,126
1645907251,126
1645907281,126
1645907311,126
1645907341,126
1645907371,126
1645907401,126
1645907431,126
1645907461,126
1645907491,126
1645907521,126
1645907551,126
1645907581,126
1645907611,126
1645907641,126
1645907671,126
1645907701,126
1645907731,126
1645907761,126
1645907791,126
1645907821,126
1645907851,126
1645907881,126
1645907911,126
1645907941,126
1645907971,126
1645908001,126
1645908031,126
1645908061,126
1645908091,126
1645908121,126
1645908151,126
1645908181,126
1645908211,126
1645908241,126
1645908271,126
1645908301,126
1645908331,126
1645908361,126
1645908391,126
1645908421,126
1645908451,126
1645908481,126
1645908511,126
1645908541,126
1645908571,126
1645908601,126
1645908631,126
1645908661,126
1645908691,126
1645908721,126
1645908751,126
1645908781,126
1645908811,126
1645908841,126
1645908871,126
1645908901,126
1645908931,126
1645908961,126
1645908991,126
1645909021,126
1645909051,126
1645909081,126
1645909111,126
1645909141,126
1645909171,126
1645909201,126
1645909231,126
1645909261,126
1645909291,126
1645909321,126
1645909351,126
1645909381,126
1645909411,126
1645909441,126
1645909471,126
1645909501,126
1645909531,126
1645909561,126
1645909591,126
1645909621,126
1645909651,126
1645909681,126
1645909711,126
1645909741,126
1645909771,126
1645909801,126
1645909831,126
1645909861,126
1645909892,126
1645909922,126
1645909952,126
1645909982,126
1645910012,126
1645910042,126
1645910072,126
1645910102,126
1645910132,126
1645910162,126
1645910192,126
1645910222,126
1645910252,126
1645910282,126
1645910312,126
1645910342,126
1645910372,126
1645910402,126
1645910432,126
1645910462,126
1645910492,126
1645910522,126
1645910552,126
1645910582,126
1645910612,126
1645910642,126
1645911020,126
1645911050,126
1645911080,126
1645911110,126
1645911140,126
1645911170,126
1645911200,126
1645911230,126
1645911260,126
1645911290,126
1645911320,126
1645911350,126
1645911380,126
1645911410,126
1645911440,126
1645911470,126
1645911500,126
1645911530,126
1645911560,126
1645911590,126
1645911620,126
1645911650,126
1645911680,126
1645911710,126
1645911740,126
1645911770,126
1645911800,126
1645911830,126
1645911860,126
1645911890,126
1645911920,126
1645911950,126
1645911980,126
1645912010,126
1645912040,126
1645912070,126
1645912100,126
1645912130,126
1645912160,126
1645912190,126
1645912220,126
1645912250,126
1645912280,126
1645912310,126
1645912340,126
1645912370,126
1645912400,126
1645912430,126
1645912460,126
1645912490,126
1645912520,126
1645912550,126
1645912580,126
1645912610,126
1645912640,126
1645912670,126
1645912700,126
1645912730,126
1645912760,126
1645912790,126
1645912820,126
1645912850,126
1645912881,126
1645912911,126
1645912941,126
1645912971,126
1645913001,126
1645913031,126
1645913061,126
1645913091,126
1645913121,126
1645913151,126
1645913181,126
1645913319,126
1645913349,126
1645913379,126
1645913409,126
1645913439,126
1645913469,126
1645913499,126
1645913529,126
1645913559,126
1645913589,126
1645913619,126
1645913649,126
1645913679,126
1645913709,126
1645913739,126
1645913769,126
1645913799,126
1645913829,126
1645913859,126
1645913889,126
1645914183,126
1645914213,126
1645914243,126
1645914273,126
1645914303,126
1645914333,126
1645914363,126
1645914393,126
1645914423,126
1645914453,126
1645914483,126
1645914513,126
1645914543,126
1645914573,126
1645914603,126
1645914633,126
1645914663,126
1645914693,126
1645914723,126
1645914753,126
1645914783,126
1645914813,126
1645914843,126
1645914873,126
1645914903,126
1645914933,126
1645914963,126
1645914993,126
1645915023,126
1645915053,126
1645915083,126
1645915113,126
1645915143,126
1645915173,126
1645915203,126
1645915233,126
1645915263,126
1645915294,126
1645915324,126
1645915354,126
1645915384,126
1645915414,126
1645915444,126
1645915474,126
1645915504,126
1645915534,126
1645915564,126
1645915594,126
1645915624,126
1645915654,126
1645915684,126
1645915714,126
1645915744,126
1645915774,126
1645915804,126
1645915834,126
1645915864,126
1645915894,126
1645915924,126
1645915954,126
1645915984,126
1645916014,126
1645916044,126
1645916074,126
1645916104,126
1645916134,126
1645916164,126
1645916194,126
1645916224,126
1645916254,126
1645916284,126
1645916314,126
1645916344,126
1645916374,126
1645916404,126
1645916434,126
1645916464,126
1645916494,126
1645916524,126
1645954885,126
1645954915,126
1645954945,126
1645954975,126
1645955005,126
1645955035,126
1645955065,126
1645955095,126
1645955125,126
1645955155,126
1645955185,126
1645955215,126
1645955245,126
1645955275,126
1645955305,126
1645955335,126
1645955365,126
1645955395,126
1645955425,126
1645955455,126
1645955485,126
1645955515,126
1645955545,126
1645955575,126
1645955605,126
1645955635,126
1645955665,126
1645955695,126
1645955725,126
1645955755,126
1645955785,126
1645955815,126
1645955845,126
1645955875,126
1645955905,126
1645955935,126
1645955965,126
1645955995,126
1645956025,126
1645956055,126
1645956085,126
1645956115,126
1645956145,126
1645956175,126
1645956205,126
1645956235,126
1645956265,126
1645956295,126
1645956325,126
1645956355,126
1645956385,126
1645956415,126
1645956445,126
