t,value
1645691280,101
1645691310,101
1645691340,101
1645691370,101
1645691400,101
1645691430,101
1645691460,101
1645691490,101
1645691520,101
1645691550,101
1645691580,101
1645691610,101
1645691640,101
1645691670,101
1645691700,101
1645691730,101
1645691760,101
1645691790,101
1645691820,101
1645691850,101
1645691880,101
1645691910,101
1645691940,101
1645691970,101
1645692000,101
1645799460,101
1645799490,101
1645799520,101
1645799550,101
1645799580,101
1645799610,101
1645799640,101
1645799670,101
1645799700,101
1645799730,101
1645799760,101
1645799790,101
1645799820,101
1645799850,101
1645799880,101
1645799910,101
1645799940,101
1645799970,101
1645800000,101
1645800030,101
1645800060,101
1645800090,101
1645800120,101
1645800150,101
1645800180,101
1645800210,101
1645800240,101
1645800270,101
1645800300,101
1645800330,101
1645800360,101
1645800390,101
1645800420,101
1645800450,101
1645800480,101
1645800510,101
1645800540,101
1645800570,101
1645800600,101
1645800630,101
1645800661,101
1645800691,101
1645800721,101
1645800751,101
1645800781,101
1645800811,101
1645800841,101
1645800871,101
1645800901,101
1645800931,101
1645801355,101
1645801385,101
1645801415,101
1645801445,101
1645801475,101
1645801505,101
1645801535,101
1645801565,101
1645801595,101
1645801625,101
1645801655,101
1645801685,101
1645801715,101
1645801745,101
1645801775,101
1645801805,101
1645801835,101
1645801865,101
1645801895,101
1645801925,101
1645801955,101
1645801985,101
1645802015,101
1645802045,101
1645802075,101
1645802105,101
1645802135,101
1645802165,101
1645802195,101
1645802225,101
1645802255,101
1645802286,101
1645802316,101
1645802346,101
1645802376,101
1645802406,101
1645802436,101
1645802466,101
1645802496,101
1645802526,101
1645802556,101
1645802586,101
1645802616,101
1645802646,101
1645802676,101
1645802706,101
1645802736,101
1645802766,101
1645802796,101
1645802826,101
1645802856,101
1645802886,101
1645802916,101
1645802946,101
1645802976,101
1645803006,101
1645803036,101
1645803066,101
1645803096,101
1645803126,101
1645803156,101
1645803186,101
1645803216,101
1645803246,101
1645803276,101
1645803306,101
1645803336,101
1645803366,101
1645803396,101
1645803426,101
1645803456,101
1645803486,101
1645803516,101
1645803546,101
1645803576,101
1645803606,101
1645803636,101
1645803666,101
1645803696,101
1645803726,101
1645803756,101
1645803786,101
1645803816,101
1645803846,101
1645803876,101
1645803906,101
1645803936,101
1645803966,101
1645803996,101
1645804026,101
1645804056,101
1645804086,101
1645804116,101
1645804146,101
1645804176,101
1645804206,101
1645804236,101
1645804266,101
1645804296,101
1645804326,101
1645804356,101
1645804386,101
1645804918,101
1645905630,101
1645905660,101
1645905690,101
1645905720,101
1645905750,101
1645905780,101
1645905810,101
1645905840,101
1645905870,101
1645905900,101
1645905930,101
1645905960,101
1645905990,101
1645906020,101
1645906050,101
1645906080,101
1645906110,101
1645906140,101
1645906170,101
1645906200,101
1645906230,101
1645906260,101
1645906290,101
1645906320,101
1645906350,101
1645906380,101
1645906410,101
1645906440,101
1645906470,101
1645906500,101
1645906530,101
1645906560,101
1645906590,101
1645906620,101
1645906651,101
1645906681,101
1645906711,101
1645906741,101
1645906771,101
1645906801,101
1645906831,101
1645906861,101
1645906891,101
