t,value
1645691280,8
1645691310,8
1645691340,8
1645691370,8
1645691400,8
1645691430,8
1645691460,8
1645691490,8
1645691520,8
1645691550,8
1645691580,8
1645691610,8
1645691640,8
1645691670,8
1645691700,8
1645691730,8
1645691760,8
1645691790,8
1645691820,8
1645691850,8
1645691880,8
1645691910,8
1645691940,8
1645691970,8
1645692000,8
1645799460,8
1645799490,8
1645799520,8
1645799550,8
1645799580,8
1645799610,8
1645799640,8
1645799670,8
1645799700,8
1645799730,8
1645799760,8
1645799790,8
1645799820,8
1645799850,8
1645799880,8
1645799910,8
1645799940,8
1645799970,8
1645800000,8
1645800030,8
1645800060,8
1645800090,8
1645800120,8
1645800150,8
1645800180,8
1645800210,8
1645800240,8
1645800270,8
1645800300,8
1645800330,8
1645800360,8
1645800390,8
1645800420,8
1645800450,8
1645800480,8
1645800510,8
1645800540,8
1645800570,8
1645800600,8
1645800630,8
1645800661,8
1645800691,8
1645800721,8
1645800751,8
1645800781,8
1645800811,8
1645800841,8
1645800871,8
1645800901,8
1645800931,8
1645801355,8
1645801385,8
1645801415,8
1645801445,8
1645801475,8
1645801505,8
1645801535,8
1645801565,8
1645801595,8
1645801625,8
1645801655,8
1645801685,8
1645801715,8
1645801745,8
1645801775,8
1645801805,8
1645801835,8
1645801865,8
1645801895,8
1645801925,8
1645801955,8
1645801985,8
1645802015,8
1645802045,8
1645802075,8
1645802105,8
1645802135,8
1645802165,8
1645802195,8
1645802225,8
1645802255,8
1645802286,8
1645802316,8
1645802346,8
1645802376,8
1645802406,8
1645802436,8
1645802466,8
1645802496,8
1645802526,8
1645802556,8
1645802586,8
1645802616,8
1645802646,8
1645802676,8
1645802706,8
1645802736,8
1645802766,8
1645802796,8
1645802826,8
1645802856,8
1645802886,8
1645802916,8
1645802946,8
1645802976,8
1645803006,8
1645803036,8
1645803066,8
1645803096,8
1645803126,8
1645803156,8
1645803186,8
1645803216,8
1645803246,8
1645803276,8
1645803306,8
1645803336,8
1645803366,8
1645803396,8
1645803426,8
1645803456,8
1645803486,8
1645803516,8
1645803546,8
1645803576,8
1645803606,8
1645803636,8
1645803666,8
1645803696,8
1645803726,8
1645803756,8
1645803786,8
1645803816,8
1645803846,8
1645803876,8
1645803906,8
1645803936,8
1645803966,8
1645803996,8
1645804026,8
1645804056,8
1645804086,8
1645804116,8
1645804146,8
1645804176,8
1645804206,8
1645804236,8
1645804266,8
1645804296,8
1645804326,8
1645804356,8
1645804386,8
1645804918,8
1645905630,8
1645905660,8
1645905690,8
1645905720,8
1645905750,8
1645905780,8
1645905810,8
1645905840,8
1645905870,8
1645905900,8
1645905930,8
1645905960,8
1645905990,8
1645906020,8
1645906050,8
1645906080,8
1645906110,8
1645906140,8
1645906170,8
1645906200,8
1645906230,8
1645906260,8
1645906290,8
1645906320,8
1645906350,8
1645906380,8
1645906410,8
1645906440,8
1645906470,8
1645906500,8
1645906530,8
1645906560,8
1645906590,8
1645906620,8
1645906651,8
1645906681,8
1645906711,8
1645906741,8
1645906771,8
1645906801,8
1645906831,8
1645906861,8
1645906891,8
1645906921,8
1645906951,8
1645906981,8
1645907011,8
1645907041,8
1645907071,8
1645907101,8
1645907131,8
1645907161,8
1645907191,8
1645907221,8
1645907251,8
1645907281,8
1645907311,8
1645907341,8
1645907371,8
1645907401,8
1645907431,8
1645907461,8
1645907491,8
1645907521,8
1645907551,8
1645907581,8
1645907611,8
1645907641,8
1645907671,8
1645907701,8
1645907731,8
1645907761,8
1645907791,8
1645907821,8
1645907851,8
1645907881,8
1645907911,8
1645907941,8
1645907971,8
1645908001,8
1645908031,8
1645908061,8
1645908091,8
1645908121,8
1645908151,8
1645908181,8
1645908211,8
1645908241,8
1645908271,8
1645908301,8
1645908331,8
1645908361,8
1645908391,8
1645908421,8
1645908451,8
1645908481,8
1645908511,8
1645908541,8
1645908571,8
1645908601,8
1645908631,8
1645908661,8
1645908691,8
1645908721,8
1645908751,8
1645908781,8
1645908811,8
1645908841,8
1645908871,8
1645908901,8
1645908931,8
1645908961,8
1645908991,8
1645909021,8
1645909051,8
1645909081,8
1645909111,8
1645909141,8
1645909171,8
1645909201,8
1645909231,8
1645909261,8
1645909291,8
1645909321,8
1645909351,8
1645909381,8
1645909411,8
1645909441,8
1645909471,8
1645909501,8
1645909531,8
1645909561,8
1645909591,8
1645909621,8
1645909651,8
1645909681,8
1645909711,8
1645909741,8
1645909771,8
1645909801,8
1645909831,8
1645909861,8
1645909892,8
1645909922,8
1645909952,8
1645909982,8
1645910012,8
1645910042,8
1645910072,8
1645910102,8
1645910132,8
1645910162,8
1645910192,8
1645910222,8
1645910252,8
1645910282,8
1645910312,8
1645910342,8
1645910372,8
1645910402,8
1645910432,8
1645910462,8
1645910492,8
1645910522,8
1645910552,8
1645910582,8
1645910612,8
1645910642,8
1645911020,8
1645911050,8
1645911080,8
1645911110,8
1645911140,8
1645911170,8
1645911200,8
1645911230,8
1645911260,8
1645911290,8
1645911320,8
1645911350,8
1645911380,8
1645911410,8
1645911440,8
1645911470,8
1645911500,8
1645911530,8
1645911560,8
1645911590,8
1645911620,8
1645911650,8
1645911680,8
1645911710,8
1645911740,8
1645911770,8
1645911800,8
1645911830,8
1645911860,8
1645911890,8
1645911920,8
1645911950,8
1645911980,8
1645912010,8
1645912040,8
1645912070,8
1645912100,8
1645912130,8
1645912160,8
1645912190,8
1645912220,8
1645912250,8
1645912280,8
1645912310,8
1645912340,8
1645912370,8
1645912400,8
1645912430,8
1645912460,8
1645912490,8
1645912520,8
1645912550,8
1645912580,8
1645912610,8
1645912640,8
1645912670,8
1645912700,8
1645912730,8
1645912760,8
1645912790,8
1645912820,8
1645912850,8
1645912881,8
1645912911,8
1645912941,8
1645912971,8
1645913001,8
1645913031,8
1645913061,8
1645913091,8
1645913121,8
1645913151,8
1645913181,8
1645913319,8
1645913349,8
1645913379,8
1645913409,8
1645913439,8
1645913469,8
1645913499,8
1645913529,8
1645913559,8
1645913589,8
1645913619,8
1645913649,8
1645913679,8
1645913709,8
1645913739,8
1645913769,8
1645913799,8
1645913829,8
1645913859,8
1645913889,8
1645914183,8
1645914213,8
1645914243,8
1645914273,8
1645914303,8
1645914333,8
1645914363,8
1645914393,8
1645914423,8
1645914453,8
1645914483,8
1645914513,8
1645914543,8
1645914573,8
1645914603,8
1645914633,8
1645914663,8
1645914693,8
1645914723,8
1645914753,8
1645914783,8
1645914813,8
1645914843,8
1645914873,8
1645914903,8
1645914933,8
1645914963,8
1645914993,8
1645915023,8
1645915053,8
1645915083,8
1645915113,8
1645915143,8
1645915173,8
1645915203,8
1645915233,8
1645915263,8
1645915294,8
1645915324,8
1645915354,8
1645915384,8
1645915414,8
1645915444,8
1645915474,8
1645915504,8
1645915534,8
1645915564,8
1645915594,8
1645915624,8
1645915654,8
1645915684,8
1645915714,8
1645915744,8
1645915774,8
1645915804,8
1645915834,8
1645915864,8
1645915894,8
1645915924,8
1645915954,8
1645915984,8
1645916014,8
1645916044,8
1645916074,8
1645916104,8
1645916134,8
1645916164,8
1645916194,8
1645916224,8
1645916254,8
1645916284,8
1645916314,8
1645916344,8
1645916374,8
1645916404,8
1645916434,8
1645916464,8
1645916494,8
1645916524,8
1645954885,8
1645954915,8
1645954945,8
1645954975,8
1645955005,8
1645955035,8
1645955065,8
1645955095,8
1645955125,8
1645955155,8
1645955185,8
1645955215,8
1645955245,8
1645955275,8
1645955305,8
1645955335,8
1645955365,8
1645955395,8
1645955425,8
1645955455,8
1645955485,8
1645955515,8
1645955545,8
1645955575,8
1645955605,8
1645955635,8
1645955665,8
1645955695,8
1645955725,8
1645955755,8
1645955785,8
1645955815,8
1645955845,8
1645955875,8
1645955905,8
1645955935,8
1645955965,8
1645955995,8
1645956025,8
1645956055,8
1645956085,8
1645956115,8
1645956145,8
1645956175,8
1645956205,8
1645956235,8
1645956265,8
1645956295,8
1645956325,8
1645956355,8
1645956385,8
1645956415,8
1645956445,8
1645956475,8
1645956505,8
1645956535,8
1645956565,8
1645956595,8
1645956625,8
1645956655,8
1645956685,8
1645956715,8
1645956745,8
1645956775,8
1645956805,8
1645956835,8
1645956865,8
1645956895,8
1645956925,8
1645956955,8
1645956985,8
1645957015,8
1645957045,8
1645957075,8
1645957105,8
1645957135,8
1645957165,8
1645957195,8
1645957225,8
1645957255,8
1645957285,8
1645957315,8
1645957345,8
1645957375,8
1645957405,8
1645957435,8
1645957465,8
1645957495,8
1645957525,8
1645957555,8
1645957585,8
1645957615,8
1645957646,8
1645957676,8
1645957706,8
1645957736,8
1645957766,8
1645957796,8
1645957826,8
1645957856,8
1645957886,8
1645957916,8
1645957946,8
1645957976,8
1645958006,8
1645958036,8
1645996710,8
1645996740,8
1645996770,8
1645996800,8
1645996830,8
1645996860,8
1645996890,8
1645996920,8
1645996950,8
1645996980,8
1645997010,8
1645997040,8
1645997070,8
1645997100,8
1645997130,8
1645997160,8
1645997190,8
1645997220,8
1645997250,8
1645997280,8
1645997310,8
1645997340,8
1645997370,8
1645997400,8
1645997430,8
1645997460,8
1645997490,8
1645997520,8
1645997550,8
1645997580,8
1645997610,8
1645997640,8
1645997670,8
1645997700,8
1645997730,8
1645997760,8
1645997790,8
1645997820,8
1645997850,8
1645997880,8
1645997911,8
1645997941,8
1645997971,8
1645998001,8
1645998031,8
1645998061,8
1645998091,8
1645998121,8
1645998151,8
1645998181,8
1645998211,8
1645998241,8
1645998271,8
1645998301,8
1645998331,8
1645998361,8
1645998391,8
1645998421,8
1645998451,8
1645998481,8
1645998509,8
1645998539,8
1645998569,8
1645998599,8
1645998629,8
1645998659,8
1645998689,8
1645998719,8
1645998749,8
1645998779,8
1645998809,8
1645998839,8
1645998869,8
1645998899,8
1645998929,8
1645998959,8
1645998989,8
1645999019,8
1645999049,8
1645999079,8
1645999109,8
1645999139,8
1645999169,8
1645999199,8
1645999229,8
1645999259,8
1645999289,8
1645999319,8
1645999349,8
1645999379,8
1645999409,8
1645999439,8
1645999469,8
1645999499,8
1645999529,8
1645999559,8
1645999589,8
1645999619,8
1645999649,8
1645999679,8
1645999709,8
1645999739,8
1645999770,8
1645999800,8
1645999830,8
1645999860,8
1645999890,8
1645999920,8
1645999950,8
1645999980,8
1646000010,8
1646240100,8
1646240130,8
1646240160,8
1646240190,8
1646240220,8
1646240250,8
1646240280,8
1646240310,8
1646240340,8
1646240370,8
1646240400,8
1646240430,8
1646240460,8
1646240490,8
1646240520,8
1646240550,8
1646240580,8
1646240610,8
1646240640,8
1646240670,8
1646240700,8
1646240730,8
1646243480,8
1646243510,8
1646243540,8
1646243570,8
1646243600,8
1646243630,8
1646243660,8
1646243690,8
1646243720,8
1646243750,8
1646243780,8
1646243810,8
1646243840,8
1646243870,8
1646243900,8
1646243930,8
1646243960,8
1646243990,8
1646244020,8
1646244050,8
1646244080,8
1646244110,8
1646244140,8
1646244170,8
1646244200,8
1646244230,8
1646244260,8
1646244290,8
1646244320,8
1646244350,8
1646244380,8
1646244410,8
1646244440,8
1646244470,8
1646244500,8
1646244530,8
1646244560,8
1646244590,8
1646244620,8
1646244650,8
1646244680,8
1646244710,8
1646244740,8
1646244770,8
1646244800,8
1646244830,8
1646244860,8
1646244890,8
1646244920,8
1646244950,8
1646244980,8
1646245010,8
1646245040,8
1646245070,8
1646245100,8
1646245130,8
1646245160,8
1646245190,8
1646245220,8
1646245250,8
1646245280,8
1646245310,8
1646245340,8
1646245371,8
1646245401,8
1646245431,8
1646245461,8
1646245491,8
1646245521,8
1646245551,8
1646245581,8
1646245611,8
1646245641,8
1646245671,8
1646245701,8
1646245731,8
1646245761,8
1646245791,8
1646245821,8
1646245851,8
1646245881,8
1646245911,8
1646245941,8
1646245971,8
1646246001,8
1646246031,8
1646246061,8
1646246091,8
1646246121,8
1646246151,8
1646246181,8
1646246211,8
1646246241,8
1646246271,8
1646246301,8
1646246331,8
1646246361,8
1646246391,8
1646246421,8
1646246451,8
1646246481,8
1646246511,8
1646246541,8
1646246571,8
1646246601,8
1646246631,8
1646247249,8
1646248212,8
