t,value
1645691280,770048
1645691310,770048
1645691340,770048
1645691370,770048
1645691400,770048
1645691430,770048
1645691460,770048
1645691490,770048
1645691520,770048
1645691550,770048
1645691580,770048
1645691610,770048
1645691640,770048
1645691670,770048
1645691700,770048
1645691730,770048
1645691760,770048
1645691790,770048
1645691820,770048
1645691850,770048
1645691880,1016606
1645691910,1016606
1645691940,1016606
1645691970,1016606
1645692000,1016606
1645799460,1155870
1645799490,1155870
1645799520,1155870
1645799550,1155870
1645799580,1155870
1645799610,1155870
1645799640,1155870
1645799670,1155870
1645799700,1155870
1645799730,1155870
1645799760,1155870
1645799790,1155870
1645799820,1155870
1645799850,1155870
1645799880,1155870
1645799910,1155870
1645799940,1155870
1645799970,1155870
1645800000,1155870
1645800030,1155870
1645800060,1155870
1645800090,1155870
1645800120,1155870
1645800150,1155870
1645800180,1155870
1645800210,1155870
1645800240,1155870
1645800270,1155870
1645800300,1155870
1645800330,1155870
1645800360,1155870
1645800390,1155870
1645800420,1155870
1645800450,1155870
1645800480,1155870
1645800510,1155870
1645800540,1155870
1645800570,1155870
1645800600,1155870
1645800630,1155870
1645800661,1155870
1645800691,1155870
1645800721,1155870
1645800751,1155870
1645800781,1155870
1645800811,1155870
1645800841,1155870
1645800871,1155870
1645800901,1155870
1645800931,1155870
1645801355,1155870
1645801385,1155870
1645801415,1155870
1645801445,1155870
1645801475,1155870
1645801505,1155870
1645801535,1155870
1645801565,1155870
1645801595,1155870
1645801625,1155870
1645801655,1155870
1645801685,1155870
1645801715,1155870
1645801745,1155870
1645801775,1155870
1645801805,1155870
1645801835,1155870
1645801865,1155870
1645801895,1155870
1645801925,1155870
1645801955,1155870
1645801985,1155870
1645802015,1155870
1645802045,1155870
1645802075,1155870
1645802105,1155870
1645802135,1155870
1645802165,1155870
1645802195,1155870
1645802225,1155870
1645802255,1155870
1645802286,1155870
1645802316,1155870
1645802346,1155870
1645802376,1155870
1645802406,1155870
1645802436,1155870
1645802466,1155870
1645802496,1155870
