t,value
1645691280,770048
1645691310,770048
1645691340,770048
1645691370,770048
1645691400,770048
1645691430,770048
1645691460,770048
1645691490,770048
1645691520,770048
1645691550,770048
1645691580,770048
1645691610,770048
1645691640,770048
1645691670,770048
1645691700,770048
1645691730,770048
1645691760,770048
1645691790,770048
1645691820,770048
1645691850,770048
1645691880,1065490
1645691910,1065490
1645691940,1065490
1645691970,1065490
1645692000,1065490
1645799460,1204946
1645799490,1204946
1645799520,1204946
1645799550,1204946
1645799580,1204946
1645799610,1204946
1645799640,1204946
1645799670,1204946
1645799700,1204946
1645799730,1204946
1645799760,1204946
1645799790,1204946
1645799820,1204946
1645799850,1204946
1645799880,1204946
1645799910,1204946
1645799940,1204946
1645799970,1204946
1645800000,1204946
1645800030,1204946
1645800060,1204946
1645800090,1204946
1645800120,1204946
1645800150,1204946
1645800180,1204946
1645800210,1204946
1645800240,1204946
1645800270,1204946
1645800300,1204946
1645800330,1204946
1645800360,1204946
1645800390,1204946
1645800420,1204946
1645800450,1204946
1645800480,1204946
1645800510,1204946
1645800540,1204946
1645800570,1204946
1645800600,1204946
1645800630,1204946
1645800661,1204946
1645800691,1204946
1645800721,1204946
1645800751,1204946
1645800781,1204946
1645800811,1204946
1645800841,1204946
1645800871,1204946
1645800901,1204946
1645800931,1204946
1645801355,1204946
1645801385,1204946
1645801415,1204946
1645801445,1204946
1645801475,1204946
1645801505,1204946
1645801535,1204946
1645801565,1204946
1645801595,1204946
1645801625,1204946
1645801655,1204946
1645801685,1204946
1645801715,1204946
1645801745,1204946
1645801775,1204946
1645801805,1204946
1645801835,1204946
1645801865,1204946
1645801895,1204946
1645801925,1204946
1645801955,1204946
1645801985,1204946
1645802015,1204946
1645802045,1204946
1645802075,1204946
1645802105,1204946
1645802135,1204946
1645802165,1204946
1645802195,1204946
1645802225,1204946
1645802255,1204946
1645802286,1204946
1645802316,1204946
1645802346,1204946
1645802376,1204946
1645802406,1204946
1645802436,1204946
1645802466,1204946
1645802496,1204946
