t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,37,2.424573,0.000000,0.000000,0.000000,events/second
1645691310,40,0.883096,0.000000,0.000000,0.000000,events/second
1645691340,46,0.610870,0.000000,0.000000,0.000000,events/second
1645691370,49,0.465248,0.000000,0.000000,0.000000,events/second
1645691400,55,0.406429,0.000000,0.000000,0.000000,events/second
1645691430,58,0.350795,0.000000,0.000000,0.000000,events/second
1645691460,64,0.327625,0.000000,0.000000,0.000000,events/second
1645691490,67,0.297289,0.000000,0.000000,0.000000,events/second
1645691520,73,0.285844,0.000000,0.000000,0.000000,events/second
1645691550,76,0.266299,0.000000,0.000000,0.000000,events/second
1645691580,82,0.259987,0.000000,0.000000,0.000000,events/second
1645691610,85,0.246082,0.000000,0.000000,0.000000,events/second
1645691640,91,0.242388,0.000000,0.000000,0.000000,events/second
1645691670,94,0.231847,0.000000,0.000000,0.000000,events/second
1645691700,100,0.229643,0.000000,0.000000,0.000000,events/second
1645691730,106,0.227729,0.000000,0.000000,0.000000,events/second
1645691760,121,0.244203,0.000000,0.000000,0.000000,events/second
1645691790,127,0.241655,0.000000,0.000000,0.000000,events/second
1645691820,136,0.244802,0.000000,0.000000,0.000000,events/second
1645691850,139,0.237376,0.000000,0.000000,0.000000,events/second
1645691880,146,0.237173,0.000000,0.000000,0.000000,events/second
1645691910,149,0.230795,0.000000,0.000000,0.000000,events/second
1645691940,164,0.242746,0.000000,0.000000,0.000000,events/second
1645691970,167,0.236673,0.000000,0.000000,0.000000,events/second
1645692000,173,0.235174,0.000000,0.000000,0.000000,events/second
1645799460,32,1.228130,0.000000,0.000000,0.000000,events/second
1645799490,38,0.676763,0.000000,0.000000,0.000000,events/second
1645799520,44,0.510671,0.000000,0.000000,0.000000,events/second
1645799550,56,0.482047,0.000000,0.000000,0.000000,events/second
1645799580,68,0.465112,0.000000,0.000000,0.000000,events/second
1645799610,74,0.419947,0.000000,0.000000,0.000000,events/second
1645799640,77,0.373377,0.000000,0.000000,0.000000,events/second
1645799670,83,0.351351,0.000000,0.000000,0.000000,events/second
1645799700,86,0.323023,0.000000,0.000000,0.000000,events/second
1645799730,92,0.310549,0.000000,0.000000,0.000000,events/second
1645799760,95,0.291180,0.000000,0.000000,0.000000,events/second
1645799790,101,0.283491,0.000000,0.000000,0.000000,events/second
1645799820,104,0.269226,0.000000,0.000000,0.000000,events/second
1645799850,110,0.264202,0.000000,0.000000,0.000000,events/second
1645799880,113,0.253150,0.000000,0.000000,0.000000,events/second
1645799910,119,0.249794,0.000000,0.000000,0.000000,events/second
1645799940,122,0.240915,0.000000,0.000000,0.000000,events/second
1645799970,128,0.238624,0.000000,0.000000,0.000000,events/second
1645800000,131,0.231275,0.000000,0.000000,0.000000,events/second
1645800030,137,0.229700,0.000000,0.000000,0.000000,events/second
1645800060,141,0.225083,0.000000,0.000000,0.000000,events/second
1645800090,147,0.223932,0.000000,0.000000,0.000000,events/second
1645800120,150,0.218513,0.000000,0.000000,0.000000,events/second
1645800150,156,0.217735,0.000000,0.000000,0.000000,events/second
1645800180,159,0.213002,0.000000,0.000000,0.000000,events/second
1645800210,165,0.212497,0.000000,0.000000,0.000000,events/second
1645800240,168,0.208309,0.000000,0.000000,0.000000,events/second
1645800270,174,0.208010,0.000000,0.000000,0.000000,events/second
1645800300,177,0.204268,0.000000,0.000000,0.000000,events/second
1645800330,183,0.204123,0.000000,0.000000,0.000000,events/second
1645800360,186,0.200748,0.000000,0.000000,0.000000,events/second
1645800390,192,0.200723,0.000000,0.000000,0.000000,events/second
1645800420,195,0.197657,0.000000,0.000000,0.000000,events/second
1645800450,201,0.197725,0.000000,0.000000,0.000000,events/second
1645800480,204,0.194920,0.000000,0.000000,0.000000,events/second
1645800510,210,0.195060,0.000000,0.000000,0.000000,events/second
1645800540,213,0.192482,0.000000,0.000000,0.000000,events/second
1645800570,219,0.192678,0.000000,0.000000,0.000000,events/second
1645800600,222,0.190292,0.000000,0.000000,0.000000,events/second
1645800630,228,0.190535,0.000000,0.000000,0.000000,events/second
