t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,73,4.782530,0.000000,0.000000,0.000000,events/second
1645691310,73,1.611708,0.000000,0.000000,0.000000,events/second
1645691340,73,0.969445,0.000000,0.000000,0.000000,events/second
1645691370,73,0.693135,0.000000,0.000000,0.000000,events/second
1645691400,73,0.539448,0.000000,0.000000,0.000000,events/second
1645691430,73,0.441522,0.000000,0.000000,0.000000,events/second
1645691460,73,0.373700,0.000000,0.000000,0.000000,events/second
1645691490,73,0.323914,0.000000,0.000000,0.000000,events/second
1645691520,73,0.285845,0.000000,0.000000,0.000000,events/second
1645691550,73,0.255788,0.000000,0.000000,0.000000,events/second
1645691580,73,0.231453,0.000000,0.000000,0.000000,events/second
1645691610,73,0.211342,0.000000,0.000000,0.000000,events/second
1645691640,73,0.194444,0.000000,0.000000,0.000000,events/second
1645691670,73,0.180052,0.000000,0.000000,0.000000,events/second
1645691700,73,0.167640,0.000000,0.000000,0.000000,events/second
1645691730,73,0.156833,0.000000,0.000000,0.000000,events/second
1645691760,73,0.147330,0.000000,0.000000,0.000000,events/second
1645691790,73,0.138905,0.000000,0.000000,0.000000,events/second
1645691820,73,0.131401,0.000000,0.000000,0.000000,events/second
1645691850,73,0.124665,0.000000,0.000000,0.000000,events/second
1645691880,73,0.118587,0.000000,0.000000,0.000000,events/second
1645691910,73,0.113074,0.000000,0.000000,0.000000,events/second
1645691940,73,0.108052,0.000000,0.000000,0.000000,events/second
1645691970,73,0.103456,0.000000,0.000000,0.000000,events/second
1645692000,73,0.099236,0.000000,0.000000,0.000000,events/second
1645799460,73,2.800315,0.000000,0.000000,0.000000,events/second
1645799490,73,1.300136,0.000000,0.000000,0.000000,events/second
1645799520,73,0.847266,0.000000,0.000000,0.000000,events/second
1645799550,73,0.628392,0.000000,0.000000,0.000000,events/second
1645799580,73,0.499317,0.000000,0.000000,0.000000,events/second
1645799610,73,0.414276,0.000000,0.000000,0.000000,events/second
1645799640,73,0.353984,0.000000,0.000000,0.000000,events/second
1645799670,73,0.309022,0.000000,0.000000,0.000000,events/second
1645799700,73,0.274196,0.000000,0.000000,0.000000,events/second
1645799730,73,0.246415,0.000000,0.000000,0.000000,events/second
1645799760,73,0.223750,0.000000,0.000000,0.000000,events/second
1645799790,73,0.204900,0.000000,0.000000,0.000000,events/second
1645799820,73,0.188977,0.000000,0.000000,0.000000,events/second
1645799850,73,0.175335,0.000000,0.000000,0.000000,events/second
1645799880,73,0.163540,0.000000,0.000000,0.000000,events/second
1645799910,73,0.153236,0.000000,0.000000,0.000000,events/second
1645799940,73,0.144154,0.000000,0.000000,0.000000,events/second
1645799970,73,0.136091,0.000000,0.000000,0.000000,events/second
1645800000,73,0.128879,0.000000,0.000000,0.000000,events/second
1645800030,73,0.122395,0.000000,0.000000,0.000000,events/second
1645800060,73,0.116532,0.000000,0.000000,0.000000,events/second
1645800090,73,0.111204,0.000000,0.000000,0.000000,events/second
1645800120,73,0.106343,0.000000,0.000000,0.000000,events/second
1645800150,73,0.101889,0.000000,0.000000,0.000000,events/second
1645800180,73,0.097794,0.000000,0.000000,0.000000,events/second
1645800210,73,0.094014,0.000000,0.000000,0.000000,events/second
1645800240,73,0.090516,0.000000,0.000000,0.000000,events/second
1645800270,73,0.087269,0.000000,0.000000,0.000000,events/second
1645800300,73,0.084246,0.000000,0.000000,0.000000,events/second
1645800330,73,0.081426,0.000000,0.000000,0.000000,events/second
1645800360,73,0.078788,0.000000,0.000000,0.000000,events/second
1645800390,73,0.076317,0.000000,0.000000,0.000000,events/second
1645800420,73,0.073995,0.000000,0.000000,0.000000,events/second
1645800450,73,0.071811,0.000000,0.000000,0.000000,events/second
1645800480,73,0.069751,0.000000,0.000000,0.000000,events/second
1645800510,73,0.067807,0.000000,0.000000,0.000000,events/second
1645800540,73,0.065968,0.000000,0.000000,0.000000,events/second
1645800570,73,0.064226,0.000000,0.000000,0.000000,events/second
1645800600,73,0.062574,0.000000,0.000000,0.000000,events/second
