t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,3,0.196469,0.000000,0.000000,0.000000,events/second
1645691310,3,0.066230,0.000000,0.000000,0.000000,events/second
1645691340,3,0.039838,0.000000,0.000000,0.000000,events/second
1645691370,3,0.028484,0.000000,0.000000,0.000000,events/second
1645691400,3,0.022169,0.000000,0.000000,0.000000,events/second
1645691430,3,0.018144,0.000000,0.000000,0.000000,events/second
1645691460,3,0.015357,0.000000,0.000000,0.000000,events/second
1645691490,3,0.013311,0.000000,0.000000,0.000000,events/second
1645691520,3,0.011747,0.000000,0.000000,0.000000,events/second
1645691550,3,0.010512,0.000000,0.000000,0.000000,events/second
1645691580,3,0.009512,0.000000,0.000000,0.000000,events/second
1645691610,3,0.008685,0.000000,0.000000,0.000000,events/second
1645691640,3,0.007991,0.000000,0.000000,0.000000,events/second
1645691670,3,0.007399,0.000000,0.000000,0.000000,events/second
1645691700,3,0.006889,0.000000,0.000000,0.000000,events/second
1645691730,3,0.006445,0.000000,0.000000,0.000000,events/second
1645691760,3,0.006055,0.000000,0.000000,0.000000,events/second
1645691790,3,0.005708,0.000000,0.000000,0.000000,events/second
1645691820,3,0.005400,0.000000,0.000000,0.000000,events/second
1645691850,3,0.005123,0.000000,0.000000,0.000000,events/second
1645691880,3,0.004873,0.000000,0.000000,0.000000,events/second
1645691910,3,0.004647,0.000000,0.000000,0.000000,events/second
1645691940,3,0.004440,0.000000,0.000000,0.000000,events/second
1645691970,3,0.004252,0.000000,0.000000,0.000000,events/second
1645692000,3,0.004078,0.000000,0.000000,0.000000,events/second
1645799460,3,0.115035,0.000000,0.000000,0.000000,events/second
1645799490,3,0.053427,0.000000,0.000000,0.000000,events/second
1645799520,3,0.034818,0.000000,0.000000,0.000000,events/second
1645799550,3,0.025824,0.000000,0.000000,0.000000,events/second
1645799580,3,0.020519,0.000000,0.000000,0.000000,events/second
1645799610,3,0.017025,0.000000,0.000000,0.000000,events/second
1645799640,3,0.014547,0.000000,0.000000,0.000000,events/second
1645799670,3,0.012699,0.000000,0.000000,0.000000,events/second
1645799700,3,0.011268,0.000000,0.000000,0.000000,events/second
1645799730,3,0.010127,0.000000,0.000000,0.000000,events/second
1645799760,3,0.009195,0.000000,0.000000,0.000000,events/second
1645799790,3,0.008420,0.000000,0.000000,0.000000,events/second
1645799820,3,0.007766,0.000000,0.000000,0.000000,events/second
1645799850,3,0.007205,0.000000,0.000000,0.000000,events/second
1645799880,3,0.006721,0.000000,0.000000,0.000000,events/second
1645799910,3,0.006297,0.000000,0.000000,0.000000,events/second
1645799940,3,0.005924,0.000000,0.000000,0.000000,events/second
1645799970,3,0.005593,0.000000,0.000000,0.000000,events/second
1645800000,3,0.005296,0.000000,0.000000,0.000000,events/second
1645800030,3,0.005030,0.000000,0.000000,0.000000,events/second
1645800060,3,0.004789,0.000000,0.000000,0.000000,events/second
1645800090,3,0.004570,0.000000,0.000000,0.000000,events/second
1645800120,3,0.004370,0.000000,0.000000,0.000000,events/second
1645800150,3,0.004187,0.000000,0.000000,0.000000,events/second
1645800180,3,0.004019,0.000000,0.000000,0.000000,events/second
1645800210,3,0.003864,0.000000,0.000000,0.000000,events/second
1645800240,3,0.003720,0.000000,0.000000,0.000000,events/second
1645800270,3,0.003586,0.000000,0.000000,0.000000,events/second
1645800300,3,0.003462,0.000000,0.000000,0.000000,events/second
1645800330,3,0.003346,0.000000,0.000000,0.000000,events/second
1645800360,3,0.003238,0.000000,0.000000,0.000000,events/second
1645800390,3,0.003136,0.000000,0.000000,0.000000,events/second
1645800420,3,0.003041,0.000000,0.000000,0.000000,events/second
1645800450,3,0.002951,0.000000,0.000000,0.000000,events/second
1645800480,3,0.002866,0.000000,0.000000,0.000000,events/second
1645800510,3,0.002787,0.000000,0.000000,0.000000,events/second
1645800540,3,0.002711,0.000000,0.000000,0.000000,events/second
1645800570,3,0.002639,0.000000,0.000000,0.000000,events/second
1645800600,3,0.002572,0.000000,0.000000,0.000000,events/second
1645800630,3,0.002507,0.000000,0.000000,0.000000,events/second
1645800661,3,0.002446,0.000000,0.000000,0.000000,events/second
1645800691,3,0.002387,0.000000,0.000000,0.000000,events/second
1645800721,3,0.002332,0.000000,0.000000,0.000000,events/second
1645800751,3,0.002278,0.000000,0.000000,0.000000,events/second
1645800781,3,0.002228,0.000000,0.000000,0.000000,events/second
1645800811,3,0.002179,0.000000,0.000000,0.000000,events/second
1645800841,3,0.002133,0.000000,0.000000,0.000000,events/second
1645800871,3,0.002088,0.000000,0.000000,0.000000,events/second
1645800901,3,0.002045,0.000000,0.000000,0.000000,events/second
1645800931,3,0.002004,0.000000,0.000000,0.000000,events/second
1645801355,3,0.001561,0.000000,0.000000,0.000000,events/second
1645801385,3,0.001537,0.000000,0.000000,0.000000,events/second
1645801415,3,0.001514,0.000000,0.000000,0.000000,events/second
1645801445,3,0.001492,0.000000,0.000000,0.000000,events/second
1645801475,3,0.001470,0.000000,0.000000,0.000000,events/second
1645801505,3,0.001448,0.000000,0.000000,0.000000,events/second
1645801535,3,0.001428,0.000000,0.000000,0.000000,events/second
1645801565,3,0.001408,0.000000,0.000000,0.000000,events/second
1645801595,3,0.001388,0.000000,0.000000,0.000000,events/second
1645801625,3,0.001369,0.000000,0.000000,0.000000,events/second
1645801655,3,0.001350,0.000000,0.000000,0.000000,events/second
1645801685,3,0.001332,0.000000,0.000000,0.000000,events/second
1645801715,3,0.001315,0.000000,0.000000,0.000000,events/second
1645801745,3,0.001298,0.000000,0.000000,0.000000,events/second
1645801775,3,0.001281,0.000000,0.000000,0.000000,events/second
1645801805,3,0.001265,0.000000,0.000000,0.000000,events/second
1645801835,3,0.001249,0.000000,0.000000,0.000000,events/second
1645801865,3,0.001234,0.000000,0.000000,0.000000,events/second
1645801895,3,0.001219,0.000000,0.000000,0.000000,events/second
1645801925,3,0.001204,0.000000,0.000000,0.000000,events/second
1645801955,3,0.001190,0.000000,0.000000,0.000000,events/second
1645801985,3,0.001176,0.000000,0.000000,0.000000,events/second
1645802015,3,0.001162,0.000000,0.000000,0.000000,events/second
1645802045,3,0.001149,0.000000,0.000000,0.000000,events/second
1645802075,3,0.001136,0.000000,0.000000,0.000000,events/second
1645802105,3,0.001123,0.000000,0.000000,0.000000,events/second
1645802135,3,0.001110,0.000000,0.000000,0.000000,events/second
1645802165,3,0.001098,0.000000,0.000000,0.000000,events/second
1645802195,3,0.001086,0.000000,0.000000,0.000000,events/second
1645802225,3,0.001075,0.000000,0.000000,0.000000,events/second
1645802255,3,0.001063,0.000000,0.000000,0.000000,events/second
1645802286,3,0.001052,0.000000,0.000000,0.000000,events/second
1645802316,3,0.001041,0.000000,0.000000,0.000000,events/second
1645802346,3,0.001030,0.000000,0.000000,0.000000,events/second
1645802376,3,0.001020,0.000000,0.000000,0.000000,events/second
1645802406,3,0.001010,0.000000,0.000000,0.000000,events/second
1645802436,3,0.000999,0.000000,0.000000,0.000000,events/second
1645802466,3,0.000990,0.000000,0.000000,0.000000,events/second
1645802496,3,0.000980,0.000000,0.000000,0.000000,events/second
1645802526,3,0.000970,0.000000,0.000000,0.000000,events/second
1645802556,3,0.000961,0.000000,0.000000,0.000000,events/second
1645802586,3,0.000952,0.000000,0.000000,0.000000,events/second
1645802616,3,0.000943,0.000000,0.000000,0.000000,events/second
1645802646,3,0.000934,0.000000,0.000000,0.000000,events/second
1645802676,3,0.000925,0.000000,0.000000,0.000000,events/second
1645802706,3,0.000917,0.000000,0.000000,0.000000,events/second
1645802736,3,0.000909,0.000000,0.000000,0.000000,events/second
1645802766,3,0.000900,0.000000,0.000000,0.000000,events/second
1645802796,3,0.000892,0.000000,0.000000,0.000000,events/second
1645802826,3,0.000884,0.000000,0.000000,0.000000,events/second
1645802856,3,0.000877,0.000000,0.000000,0.000000,events/second
1645802886,3,0.000869,0.000000,0.000000,0.000000,events/second
1645802916,3,0.000862,0.000000,0.000000,0.000000,events/second
1645802946,3,0.000854,0.000000,0.000000,0.000000,events/second
