t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,223,14.603909,0.000000,0.000000,0.000000,events/second
1645691310,229,5.055752,0.000000,0.000000,0.000000,events/second
1645691340,235,3.120760,0.000000,0.000000,0.000000,events/second
1645691370,241,2.288266,0.000000,0.000000,0.000000,events/second
1645691400,247,1.825240,0.000000,0.000000,0.000000,events/second
1645691430,253,1.530194,0.000000,0.000000,0.000000,events/second
1645691460,259,1.325858,0.000000,0.000000,0.000000,events/second
1645691490,265,1.175845,0.000000,0.000000,0.000000,events/second
1645691520,271,1.061147,0.000000,0.000000,0.000000,events/second
1645691550,277,0.970590,0.000000,0.000000,0.000000,events/second
1645691580,283,0.897272,0.000000,0.000000,0.000000,events/second
1645691610,289,0.836679,0.000000,0.000000,0.000000,events/second
1645691640,295,0.785765,0.000000,0.000000,0.000000,events/second
1645691670,301,0.742406,0.000000,0.000000,0.000000,events/second
1645691700,307,0.705006,0.000000,0.000000,0.000000,events/second
1645691730,313,0.672446,0.000000,0.000000,0.000000,events/second
1645691760,319,0.643809,0.000000,0.000000,0.000000,events/second
1645691790,325,0.618409,0.000000,0.000000,0.000000,events/second
1645691820,331,0.595805,0.000000,0.000000,0.000000,events/second
1645691850,337,0.575509,0.000000,0.000000,0.000000,events/second
1645691880,343,0.557195,0.000000,0.000000,0.000000,events/second
1645691910,349,0.540588,0.000000,0.000000,0.000000,events/second
1645691940,355,0.525456,0.000000,0.000000,0.000000,events/second
1645691970,361,0.511612,0.000000,0.000000,0.000000,events/second
1645692000,367,0.498896,0.000000,0.000000,0.000000,events/second
1645799460,15,0.575030,0.000000,0.000000,0.000000,events/second
1645799490,21,0.374002,0.000000,0.000000,0.000000,events/second
1645799520,26,0.301761,0.000000,0.000000,0.000000,events/second
1645799550,32,0.275456,0.000000,0.000000,0.000000,events/second
1645799580,38,0.259916,0.000000,0.000000,0.000000,events/second
1645799610,44,0.249699,0.000000,0.000000,0.000000,events/second
1645799640,50,0.242453,0.000000,0.000000,0.000000,events/second
1645799670,56,0.237057,0.000000,0.000000,0.000000,events/second
1645799700,62,0.232877,0.000000,0.000000,0.000000,events/second
1645799730,68,0.229536,0.000000,0.000000,0.000000,events/second
1645799760,74,0.226814,0.000000,0.000000,0.000000,events/second
1645799790,80,0.224547,0.000000,0.000000,0.000000,events/second
1645799820,86,0.222629,0.000000,0.000000,0.000000,events/second
1645799850,92,0.220969,0.000000,0.000000,0.000000,events/second
1645799880,98,0.219546,0.000000,0.000000,0.000000,events/second
1645799910,104,0.218308,0.000000,0.000000,0.000000,events/second
1645799940,110,0.217218,0.000000,0.000000,0.000000,events/second
1645799970,116,0.216253,0.000000,0.000000,0.000000,events/second
1645800000,122,0.215386,0.000000,0.000000,0.000000,events/second
1645800030,128,0.214610,0.000000,0.000000,0.000000,events/second
1645800060,134,0.213908,0.000000,0.000000,0.000000,events/second
1645800090,140,0.213268,0.000000,0.000000,0.000000,events/second
1645800120,146,0.212686,0.000000,0.000000,0.000000,events/second
1645800150,152,0.212152,0.000000,0.000000,0.000000,events/second
1645800180,158,0.211663,0.000000,0.000000,0.000000,events/second
1645800210,164,0.211210,0.000000,0.000000,0.000000,events/second
1645800240,170,0.210789,0.000000,0.000000,0.000000,events/second
1645800270,176,0.210401,0.000000,0.000000,0.000000,events/second
1645800300,182,0.210038,0.000000,0.000000,0.000000,events/second
1645800330,188,0.209700,0.000000,0.000000,0.000000,events/second
1645800360,194,0.209383,0.000000,0.000000,0.000000,events/second
1645800390,200,0.209087,0.000000,0.000000,0.000000,events/second
1645800420,206,0.208807,0.000000,0.000000,0.000000,events/second
1645800450,212,0.208546,0.000000,0.000000,0.000000,events/second
1645800480,218,0.208297,0.000000,0.000000,0.000000,events/second
1645800510,224,0.208064,0.000000,0.000000,0.000000,events/second
1645800540,230,0.207845,0.000000,0.000000,0.000000,events/second
1645800570,236,0.207635,0.000000,0.000000,0.000000,events/second
1645800600,242,0.207436,0.000000,0.000000,0.000000,events/second
1645800630,248,0.207249,0.000000,0.000000,0.000000,events/second
1645800661,254,0.207069,0.000000,0.000000,0.000000,events/second
1645800691,260,0.206899,0.000000,0.000000,0.000000,events/second
1645800721,266,0.206738,0.000000,0.000000,0.000000,events/second
1645800751,272,0.206583,0.000000,0.000000,0.000000,events/second
1645800781,278,0.206435,0.000000,0.000000,0.000000,events/second
1645800811,284,0.206293,0.000000,0.000000,0.000000,events/second
1645800841,290,0.206157,0.000000,0.000000,0.000000,events/second
1645800871,296,0.206028,0.000000,0.000000,0.000000,events/second
1645800901,302,0.205904,0.000000,0.000000,0.000000,events/second
1645800931,308,0.205785,0.000000,0.000000,0.000000,events/second
1645801355,314,0.163429,0.000000,0.000000,0.000000,events/second
1645801385,320,0.163990,0.000000,0.000000,0.000000,events/second
1645801415,326,0.164535,0.000000,0.000000,0.000000,events/second
1645801445,332,0.165063,0.000000,0.000000,0.000000,events/second
1645801475,338,0.165575,0.000000,0.000000,0.000000,events/second
1645801505,344,0.166072,0.000000,0.000000,0.000000,events/second
1645801535,350,0.166556,0.000000,0.000000,0.000000,events/second
1645801565,356,0.167026,0.000000,0.000000,0.000000,events/second
1645801595,362,0.167483,0.000000,0.000000,0.000000,events/second
1645801625,368,0.167928,0.000000,0.000000,0.000000,events/second
1645801655,374,0.168360,0.000000,0.000000,0.000000,events/second
1645801685,380,0.168781,0.000000,0.000000,0.000000,events/second
1645801715,386,0.169191,0.000000,0.000000,0.000000,events/second
1645801745,392,0.169590,0.000000,0.000000,0.000000,events/second
1645801775,398,0.169979,0.000000,0.000000,0.000000,events/second
1645801805,404,0.170359,0.000000,0.000000,0.000000,events/second
1645801835,410,0.170728,0.000000,0.000000,0.000000,events/second
1645801865,416,0.171089,0.000000,0.000000,0.000000,events/second
1645801895,422,0.171440,0.000000,0.000000,0.000000,events/second
1645801925,428,0.171783,0.000000,0.000000,0.000000,events/second
1645801955,434,0.172118,0.000000,0.000000,0.000000,events/second
1645801985,440,0.172446,0.000000,0.000000,0.000000,events/second
1645802015,446,0.172765,0.000000,0.000000,0.000000,events/second
1645802045,452,0.173077,0.000000,0.000000,0.000000,events/second
1645802075,458,0.173382,0.000000,0.000000,0.000000,events/second
1645802105,464,0.173680,0.000000,0.000000,0.000000,events/second
1645802135,470,0.173972,0.000000,0.000000,0.000000,events/second
1645802165,476,0.174257,0.000000,0.000000,0.000000,events/second
1645802195,482,0.174536,0.000000,0.000000,0.000000,events/second
1645802225,488,0.174809,0.000000,0.000000,0.000000,events/second
1645802255,494,0.175076,0.000000,0.000000,0.000000,events/second
1645802286,500,0.175338,0.000000,0.000000,0.000000,events/second
1645802316,506,0.175594,0.000000,0.000000,0.000000,events/second
1645802346,512,0.175844,0.000000,0.000000,0.000000,events/second
1645802376,518,0.176090,0.000000,0.000000,0.000000,events/second
1645802406,524,0.176331,0.000000,0.000000,0.000000,events/second
1645802436,530,0.176567,0.000000,0.000000,0.000000,events/second
1645802466,536,0.176798,0.000000,0.000000,0.000000,events/second
1645802496,542,0.177025,0.000000,0.000000,0.000000,events/second
1645802526,548,0.177247,0.000000,0.000000,0.000000,events/second
1645802556,554,0.177465,0.000000,0.000000,0.000000,events/second
1645802586,560,0.177679,0.000000,0.000000,0.000000,events/second
1645802616,566,0.177889,0.000000,0.000000,0.000000,events/second
1645802646,572,0.178095,0.000000,0.000000,0.000000,events/second
1645802676,578,0.178298,0.000000,0.000000,0.000000,events/second
1645802706,584,0.178496,0.000000,0.000000,0.000000,events/second
1645802736,590,0.178691,0.000000,0.000000,0.000000,events/second
1645802766,596,0.178882,0.000000,0.000000,0.000000,events/second
1645802796,602,0.179070,0.000000,0.000000,0.000000,events/second
1645802826,608,0.179255,0.000000,0.000000,0.000000,events/second
1645802856,614,0.179436,0.000000,0.000000,0.000000,events/second
1645802886,620,0.179615,0.000000,0.000000,0.000000,events/second
