t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1645691280,67,4.969666,0.000000,0.000000,0.000000,events/second
1645691310,67,1.540363,0.000000,0.000000,0.000000,events/second
1645691340,67,0.911523,0.000000,0.000000,0.000000,events/second
1645691370,67,0.647211,0.000000,0.000000,0.000000,events/second
1645691400,67,0.501775,0.000000,0.000000,0.000000,events/second
1645691430,67,0.409687,0.000000,0.000000,0.000000,events/second
1645691460,78,0.403004,0.000000,0.000000,0.000000,events/second
1645691490,78,0.348882,0.000000,0.000000,0.000000,events/second
1645691520,78,0.307589,0.000000,0.000000,0.000000,events/second
1645691550,78,0.275041,0.000000,0.000000,0.000000,events/second
1645691580,78,0.248723,0.000000,0.000000,0.000000,events/second
1645691610,78,0.226999,0.000000,0.000000,0.000000,events/second
1645691640,78,0.208762,0.000000,0.000000,0.000000,events/second
1645691670,78,0.193242,0.000000,0.000000,0.000000,events/second
1645691700,78,0.179865,0.000000,0.000000,0.000000,events/second
1645691730,78,0.168225,0.000000,0.000000,0.000000,events/second
1645691760,78,0.157994,0.000000,0.000000,0.000000,events/second
1645691790,78,0.148928,0.000000,0.000000,0.000000,events/second
1645691820,78,0.140857,0.000000,0.000000,0.000000,events/second
1645691850,78,0.133614,0.000000,0.000000,0.000000,events/second
1645691880,85,0.138485,0.000000,0.000000,0.000000,events/second
1645691910,85,0.132030,0.000000,0.000000,0.000000,events/second
1645691940,85,0.126149,0.000000,0.000000,0.000000,events/second
1645691970,85,0.120771,0.000000,0.000000,0.000000,events/second
1645692000,85,0.115831,0.000000,0.000000,0.000000,events/second
1645692030,85,0.111278,0.000000,0.000000,0.000000,events/second
1645799460,72,2.869195,0.000000,0.000000,0.000000,events/second
1645799490,72,1.306075,0.000000,0.000000,0.000000,events/second
1645799520,72,0.845681,0.000000,0.000000,0.000000,events/second
1645799550,72,0.625280,0.000000,0.000000,0.000000,events/second
1645799580,72,0.495941,0.000000,0.000000,0.000000,events/second
1645799610,72,0.410983,0.000000,0.000000,0.000000,events/second
1645799640,80,0.389858,0.000000,0.000000,0.000000,events/second
1645799670,80,0.340125,0.000000,0.000000,0.000000,events/second
1645799700,80,0.301645,0.000000,0.000000,0.000000,events/second
1645799730,80,0.270978,0.000000,0.000000,0.000000,events/second
1645799760,80,0.245975,0.000000,0.000000,0.000000,events/second
1645799790,80,0.225194,0.000000,0.000000,0.000000,events/second
1645799820,80,0.207647,0.000000,0.000000,0.000000,events/second
1645799850,80,0.192621,0.000000,0.000000,0.000000,events/second
1645799880,80,0.179633,0.000000,0.000000,0.000000,events/second
