t,value
1645691280,208182960
1645691310,208182960
1645691340,208182960
1645691370,208182960
1645691400,208182960
1645691430,208182960
1645691460,208182960
1645691490,208182960
1645691520,208182960
1645691550,208182960
1645691580,208182960
1645691610,208182960
1645691640,208182960
1645691670,208182960
1645691700,208182960
1645691730,208182960
1645691760,208182960
1645691790,208182960
1645691820,208182960
1645691850,208182960
1645691880,208182960
1645691910,208182960
1645691940,208182960
1645691970,208182960
1645692000,208182960
1645692030,208182960
1645799460,244285440
1645799490,244285440
1645799520,244285440
1645799550,244285440
1645799580,244285440
1645799610,244285440
1645799640,244285440
1645799670,244285440
1645799700,244285440
1645799730,244285440
1645799760,244285440
1645799790,244285440
1645799820,244285440
1645799850,244285440
1645799880,244285440
1645799910,244285440
1645799940,244285440
1645799970,244285440
1645800000,244285440
1645800030,244285440
1645800060,244285440
1645800090,244285440
1645800120,244285440
1645800150,244285440
1645800180,244285440
1645800210,244285440
1645800240,244285440
1645800270,244285440
1645800300,244285440
1645800330,244285440
1645800360,244285440
1645800390,244285440
1645800420,244285440
1645800450,244285440
1645800480,244285440
1645800510,244285440
1645800540,244285440
1645800570,244285440
1645800600,244285440
1645800630,244285440
1645800661,244285440
1645800691,244285440
1645800721,244285440
1645800751,244285440
1645800781,244285440
1645800811,244285440
1645800841,244285440
1645800871,244285440
1645800901,244285440
1645800931,244285440
1645801355,244285440
1645801385,244285440
1645801415,244285440
1645801445,244285440
1645801475,244285440
1645801505,244285440
1645801535,244285440
1645801565,244285440
1645801595,244285440
1645801625,244285440
1645801655,244285440
1645801685,244285440
1645801715,244285440
1645801745,244285440
1645801775,244285440
1645801805,244285440
1645801835,244285440
1645801865,244285440
1645801895,244285440
1645801925,244285440
1645801955,244285440
1645801985,244285440
1645802015,244285440
1645802045,244285440
1645802075,244285440
1645802105,244285440
1645802135,244285440
1645802165,244285440
1645802195,244285440
1645802225,244285440
1645802255,244285440
1645802286,244285440
1645802316,244285440
1645802346,244285440
1645802376,244285440
1645802406,244285440
1645802436,244285440
1645802466,244285440
1645802496,244285440
1645802526,244285440
1645802556,244285440
1645802586,244285440
1645802616,244285440
1645802646,244285440
1645802676,244285440
1645802706,244285440
1645802736,244285440
1645802766,244285440
1645802796,244285440
1645802826,244285440
1645802856,244285440
1645802886,244285440
1645802916,244285440
1645802946,244285440
1645802976,244285440
1645803006,244285440
1645803036,244285440
1645803066,244285440
1645803096,244285440
1645803126,244285440
1645803156,244285440
1645803186,244285440
1645803216,244285440
1645803246,244285440
1645803276,244285440
1645803306,244285440
1645803336,244285440
1645803366,244285440
1645803396,244285440
1645803426,244285440
1645803456,244285440
1645803486,244285440
1645803516,244285440
1645803546,244285440
1645803576,244285440
1645803606,244285440
1645803636,244285440
1645803666,244285440
1645803696,244285440
1645803726,244285440
1645803756,244285440
1645803786,244285440
1645803816,244285440
1645803846,244285440
1645803876,244285440
1645803906,244285440
1645803936,244285440
1645803966,244285440
1645803996,244285440
1645804026,244285440
1645804056,244285440
1645804086,244285440
1645804116,244285440
1645804146,244285440
1645804176,244285440
1645804206,244285440
1645804236,244285440
1645804266,244285440
1645804296,244285440
1645804326,244285440
1645804356,244285440
1645804386,244285440
1645804918,244285440
1645804948,244285440
1645905630,237910528
1645905660,237910528
1645905690,237910528
1645905720,237910528
1645905750,237910528
1645905780,237910528
1645905810,237910528
1645905840,237910528
1645905870,237910528
1645905900,237910528
1645905930,237910528
1645905960,237910528
1645905990,237910528
1645906020,237910528
1645906050,237910528
1645906080,237910528
1645906110,237910528
1645906140,237910528
1645906170,237910528
1645906200,237910528
1645906230,237910528
1645906260,237910528
1645906290,237910528
1645906320,237910528
1645906350,237910528
1645906380,237910528
1645906410,237910528
1645906440,237910528
1645906470,237910528
1645906500,237910528
1645906530,237910528
1645906560,237910528
1645906590,237910528
1645906620,237910528
1645906651,237910528
1645906681,237910528
1645906711,237910528
1645906741,237910528
1645906771,237910528
1645906801,237910528
1645906831,237910528
1645906861,237910528
1645906891,237910528
