t,value
1645691280,33678
1645691310,33678
1645691340,33614
1645691370,33614
1645691400,33614
1645691430,33614
1645691460,33614
1645691490,33614
1645691520,33614
1645691550,33614
1645691580,33614
1645691610,33614
1645691640,33614
1645691670,33614
1645691700,33614
1645691730,33614
1645691760,33614
1645691790,33614
1645691820,33614
1645691850,33614
1645691880,33614
1645691910,33614
1645691940,33614
1645691970,33614
1645692000,33614
1645692030,8204
1645799460,5145593
1645799490,5145593
1645799520,164678
1645799550,164678
1645799580,164678
1645799610,164678
1645799640,164678
1645799670,164678
1645799700,164678
1645799730,164678
1645799760,164678
1645799790,164678
1645799820,164678
1645799850,164678
1645799880,164678
1645799910,164678
1645799940,164678
1645799970,164678
1645800000,164678
1645800030,164678
1645800060,164678
1645800090,164678
1645800120,164678
1645800150,164678
1645800180,164678
1645800210,164678
1645800240,164678
1645800270,164678
1645800300,164678
1645800330,164678
1645800360,164678
1645800390,164678
1645800420,164678
1645800450,164678
1645800480,164678
1645800510,164678
1645800540,164678
1645800570,164678
1645800600,164678
1645800630,164678
1645800661,164678
1645800691,164678
1645800721,164678
1645800751,164678
1645800781,164678
1645800811,164678
1645800841,164678
1645800871,164678
1645800901,164678
1645800931,164678
1645801355,164689
1645801385,164689
1645801415,164678
1645801445,164678
1645801475,164678
1645801505,164678
1645801535,164678
1645801565,164678
1645801595,164678
1645801625,164678
1645801655,164678
1645801685,164678
1645801715,164678
1645801745,164678
1645801775,164678
1645801805,164678
1645801835,164678
1645801865,164678
1645801895,164678
1645801925,164678
1645801955,164678
1645801985,164678
1645802015,164678
1645802045,164678
1645802075,164678
1645802105,164678
1645802135,164678
1645802165,164678
1645802195,164678
1645802225,164678
1645802255,164678
1645802286,164678
1645802316,164678
1645802346,164678
1645802376,164678
1645802406,164678
1645802436,164678
1645802466,164678
1645802496,164678
1645802526,164678
1645802556,164678
1645802586,164678
1645802616,164678
1645802646,164678
1645802676,164678
1645802706,164678
1645802736,164678
1645802766,164678
1645802796,164678
1645802826,164678
1645802856,164678
1645802886,164678
1645802916,164678
1645802946,164678
1645802976,164678
1645803006,164678
1645803036,164678
1645803066,164678
1645803096,164678
1645803126,164678
1645803156,164678
1645803186,164678
1645803216,164678
1645803246,164678
1645803276,164678
1645803306,164678
1645803336,164678
1645803366,164678
1645803396,164678
1645803426,164678
1645803456,164678
1645803486,164678
1645803516,164678
1645803546,164678
1645803576,164678
1645803606,164678
1645803636,164678
1645803666,164678
1645803696,164678
1645803726,164678
1645803756,164678
1645803786,164678
1645803816,164678
1645803846,164678
1645803876,164678
1645803906,164678
1645803936,164678
1645803966,164678
1645803996,164678
1645804026,164678
1645804056,164678
1645804086,164678
1645804116,164678
1645804146,164678
1645804176,164678
1645804206,164678
1645804236,164678
1645804266,164678
1645804296,164678
1645804326,164678
1645804356,164678
1645804386,164678
1645804918,164689
1645804948,139279
1645905630,5145593
1645905660,5145593
1645905690,164678
1645905720,164678
1645905750,164678
1645905780,164678
1645905810,164678
1645905840,164678
1645905870,164678
1645905900,164678
1645905930,164678
1645905960,164678
1645905990,164678
1645906020,164678
1645906050,164678
1645906080,164678
1645906110,164678
1645906140,164678
1645906170,164678
1645906200,164678
1645906230,164678
1645906260,164678
1645906290,164678
1645906320,164678
1645906350,164678
1645906380,164678
1645906410,164678
1645906440,164678
1645906470,164678
1645906500,164678
1645906530,164678
1645906560,164678
1645906590,164678
1645906620,164678
1645906651,164678
1645906681,164678
1645906711,164678
1645906741,164678
1645906771,164678
1645906801,164678
1645906831,164678
1645906861,164678
1645906891,164678
1645906921,164678
1645906951,164678
1645906981,164678
1645907011,164678
1645907041,164678
1645907071,164678
1645907101,164678
1645907131,164678
1645907161,164678
1645907191,164678
1645907221,164678
1645907251,164678
1645907281,164678
1645907311,164678
1645907341,164678
1645907371,164678
1645907401,164678
1645907431,164678
1645907461,164678
1645907491,164678
1645907521,164678
1645907551,164678
1645907581,164678
1645907611,164678
1645907641,164678
1645907671,164678
1645907701,164678
1645907731,164678
1645907761,164678
1645907791,164678
1645907821,164678
1645907851,164678
1645907881,164678
1645907911,164678
1645907941,164678
1645907971,164678
1645908001,164678
1645908031,164678
1645908061,164678
1645908091,164678
1645908121,164678
1645908151,164678
1645908181,164678
1645908211,164678
1645908241,164678
1645908271,164678
1645908301,164678
1645908331,164678
1645908361,164678
1645908391,164678
1645908421,164678
1645908451,164678
1645908481,164678
1645908511,164678
1645908541,164678
1645908571,164678
1645908601,164678
1645908631,164678
1645908661,164678
1645908691,164678
1645908721,164678
1645908751,164678
1645908781,164678
1645908811,164678
1645908841,164678
1645908871,164678
1645908901,164678
1645908931,164678
1645908961,164678
1645908991,164678
1645909021,164678
1645909051,164678
1645909081,164678
1645909111,164678
1645909141,164678
1645909171,164678
1645909201,164678
1645909231,164678
1645909261,164678
1645909291,164678
1645909321,164678
1645909351,164678
1645909381,164678
1645909411,164678
1645909441,164678
1645909471,164678
1645909501,164678
1645909531,164678
1645909561,164678
1645909591,164678
1645909621,164678
1645909651,164678
1645909681,164678
1645909711,164678
1645909741,164678
1645909771,164678
1645909801,164678
1645909831,164678
1645909861,164678
1645909892,164678
1645909922,164678
1645909952,164678
1645909982,164678
1645910012,164678
1645910042,164678
1645910072,164678
1645910102,164678
1645910132,164678
1645910162,164678
1645910192,164678
1645910222,164678
1645910252,164678
1645910282,164678
1645910312,164678
1645910342,164678
1645910372,164678
1645910402,164678
1645910432,164678
1645910462,164678
1645910492,164678
1645910522,164678
1645910552,164678
1645910582,164678
1645910612,164678
1645910642,164678
1645911020,164689
1645911050,164689
1645911080,33614
1645911110,33614
1645911140,33614
1645911170,33614
1645911200,33614
1645911230,33614
1645911260,33614
1645911290,33614
1645911320,33614
1645911350,33614
1645911380,33614
1645911410,33614
1645911440,33614
1645911470,33614
1645911500,33614
1645911530,33614
1645911560,33614
1645911590,33614
