t,value
1645691280,177209344
1645691310,233832448
1645691340,261095424
1645691370,266338304
1645691400,290455552
1645691430,294649856
1645691460,36700160
1645691490,54525952
1645691520,78643200
1645691550,82837504
1645691580,108003328
1645691610,112197632
1645691640,136314880
1645691670,141557760
1645691700,180355072
1645691730,192937984
1645691760,247463936
1645691790,261095424
1645691820,290455552
1645691850,300941312
1645691880,31457280
1645691910,36700160
1645691940,73400320
1645691970,77594624
1645692000,101711872
1645692030,179306496
1645799460,139460608
1645799490,193986560
1645799520,228589568
1645799550,252706816
1645799580,298844160
1645799610,306184192
1645799640,20971520
1645799670,28311552
1645799700,50331648
1645799730,57671680
1645799760,79691776
1645799790,87031808
1645799820,108003328
1645799850,114294784
1645799880,136314880
1645799910,143654912
1645799940,164626432
1645799970,170917888
1645800000,191889408
1645800030,199229440
1645800060,221249536
1645800090,228589568
1645800120,249561088
1645800150,256901120
1645800180,277872640
1645800210,285212672
1645800240,8388608
1645800270,14680064
1645800300,35651584
1645800330,42991616
1645800360,63963136
1645800390,71303168
1645800420,92274688
1645800450,99614720
1645800480,120586240
1645800510,127926272
1645800540,148897792
1645800570,156237824
1645800600,176160768
1645800630,183500800
1645800661,205520896
1645800691,212860928
1645800721,232783872
1645800751,240123904
1645800781,261095424
1645800811,268435456
1645800841,289406976
1645800871,296747008
1645800901,20971520
1645800931,28311552
1645801355,169869312
1645801385,177209344
1645801415,197132288
1645801445,204472320
1645801475,225443840
1645801505,232783872
1645801535,253755392
1645801565,261095424
1645801595,282066944
1645801625,289406976
1645801655,10485760
1645801685,17825792
1645801715,40894464
1645801745,47185920
1645801775,68157440
1645801805,147849216
1645801835,170917888
1645801865,209715200
1645801895,230686720
1645801925,238026752
1645801955,258998272
1645801985,271581184
1645802015,28311552
1645802045,35651584
1645802075,56623104
1645802105,66060288
1645802135,91226112
1645802165,97517568
1645802195,118489088
1645802225,132120576
1645802255,153092096
1645802286,162529280
1645802316,184549376
1645802346,190840832
1645802376,211812352
1645802406,219152384
1645802436,241172480
1645802466,247463936
1645802496,268435456
1645802526,275775488
1645802556,0
1645802586,7340032
1645802616,28311552
1645802646,35651584
1645802676,56623104
1645802706,63963136
1645802736,84934656
1645802766,91226112
1645802796,113246208
1645802826,119537664
1645802856,141557760
1645802886,147849216
1645802916,168820736
1645802946,176160768
1645802976,197132288
1645803006,203423744
1645803036,225443840
1645803066,232783872
1645803096,253755392
1645803126,261095424
1645803156,282066944
1645803186,289406976
1645803216,9437184
1645803246,16777216
1645803276,37748736
1645803306,44040192
1645803336,66060288
1645803366,72351744
1645803396,94371840
1645803426,101711872
1645803456,122683392
1645803486,128974848
1645803516,149946368
1645803546,157286400
1645803576,178257920
1645803606,184549376
1645803636,206569472
1645803666,212860928
1645803696,234881024
1645803726,241172480
1645803756,262144000
1645803786,269484032
1645803816,289406976
1645803846,296747008
1645803876,18874368
1645803906,25165824
1645803936,47185920
1645803966,53477376
1645803996,74448896
1645804026,81788928
1645804056,102760448
1645804086,109051904
1645804116,131072000
1645804146,137363456
1645804176,158334976
1645804206,164626432
1645804236,186646528
1645804266,193986560
1645804296,214958080
1645804326,221249536
1645804356,242221056
1645804386,249561088
1645804918,113246208
1645804948,189792256
1645905630,284164096
1645905660,226492416
1645905690,272629760
1645905720,286261248
1645905750,11534336
1645905780,26214400
1645905810,49283072
1645905840,62914560
1645905870,88080384
1645905900,101711872
1645905930,126877696
1645905960,140509184
1645905990,163577856
1645906020,177209344
1645906050,201326592
1645906080,213909504
1645906110,238026752
1645906140,251658240
1645906170,275775488
1645906200,288358400
1645906230,25165824
1645906260,38797312
1645906290,62914560
1645906320,76546048
1645906350,100663296
1645906380,113246208
1645906410,137363456
1645906440,150994944
1645906470,174063616
1645906500,187695104
1645906530,211812352
1645906560,224395264
1645906590,248512512
1645906620,262144000
1645906651,285212672
1645906681,298844160
1645906711,14680064
1645906741,40894464
1645906771,63963136
1645906801,77594624
1645906831,102760448
1645906861,115343360
1645906891,140509184
1645906921,153092096
1645906951,177209344
1645906981,189792256
1645907011,213909504
1645907041,227540992
1645907071,250609664
1645907101,263192576
1645907131,288358400
1645907161,300941312
1645907191,14680064
1645907221,28311552
1645907251,52428800
1645907281,65011712
1645907311,89128960
1645907341,101711872
1645907371,125829120
1645907401,138412032
1645907431,163577856
1645907461,177209344
1645907491,200278016
1645907521,213909504
1645907551,236978176
1645907581,250609664
1645907611,274726912
1645907641,287309824
1645907671,0
1645907701,14680064
1645907731,38797312
1645907761,51380224
1645907791,75497472
1645907821,88080384
1645907851,111149056
1645907881,124780544
1645907911,148897792
1645907941,161480704
1645907971,185597952
1645908001,198180864
1645908031,223346688
1645908061,235929600
1645908091,260046848
1645908121,272629760
1645908151,296747008
1645908181,309329920
1645908211,23068672
1645908241,36700160
1645908271,60817408
1645908301,73400320
1645908331,97517568
1645908361,110100480
1645908391,134217728
1645908421,146800640
1645908451,170917888
1645908481,183500800
1645908511,208666624
1645908541,220200960
1645908571,244318208
1645908601,257949696
1645908631,282066944
1645908661,294649856
1645908691,8388608
1645908721,20971520
1645908751,45088768
1645908781,57671680
1645908811,81788928
1645908841,94371840
1645908871,119537664
1645908901,131072000
1645908931,155189248
1645908961,168820736
1645908991,191889408
1645909021,205520896
1645909051,228589568
1645909081,242221056
1645909111,266338304
1645909141,278921216
1645909171,301989888
1645909201,5242880
1645909231,30408704
1645909261,42991616
1645909291,67108864
1645909321,80740352
1645909351,104857600
1645909381,116391936
1645909411,141557760
1645909441,154140672
1645909471,177209344
1645909501,190840832
1645909531,213909504
1645909561,227540992
1645909591,250609664
1645909621,263192576
1645909651,288358400
1645909681,300941312
1645909711,15728640
1645909741,29360128
1645909771,52428800
1645909801,66060288
1645909831,90177536
1645909861,102760448
1645909892,126877696
1645909922,140509184
1645909952,163577856
1645909982,177209344
1645910012,200278016
1645910042,213909504
1645910072,236978176
1645910102,250609664
1645910132,273678336
1645910162,287309824
1645910192,2097152
1645910222,14680064
1645910252,38797312
1645910282,52428800
1645910312,75497472
1645910342,89128960
1645910372,112197632
1645910402,125829120
1645910432,149946368
1645910462,162529280
1645910492,186646528
1645910522,200278016
1645910552,223346688
1645910582,235929600
1645910612,261095424
1645910642,272629760
1645911020,97517568
1645911050,103809024
1645911080,134217728
1645911110,141557760
1645911140,170917888
1645911170,178257920
1645911200,207618048
1645911230,214958080
1645911260,245366784
1645911290,251658240
1645911320,282066944
1645911350,288358400
1645911380,9437184
1645911410,16777216
1645911440,46137344
1645911470,53477376
1645911500,82837504
1645911530,90177536
1645911560,120586240
1645911590,126877696
1645911620,157286400
1645911650,163577856
1645911680,193986560
1645911710,201326592
1645911740,230686720
1645911770,238026752
1645911800,267386880
1645911830,274726912
1645911860,304087040
1645911890,2097152
1645911920,32505856
1645911950,38797312
1645911980,69206016
1645912010,76546048
1645912040,105906176
1645912070,112197632
1645912100,143654912
1645912130,149946368
1645912160,179306496
1645912190,186646528
1645912220,217055232
1645912250,223346688
1645912280,253755392
1645912310,260046848
1645912340,290455552
1645912370,296747008
1645912400,17825792
1645912430,25165824
1645912460,54525952
1645912490,61865984
1645912520,92274688
1645912550,99614720
1645912580,128974848
1645912610,135266304
1645912640,164626432
1645912670,171966464
1645912700,200278016
1645912730,208666624
1645912760,238026752
1645912790,245366784
1645912820,274726912
1645912850,284164096
1645912881,2097152
1645912911,11534336
1645912941,39845888
1645912971,48234496
1645913001,75497472
1645913031,83886080
1645913061,113246208
1645913091,121634816
1645913121,149946368
1645913151,157286400
1645913181,181403648
1645913319,228589568
1645913349,252706816
1645913379,265289728
1645913409,290455552
1645913439,303038464
1645913469,11534336
1645913499,25165824
1645913529,49283072
1645913559,60817408
1645913589,84934656
1645913619,98566144
1645913649,121634816
1645913679,134217728
1645913709,159383552
1645913739,171966464
1645913769,195035136
1645913799,208666624
1645913829,232783872
1645913859,245366784
1645913889,268435456
1645914183,33554432
1645914213,63963136
1645914243,71303168
1645914273,99614720
1645914303,108003328
1645914333,137363456
1645914363,143654912
1645914393,174063616
1645914423,181403648
1645914453,210763776
1645914483,218103808
1645914513,247463936
1645914543,254803968
1645914573,284164096
1645914603,290455552
1645914633,4194304
1645914663,11534336
1645914693,40894464
1645914723,48234496
1645914753,77594624
1645914783,84934656
1645914813,114294784
1645914843,121634816
1645914873,152043520
1645914903,158334976
1645914933,188743680
1645914963,195035136
1645914993,225443840
1645915023,231735296
1645915053,262144000
1645915083,268435456
1645915113,298844160
1645915143,306184192
1645915173,17825792
1645915203,24117248
1645915233,54525952
1645915263,61865984
1645915294,92274688
1645915324,98566144
1645915354,128974848
1645915384,135266304
1645915414,164626432
1645915444,173015040
1645915474,202375168
1645915504,208666624
1645915534,239075328
1645915564,245366784
1645915594,275775488
1645915624,283115520
1645915654,312475648
1645915684,2097152
1645915714,30408704
1645915744,37748736
1645915774,68157440
1645915804,75497472
1645915834,105906176
1645915864,113246208
1645915894,141557760
1645915924,148897792
1645915954,179306496
1645915984,186646528
1645916014,216006656
1645916044,223346688
1645916074,252706816
1645916104,260046848
1645916134,289406976
1645916164,296747008
1645916194,9437184
1645916224,15728640
1645916254,45088768
1645916284,52428800
1645916314,82837504
1645916344,90177536
1645916374,119537664
1645916404,125829120
1645916434,157286400
1645916464,163577856
1645916494,193986560
1645916524,201326592
1645954885,103809024
1645954915,232783872
1645954945,257949696
1645954975,271581184
1645955005,296747008
1645955035,309329920
1645955065,13631488
1645955095,26214400
1645955125,50331648
1645955155,63963136
1645955185,88080384
1645955215,100663296
1645955245,124780544
1645955275,137363456
1645955305,161480704
1645955335,175112192
1645955365,198180864
1645955395,211812352
1645955425,235929600
1645955455,248512512
1645955485,273678336
1645955515,286261248
1645955545,310378496
1645955575,3145728
1645955605,26214400
1645955635,39845888
1645955665,62914560
1645955695,76546048
1645955725,100663296
1645955755,114294784
1645955785,137363456
1645955815,150994944
1645955845,175112192
1645955875,187695104
1645955905,211812352
1645955935,224395264
1645955965,248512512
1645955995,261095424
1645956025,286261248
1645956055,298844160
1645956085,2097152
1645956115,14680064
1645956145,38797312
1645956175,52428800
1645956205,76546048
1645956235,88080384
1645956265,112197632
1645956295,125829120
1645956325,149946368
1645956355,161480704
1645956385,185597952
1645956415,199229440
1645956445,222298112
1645956475,235929600
1645956505,260046848
1645956535,272629760
1645956565,296747008
1645956595,309329920
1645956625,13631488
1645956655,26214400
1645956685,51380224
1645956715,65011712
1645956745,88080384
1645956775,101711872
1645956805,124780544
1645956835,138412032
1645956865,161480704
1645956895,175112192
1645956925,199229440
1645956955,211812352
1645956985,234881024
1645957015,248512512
1645957045,272629760
1645957075,285212672
1645957105,309329920
1645957135,2097152
1645957165,26214400
1645957195,38797312
1645957225,62914560
1645957255,76546048
1645957285,100663296
1645957315,113246208
1645957345,137363456
1645957375,149946368
1645957405,174063616
1645957435,187695104
1645957465,209715200
1645957495,223346688
1645957525,246415360
1645957555,260046848
1645957585,283115520
1645957615,296747008
1645957646,0
1645957676,13631488
1645957706,37748736
1645957736,50331648
1645957766,74448896
1645957796,88080384
1645957826,112197632
1645957856,124780544
1645957886,147849216
1645957916,161480704
1645957946,184549376
1645957976,198180864
1645958006,221249536
1645958036,234881024
1645996710,292552704
1645996740,41943040
1645996770,99614720
1645996800,265289728
1645996830,18874368
1645996860,27262976
1645996890,59768832
1645996920,66060288
1645996950,104857600
1645996980,125829120
1645997010,158334976
1645997040,164626432
1645997070,205520896
1645997100,8388608
1645997130,76546048
1645997160,83886080
1645997190,114294784
1645997220,121634816
1645997250,155189248
1645997280,165675008
1645997310,199229440
1645997340,206569472
1645997370,252706816
1645997400,283115520
1645997430,28311552
1645997460,36700160
1645997490,69206016
1645997520,94371840
1645997550,143654912
1645997580,157286400
1645997610,188743680
1645997640,195035136
1645997670,225443840
1645997700,232783872
1645997730,298844160
1645997760,20971520
1645997790,51380224
1645997820,58720256
1645997850,92274688
1645997880,99614720
1645997911,137363456
1645997941,149946368
1645997971,202375168
1645998001,216006656
