t,value
1645691280,33926976
1645691310,33926976
1645691340,33926976
1645691370,33926976
1645691400,33926976
1645691430,33926976
1645691460,49138688
1645691490,49138688
1645691520,49138688
1645691550,49138688
1645691580,49138688
1645691610,49138688
1645691640,49138688
1645691670,49138688
1645691700,49138688
1645691730,49138688
1645691760,49138688
1645691790,49138688
1645691820,49138688
1645691850,49138688
1645691880,48608720
1645691910,48608720
1645691940,48608720
1645691970,48608720
1645692000,48608720
1645692030,48608720
1645799460,44643120
1645799490,44643120
1645799520,44643120
1645799550,44643120
1645799580,44643120
1645799610,44643120
1645799640,44875520
1645799670,44875520
1645799700,44875520
1645799730,44875520
1645799760,44875520
1645799790,44875520
1645799820,44875520
1645799850,44875520
1645799880,44875520
1645799910,44875520
1645799940,44875520
1645799970,44875520
1645800000,44875520
1645800030,44875520
1645800060,44875520
1645800090,44875520
1645800120,44875520
1645800150,44875520
1645800180,44875520
1645800210,44875520
1645800240,44164528
1645800270,44164528
1645800300,44164528
1645800330,44164528
1645800360,44164528
1645800390,44164528
1645800420,44164528
1645800450,44164528
1645800480,44164528
1645800510,44164528
1645800540,44164528
1645800570,44164528
1645800600,44164528
1645800630,44164528
1645800661,44164528
1645800691,44164528
1645800721,44164528
1645800751,44164528
1645800781,44164528
1645800811,44164528
1645800841,44164528
1645800871,44164528
1645800901,44952576
1645800931,44952576
1645801355,44952576
1645801385,44952576
1645801415,44952576
1645801445,44952576
1645801475,44952576
1645801505,44952576
1645801535,44952576
1645801565,44952576
1645801595,44952576
1645801625,44952576
1645801655,44952576
1645801685,44952576
1645801715,44952576
1645801745,44952576
1645801775,44952576
1645801805,44952576
1645801835,44952576
1645801865,44952576
1645801895,44952576
1645801925,44952576
1645801955,44952576
1645801985,44952576
1645802015,44762024
1645802045,44762024
1645802075,44762024
1645802105,44762024
1645802135,44762024
1645802165,44762024
1645802195,44762024
1645802225,44762024
1645802255,44762024
1645802286,44762024
1645802316,44762024
1645802346,44762024
1645802376,44762024
1645802406,44762024
1645802436,44762024
1645802466,44762024
1645802496,44762024
1645802526,44762024
1645802556,49355776
1645802586,49355776
1645802616,49355776
1645802646,49355776
1645802676,49355776
1645802706,49355776
1645802736,49355776
1645802766,49355776
1645802796,49355776
1645802826,49355776
1645802856,49355776
1645802886,49355776
1645802916,49355776
1645802946,49355776
1645802976,49355776
1645803006,49355776
1645803036,49355776
1645803066,49355776
1645803096,49355776
1645803126,49355776
1645803156,49355776
1645803186,49355776
1645803216,48611672
1645803246,48611672
1645803276,48611672
1645803306,48611672
1645803336,48611672
1645803366,48611672
1645803396,48611672
1645803426,48611672
1645803456,48611672
1645803486,48611672
1645803516,48611672
1645803546,48611672
1645803576,48611672
1645803606,48611672
1645803636,48611672
1645803666,48611672
1645803696,48611672
1645803726,48611672
1645803756,48611672
1645803786,48611672
1645803816,48611672
1645803846,48611672
1645803876,49205424
1645803906,49205424
1645803936,49205424
1645803966,49205424
1645803996,49205424
1645804026,49205424
1645804056,49205424
1645804086,49205424
1645804116,49205424
1645804146,49205424
1645804176,49205424
1645804206,49205424
1645804236,49205424
1645804266,49205424
1645804296,49205424
1645804326,49205424
1645804356,49205424
1645804386,49205424
1645804918,49355776
1645804948,49355776
1645905630,43450408
1645905660,61883392
1645905690,61883392
1645905720,61883392
1645905750,45106176
1645905780,45106176
1645905810,45106176
1645905840,45106176
1645905870,45106176
1645905900,45106176
1645905930,45106176
1645905960,45106176
1645905990,45106176
1645906020,45106176
1645906050,45106176
1645906080,45106176
1645906110,45106176
1645906140,45106176
1645906170,45106176
1645906200,45106176
1645906230,58439104
1645906260,58439104
1645906290,58439104
1645906320,58439104
1645906350,58439104
1645906380,58439104
1645906410,58439104
1645906440,58439104
1645906470,58439104
1645906500,58439104
1645906530,58439104
1645906560,58439104
1645906590,58439104
1645906620,58439104
1645906651,58439104
1645906681,58439104
1645906711,58076040
1645906741,58076040
1645906771,58076040
1645906801,58076040
1645906831,58076040
1645906861,58076040
1645906891,58076040
1645906921,58076040
1645906951,58076040
1645906981,58076040
1645907011,58076040
1645907041,58076040
1645907071,58076040
1645907101,58076040
1645907131,58076040
1645907161,58076040
1645907191,58423400
1645907221,58423400
1645907251,58423400
1645907281,58423400
1645907311,58423400
1645907341,58423400
1645907371,58423400
1645907401,58423400
1645907431,58423400
1645907461,58423400
1645907491,58423400
1645907521,58423400
1645907551,58423400
1645907581,58423400
1645907611,58423400
1645907641,58423400
1645907671,57776632
1645907701,57776632
1645907731,57776632
1645907761,57776632
1645907791,57776632
1645907821,57776632
1645907851,57776632
1645907881,57776632
1645907911,57776632
1645907941,57776632
1645907971,57776632
1645908001,57776632
1645908031,57776632
1645908061,57776632
1645908091,57776632
1645908121,57776632
1645908151,57776632
1645908181,57776632
1645908211,58584784
1645908241,58584784
1645908271,58584784
1645908301,58584784
1645908331,58584784
1645908361,58584784
1645908391,58584784
1645908421,58584784
1645908451,58584784
1645908481,58584784
1645908511,58584784
1645908541,58584784
1645908571,58584784
1645908601,58584784
1645908631,58584784
1645908661,58584784
1645908691,58420912
1645908721,58420912
1645908751,58420912
1645908781,58420912
1645908811,58420912
1645908841,58420912
1645908871,58420912
1645908901,58420912
1645908931,58420912
1645908961,58420912
1645908991,58420912
1645909021,58420912
1645909051,58420912
1645909081,58420912
1645909111,58420912
1645909141,58420912
1645909171,58420912
1645909201,57941040
1645909231,57941040
1645909261,57941040
1645909291,57941040
1645909321,57941040
1645909351,57941040
1645909381,57941040
1645909411,57941040
1645909441,57941040
1645909471,57941040
1645909501,57941040
1645909531,57941040
1645909561,57941040
1645909591,57941040
1645909621,57941040
1645909651,57941040
1645909681,57941040
1645909711,57915712
1645909741,57915712
1645909771,57915712
1645909801,57915712
1645909831,57915712
1645909861,57915712
1645909892,57915712
1645909922,57915712
1645909952,57915712
1645909982,57915712
1645910012,57915712
1645910042,57915712
1645910072,57915712
1645910102,57915712
1645910132,57915712
1645910162,57915712
1645910192,57844456
1645910222,57844456
1645910252,57844456
1645910282,57844456
1645910312,57844456
1645910342,57844456
1645910372,57844456
1645910402,57844456
1645910432,57844456
1645910462,57844456
1645910492,57844456
1645910522,57844456
1645910552,57844456
1645910582,57844456
1645910612,57844456
1645910642,57844456
1645911020,58375464
1645911050,58375464
1645911080,58375464
1645911110,58375464
1645911140,58375464
1645911170,58375464
1645911200,58375464
1645911230,58375464
1645911260,58375464
1645911290,58375464
1645911320,58375464
1645911350,58375464
1645911380,58489456
1645911410,58489456
1645911440,58489456
1645911470,58489456
1645911500,58489456
1645911530,58489456
1645911560,58489456
1645911590,58489456
1645911620,58489456
1645911650,58489456
1645911680,58489456
1645911710,58489456
1645911740,58489456
1645911770,58489456
1645911800,58489456
1645911830,58489456
1645911860,58489456
1645911890,58689536
1645911920,58689536
1645911950,58689536
1645911980,58689536
1645912010,58689536
1645912040,58689536
1645912070,58689536
1645912100,58689536
1645912130,58689536
1645912160,58689536
1645912190,58689536
1645912220,58689536
1645912250,58689536
1645912280,58689536
1645912310,58689536
1645912340,58689536
1645912370,58689536
1645912400,58078408
1645912430,58078408
1645912460,58078408
1645912490,58078408
1645912520,58078408
1645912550,58078408
1645912580,58078408
1645912610,58078408
1645912640,58078408
1645912670,58078408
1645912700,58078408
1645912730,58078408
1645912760,58078408
1645912790,58078408
1645912820,58078408
1645912850,58078408
1645912881,64012672
1645912911,64012672
1645912941,64012672
1645912971,64012672
1645913001,64012672
1645913031,64012672
1645913061,64012672
1645913091,64012672
1645913121,64012672
1645913151,64012672
1645913181,64012672
1645913319,64012672
1645913349,64012672
1645913379,64012672
1645913409,64012672
1645913439,64012672
1645913469,66707776
1645913499,66707776
1645913529,66707776
1645913559,66707776
1645913589,66707776
1645913619,66707776
1645913649,66707776
1645913679,66707776
1645913709,66707776
1645913739,66707776
1645913769,66707776
1645913799,66707776
1645913829,66707776
1645913859,66707776
1645913889,66707776
1645914183,67233056
1645914213,67233056
1645914243,67233056
1645914273,67233056
1645914303,67233056
1645914333,67233056
1645914363,67233056
1645914393,67233056
1645914423,67233056
1645914453,67233056
1645914483,67233056
1645914513,67233056
1645914543,67233056
1645914573,67233056
1645914603,67233056
1645914633,67227136
1645914663,67227136
1645914693,67227136
1645914723,67227136
1645914753,67227136
1645914783,67227136
1645914813,67227136
1645914843,67227136
1645914873,67227136
1645914903,67227136
1645914933,67227136
1645914963,67227136
1645914993,67227136
1645915023,67227136
1645915053,67227136
1645915083,67227136
1645915113,67227136
1645915143,67227136
1645915173,67337184
1645915203,67337184
1645915233,67337184
1645915263,67337184
1645915294,67337184
1645915324,67337184
1645915354,67337184
1645915384,67337184
1645915414,67337184
1645915444,67337184
1645915474,67337184
1645915504,67337184
1645915534,67337184
1645915564,67337184
1645915594,67337184
1645915624,67337184
1645915654,67337184
1645915684,67436320
1645915714,67436320
1645915744,67436320
1645915774,67436320
1645915804,67436320
1645915834,67436320
1645915864,67436320
1645915894,67436320
1645915924,67436320
1645915954,67436320
1645915984,67436320
1645916014,67436320
1645916044,67436320
1645916074,67436320
1645916104,67436320
1645916134,67436320
1645916164,67436320
1645916194,67604208
1645916224,67604208
1645916254,67604208
1645916284,67604208
1645916314,67604208
1645916344,67604208
1645916374,67604208
1645916404,67604208
1645916434,67604208
1645916464,67604208
1645916494,67604208
1645916524,67604208
1645954885,69870208
1645954915,69915280
1645954945,69915280
1645954975,69915280
1645955005,69915280
1645955035,69915280
1645955065,69943936
1645955095,69943936
1645955125,69943936
1645955155,69943936
1645955185,69943936
1645955215,69943936
1645955245,69943936
1645955275,69943936
1645955305,69943936
1645955335,69943936
1645955365,69943936
1645955395,69943936
1645955425,69943936
1645955455,69943936
1645955485,69943936
1645955515,69943936
1645955545,69943936
1645955575,70300736
1645955605,70300736
1645955635,70300736
1645955665,70300736
1645955695,70300736
1645955725,70300736
1645955755,70300736
1645955785,70300736
1645955815,70300736
1645955845,70300736
1645955875,70300736
1645955905,70300736
1645955935,70300736
1645955965,70300736
1645955995,70300736
1645956025,70300736
1645956055,70300736
1645956085,70181072
1645956115,70181072
1645956145,70181072
1645956175,70181072
1645956205,70181072
1645956235,70181072
1645956265,70181072
1645956295,70181072
1645956325,70181072
1645956355,70181072
1645956385,70181072
1645956415,70181072
1645956445,70181072
1645956475,70181072
1645956505,70181072
1645956535,70181072
1645956565,70181072
1645956595,70181072
1645956625,70316000
1645956655,70316000
1645956685,70316000
1645956715,70316000
1645956745,70316000
1645956775,70316000
