t,value
1645691280,0
1645691310,0
1645691340,0
1645691370,0
1645691400,0
1645691430,0
1645691460,0
1645691490,0
1645691520,0
1645691550,0
1645691580,0
1645691610,0
1645691640,0
1645691670,0
1645691700,0
1645691730,0
1645691760,0
1645691790,0
1645691820,0
1645691850,0
1645691880,0
1645691910,0
1645691940,0
1645691970,0
1645692000,0
1645692030,0
1645799460,0
1645799490,0
1645799520,0
1645799550,0
1645799580,0
1645799610,0
1645799640,0
1645799670,0
1645799700,0
1645799730,0
1645799760,0
1645799790,0
1645799820,0
1645799850,0
1645799880,0
1645799910,0
1645799940,0
1645799970,0
1645800000,0
1645800030,0
1645800060,0
1645800090,0
1645800120,0
1645800150,0
1645800180,0
1645800210,0
1645800240,0
1645800270,0
1645800300,0
1645800330,0
1645800360,0
1645800390,0
1645800420,0
1645800450,0
1645800480,0
1645800510,0
1645800540,0
1645800570,0
1645800600,0
1645800630,0
1645800661,0
1645800691,0
1645800721,0
1645800751,0
1645800781,0
1645800811,0
1645800841,0
1645800871,0
1645800901,0
1645800931,0
1645801355,394605
1645801385,394605
1645801415,394605
1645801445,394605
1645801475,394605
1645801505,394605
1645801535,394605
1645801565,394605
1645801595,394605
1645801625,394605
1645801655,394605
1645801685,394605
1645801715,394605
1645801745,394605
1645801775,394605
1645801805,394605
1645801835,394605
1645801865,394605
1645801895,394605
1645801925,394605
1645801955,394605
1645801985,394605
1645802015,394605
1645802045,394605
1645802075,394605
1645802105,394605
1645802135,394605
1645802165,394605
1645802195,394605
1645802225,394605
1645802255,394605
1645802286,394605
1645802316,394605
1645802346,394605
1645802376,394605
1645802406,394605
1645802436,394605
1645802466,394605
1645802496,394605
1645802526,394605
1645802556,394605
1645802586,394605
1645802616,394605
1645802646,394605
1645802676,394605
1645802706,394605
1645802736,394605
1645802766,394605
1645802796,394605
1645802826,394605
1645802856,394605
1645802886,394605
1645802916,394605
1645802946,394605
1645802976,394605
1645803006,394605
1645803036,394605
1645803066,394605
1645803096,394605
1645803126,394605
1645803156,394605
1645803186,394605
1645803216,394605
1645803246,394605
1645803276,394605
1645803306,394605
1645803336,394605
1645803366,394605
1645803396,394605
1645803426,394605
1645803456,394605
1645803486,394605
1645803516,394605
1645803546,394605
1645803576,394605
1645803606,394605
1645803636,394605
1645803666,394605
1645803696,394605
1645803726,394605
1645803756,394605
1645803786,394605
1645803816,394605
1645803846,394605
1645803876,394605
1645803906,394605
1645803936,394605
1645803966,394605
1645803996,394605
1645804026,394605
1645804056,394605
1645804086,394605
1645804116,394605
1645804146,394605
1645804176,394605
1645804206,394605
1645804236,394605
1645804266,394605
1645804296,394605
1645804326,394605
1645804356,394605
1645804386,394605
1645804918,896371
1645804948,896371
1645905630,0
1645905660,0
1645905690,0
1645905720,0
1645905750,0
1645905780,0
1645905810,0
1645905840,0
1645905870,0
1645905900,0
1645905930,0
1645905960,0
1645905990,0
1645906020,0
1645906050,0
1645906080,0
1645906110,0
1645906140,0
1645906170,0
1645906200,0
1645906230,0
1645906260,0
1645906290,0
1645906320,0
1645906350,0
1645906380,0
1645906410,0
1645906440,0
1645906470,0
1645906500,0
1645906530,0
1645906560,0
1645906590,0
1645906620,0
1645906651,0
1645906681,0
1645906711,0
1645906741,0
1645906771,0
1645906801,0
1645906831,0
1645906861,0
1645906891,0
1645906921,0
1645906951,0
1645906981,0
1645907011,0
1645907041,0
1645907071,0
1645907101,0
1645907131,0
1645907161,0
1645907191,0
1645907221,0
1645907251,0
1645907281,0
1645907311,0
1645907341,0
1645907371,0
1645907401,0
1645907431,0
1645907461,0
1645907491,0
1645907521,0
1645907551,0
1645907581,0
1645907611,0
1645907641,0
1645907671,0
1645907701,0
1645907731,0
1645907761,0
1645907791,0
1645907821,0
1645907851,0
1645907881,0
1645907911,0
1645907941,0
1645907971,0
1645908001,0
1645908031,0
1645908061,0
1645908091,0
1645908121,0
1645908151,0
1645908181,0
1645908211,0
1645908241,0
1645908271,0
1645908301,0
1645908331,0
1645908361,0
1645908391,0
1645908421,0
1645908451,0
1645908481,0
1645908511,0
1645908541,0
1645908571,0
1645908601,0
1645908631,0
1645908661,0
1645908691,0
1645908721,0
1645908751,0
1645908781,0
1645908811,0
1645908841,0
1645908871,0
1645908901,0
1645908931,0
1645908961,0
1645908991,0
1645909021,0
1645909051,0
1645909081,0
1645909111,0
1645909141,0
1645909171,0
1645909201,0
1645909231,0
1645909261,0
1645909291,0
1645909321,0
1645909351,0
1645909381,0
1645909411,0
1645909441,0
1645909471,0
1645909501,0
1645909531,0
1645909561,0
1645909591,0
1645909621,0
1645909651,0
1645909681,0
1645909711,0
1645909741,0
1645909771,0
1645909801,0
1645909831,0
1645909861,0
1645909892,0
1645909922,0
1645909952,0
1645909982,0
1645910012,0
1645910042,0
1645910072,0
1645910102,0
1645910132,0
1645910162,0
1645910192,0
1645910222,0
1645910252,0
1645910282,0
1645910312,0
1645910342,0
1645910372,0
1645910402,0
1645910432,0
1645910462,0
1645910492,0
1645910522,0
1645910552,0
1645910582,0
1645910612,0
1645910642,0
1645911020,348151
1645911050,348151
1645911080,348151
1645911110,348151
1645911140,348151
1645911170,348151
1645911200,348151
1645911230,348151
1645911260,348151
1645911290,348151
1645911320,348151
1645911350,348151
1645911380,348151
1645911410,348151
1645911440,348151
1645911470,348151
1645911500,348151
1645911530,348151
1645911560,348151
1645911590,348151
1645911620,348151
1645911650,348151
1645911680,348151
1645911710,348151
1645911740,348151
1645911770,348151
1645911800,348151
1645911830,348151
1645911860,348151
1645911890,348151
1645911920,348151
1645911950,348151
1645911980,348151
1645912010,348151
1645912040,348151
1645912070,348151
1645912100,348151
1645912130,348151
1645912160,348151
1645912190,348151
1645912220,348151
1645912250,348151
1645912280,348151
1645912310,348151
1645912340,348151
1645912370,348151
1645912400,348151
1645912430,348151
1645912460,348151
1645912490,348151
1645912520,348151
1645912550,348151
1645912580,348151
1645912610,348151
1645912640,348151
1645912670,348151
1645912700,348151
1645912730,348151
1645912760,348151
1645912790,348151
1645912820,348151
1645912850,348151
1645912881,348151
1645912911,348151
1645912941,348151
1645912971,348151
1645913001,348151
1645913031,348151
1645913061,348151
1645913091,348151
1645913121,348151
1645913151,348151
1645913181,348151
1645913319,456829
1645913349,456829
1645913379,456829
1645913409,456829
1645913439,456829
1645913469,456829
1645913499,456829
1645913529,456829
1645913559,456829
1645913589,456829
1645913619,456829
1645913649,456829
1645913679,456829
1645913709,456829
1645913739,456829
1645913769,456829
1645913799,456829
1645913829,456829
