t,value
1645691280,118
1645691310,120
1645691340,99
1645691370,99
1645691400,99
1645691430,99
1645691460,99
1645691490,99
1645691520,99
1645691550,99
1645691580,100
1645691610,100
1645691640,99
1645691670,99
1645691700,99
1645691730,99
1645691760,99
1645691790,99
1645691820,99
1645691850,99
1645691880,102
1645691910,102
1645691940,101
1645691970,101
1645692000,101
1645692030,95
1645799460,134
1645799490,136
1645799520,97
1645799550,97
1645799580,97
1645799610,97
1645799640,97
1645799670,97
1645799700,97
1645799730,97
1645799760,98
1645799790,98
1645799820,97
1645799850,97
1645799880,97
1645799910,97
1645799940,97
1645799970,97
1645800000,97
1645800030,97
1645800060,98
1645800090,98
1645800120,97
1645800150,97
1645800180,97
1645800210,97
1645800240,97
1645800270,97
1645800300,97
1645800330,97
1645800360,98
1645800390,98
1645800420,97
1645800450,97
1645800480,97
1645800510,97
1645800540,97
1645800570,97
1645800600,97
1645800630,97
1645800661,98
1645800691,98
1645800721,97
1645800751,97
1645800781,97
1645800811,97
1645800841,97
1645800871,97
1645800901,97
1645800931,97
1645801355,111
1645801385,111
1645801415,98
1645801445,98
1645801475,98
1645801505,98
1645801535,99
1645801565,99
1645801595,98
1645801625,98
1645801655,98
1645801685,98
1645801715,98
1645801745,98
1645801775,98
1645801805,98
1645801835,99
1645801865,99
1645801895,98
1645801925,98
1645801955,98
1645801985,98
1645802015,98
1645802045,98
1645802075,98
1645802105,98
1645802135,99
1645802165,99
1645802195,98
1645802225,98
1645802255,98
1645802286,98
1645802316,98
1645802346,98
1645802376,98
1645802406,98
1645802436,99
1645802466,99
1645802496,98
1645802526,98
1645802556,98
1645802586,98
1645802616,98
1645802646,98
1645802676,98
1645802706,98
1645802736,99
1645802766,99
1645802796,98
1645802826,98
1645802856,98
1645802886,98
1645802916,98
1645802946,98
1645802976,98
1645803006,98
1645803036,99
1645803066,99
1645803096,98
1645803126,98
1645803156,99
1645803186,99
1645803216,99
1645803246,99
1645803276,99
1645803306,99
1645803336,100
1645803366,100
1645803396,99
1645803426,99
1645803456,99
1645803486,99
1645803516,99
1645803546,99
1645803576,99
1645803606,99
1645803636,100
1645803666,100
1645803696,99
1645803726,99
1645803756,99
1645803786,99
1645803816,99
1645803846,99
1645803876,99
1645803906,99
1645803936,100
1645803966,100
1645803996,99
1645804026,99
1645804056,99
1645804086,99
1645804116,99
1645804146,99
1645804176,99
1645804206,99
1645804236,100
1645804266,100
1645804296,99
1645804326,99
1645804356,99
1645804386,99
1645804918,110
1645804948,70
1645905630,138
1645905660,138
1645905690,99
1645905720,99
1645905750,99
1645905780,99
1645905810,99
1645905840,99
1645905870,99
1645905900,99
1645905930,99
1645905960,99
1645905990,98
1645906020,98
1645906050,98
1645906080,98
1645906110,98
1645906140,98
1645906170,98
1645906200,98
1645906230,99
1645906260,99
1645906290,98
1645906320,98
1645906350,98
1645906380,98
1645906410,98
1645906440,98
1645906470,98
1645906500,98
1645906530,100
1645906560,100
1645906590,99
1645906620,99
1645906651,99
1645906681,99
1645906711,99
1645906741,99
1645906771,99
1645906801,99
1645906831,100
1645906861,100
1645906891,99
1645906921,99
1645906951,99
1645906981,99
1645907011,99
1645907041,99
1645907071,99
1645907101,99
1645907131,100
1645907161,100
1645907191,99
1645907221,99
1645907251,99
1645907281,99
1645907311,99
1645907341,99
1645907371,99
1645907401,99
1645907431,100
1645907461,100
1645907491,99
1645907521,99
1645907551,99
1645907581,99
1645907611,99
1645907641,99
1645907671,99
1645907701,99
1645907731,100
1645907761,100
1645907791,99
1645907821,99
1645907851,99
1645907881,99
1645907911,99
1645907941,99
1645907971,99
1645908001,99
1645908031,100
1645908061,100
1645908091,99
1645908121,99
1645908151,99
1645908181,99
1645908211,99
1645908241,99
1645908271,99
1645908301,99
1645908331,100
1645908361,100
1645908391,99
1645908421,99
1645908451,99
1645908481,99
1645908511,99
1645908541,99
1645908571,99
1645908601,99
1645908631,100
1645908661,100
1645908691,99
1645908721,99
1645908751,99
1645908781,99
1645908811,99
1645908841,99
1645908871,99
1645908901,99
1645908931,100
1645908961,100
1645908991,99
1645909021,99
1645909051,99
1645909081,99
1645909111,99
1645909141,99
1645909171,99
1645909201,99
1645909231,100
1645909261,100
1645909291,99
1645909321,99
1645909351,99
1645909381,99
1645909411,99
1645909441,99
1645909471,99
1645909501,99
1645909531,100
1645909561,100
1645909591,99
1645909621,99
1645909651,99
1645909681,99
1645909711,99
1645909741,99
1645909771,99
1645909801,99
1645909831,100
1645909861,100
1645909892,99
1645909922,99
1645909952,99
1645909982,99
1645910012,99
1645910042,99
1645910072,99
1645910102,99
1645910132,100
1645910162,100
1645910192,99
1645910222,99
1645910252,99
1645910282,99
1645910312,99
1645910342,99
1645910372,99
1645910402,99
1645910432,100
1645910462,100
1645910492,99
1645910522,99
1645910552,99
1645910582,99
1645910612,99
1645910642,99
1645911020,109
1645911050,109
1645911080,100
1645911110,100
1645911140,100
1645911170,100
1645911200,100
1645911230,100
1645911260,100
1645911290,100
1645911320,101
1645911350,101
1645911380,100
1645911410,100
1645911440,100
1645911470,100
1645911500,100
1645911530,100
1645911560,100
1645911590,100
1645911620,102
1645911650,102
1645911680,100
1645911710,100
1645911740,100
1645911770,100
1645911800,100
1645911830,100
1645911860,100
1645911890,100
1645911920,101
1645911950,101
1645911980,100
1645912010,100
1645912040,100
1645912070,100
1645912100,100
1645912130,100
1645912160,100
1645912190,100
1645912220,101
1645912250,101
1645912280,100
1645912310,100
1645912340,100
1645912370,100
1645912400,100
1645912430,100
1645912460,100
1645912490,100
1645912520,101
1645912550,101
1645912580,100
1645912610,100
1645912640,100
1645912670,100
1645912700,100
1645912730,100
1645912760,100
1645912790,100
1645912820,101
1645912850,101
1645912881,100
1645912911,100
1645912941,100
1645912971,100
1645913001,100
1645913031,100
1645913061,100
1645913091,100
1645913121,101
1645913151,101
1645913181,100
1645913319,108
1645913349,108
1645913379,100
1645913409,101
1645913439,101
1645913469,100
1645913499,100
1645913529,100
1645913559,100
1645913589,100
1645913619,100
1645913649,100
1645913679,100
1645913709,101
1645913739,101
1645913769,100
1645913799,100
1645913829,100
1645913859,100
1645913889,100
1645914183,112
1645914213,112
1645914243,102
1645914273,102
1645914303,102
1645914333,103
1645914363,103
1645914393,102
1645914423,102
1645914453,102
1645914483,102
1645914513,102
1645914543,102
1645914573,102
1645914603,102
1645914633,104
1645914663,104
1645914693,102
1645914723,102
1645914753,102
1645914783,102
1645914813,102
1645914843,102
1645914873,102
1645914903,102
1645914933,103
1645914963,103
1645914993,102
1645915023,102
1645915053,102
1645915083,102
1645915113,102
1645915143,102
1645915173,102
1645915203,102
1645915233,103
1645915263,103
1645915294,102
1645915324,102
1645915354,102
1645915384,102
1645915414,102
1645915444,102
1645915474,102
1645915504,102
1645915534,103
1645915564,103
1645915594,102
1645915624,102
1645915654,102
1645915684,102
1645915714,102
1645915744,102
1645915774,102
1645915804,102
1645915834,104
1645915864,104
1645915894,102
1645915924,102
1645915954,102
1645915984,102
1645916014,102
1645916044,102
1645916074,102
1645916104,102
1645916134,103
1645916164,102
1645916194,102
1645916224,102
1645916254,102
1645916284,102
1645916314,102
1645916344,102
1645916374,102
1645916404,102
1645916434,103
1645916464,103
1645916494,102
1645916524,102
1645954885,123
1645954915,123
1645954945,103
1645954975,102
1645955005,102
1645955035,102
1645955065,102
1645955095,102
1645955125,103
1645955155,103
1645955185,102
1645955215,102
1645955245,102
1645955275,102
1645955305,102
1645955335,102
1645955365,102
1645955395,102
1645955425,103
1645955455,103
1645955485,102
1645955515,102
1645955545,102
1645955575,102
1645955605,102
1645955635,102
1645955665,102
1645955695,102
1645955725,103
1645955755,103
1645955785,102
1645955815,102
1645955845,102
1645955875,102
1645955905,102
1645955935,102
1645955965,102
1645955995,102
1645956025,104
1645956055,104
1645956085,102
1645956115,102
1645956145,102
1645956175,102
1645956205,102
1645956235,102
1645956265,102
1645956295,102
1645956325,103
1645956355,103
1645956385,102
1645956415,102
1645956445,102
1645956475,102
1645956505,102
1645956535,102
1645956565,102
1645956595,102
1645956625,104
1645956655,104
1645956685,102
1645956715,102
1645956745,102
1645956775,102
1645956805,102
1645956835,102
1645956865,102
1645956895,102
1645956925,103
1645956955,103
1645956985,102
1645957015,102
1645957045,102
1645957075,102
1645957105,102
1645957135,102
1645957165,102
1645957195,102
1645957225,103
1645957255,103
1645957285,102
1645957315,102
1645957345,102
1645957375,102
1645957405,102
1645957435,102
1645957465,102
1645957495,102
1645957525,103
1645957555,103
1645957585,102
1645957615,102
1645957646,102
1645957676,102
1645957706,102
1645957736,102
1645957766,102
1645957796,102
1645957826,103
1645957856,103
1645957886,102
1645957916,102
1645957946,102
1645957976,102
1645958006,102
1645958036,102
1645996710,140
1645996740,140
1645996770,101
1645996800,101
1645996830,101
1645996860,101
1645996890,101
1645996920,101
1645996950,101
1645996980,101
1645997010,100
1645997040,100
1645997070,99
1645997100,100
1645997130,100
1645997160,100
1645997190,100
1645997220,100
1645997250,99
1645997280,99
1645997310,100
1645997340,100
1645997370,99
1645997400,99
1645997430,99
1645997460,99
1645997490,99
1645997520,99
1645997550,99
1645997580,99
1645997610,100
1645997640,100
1645997670,99
1645997700,99
1645997730,99
1645997760,99
1645997790,99
1645997820,99
1645997850,99
1645997880,99
1645997911,100
1645997941,100
1645997971,99
1645998001,99
1645998031,99
1645998061,99
1645998091,99
1645998121,99
1645998151,99
1645998181,99
1645998211,100
1645998241,100
1645998271,99
1645998301,99
1645998331,99
1645998361,99
1645998391,99
1645998421,99
1645998451,99
1645998481,99
1645998509,100
1645998539,100
1645998569,99
1645998599,99
1645998629,99
1645998659,99
1645998689,99
1645998719,99
1645998749,99
1645998779,99
1645998809,100
1645998839,100
1645998869,99
1645998899,99
1645998929,99
1645998959,99
1645998989,99
1645999019,99
1645999049,99
1645999079,99
1645999109,100
1645999139,100
1645999169,99
1645999199,99
1645999229,99
1645999259,99
1645999289,99
1645999319,99
1645999349,99
1645999379,99
1645999409,100
1645999439,100
1645999469,99
1645999499,99
1645999529,99
1645999559,99
1645999589,99
1645999619,99
1645999649,99
1645999679,99
1645999709,100
1645999739,100
